xCoordPress0,yCoordPress0,xCoordRelease0,yCoordRelease0,pressPressure0,releasePressure0,holdTime0,HPP0,offSet0,xCoordPress1,yCoordPress1,xCoordRelease1,yCoordRelease1,pressPressure1,releasePressure1,holdTime1,HPP1,offSet1,xCoordPress2,yCoordPress2,xCoordRelease2,yCoordRelease2,pressPressure2,releasePressure2,holdTime2,HPP2,offSet2,xCoordPress3,yCoordPress3,xCoordRelease3,yCoordRelease3,pressPressure3,releasePressure3,holdTime3,HPP3,offSet3,xCoordPress4,yCoordPress4,xCoordRelease4,yCoordRelease4,pressPressure4,releasePressure4,holdTime4,HPP4,offSet4,xCoordPress5,yCoordPress5,xCoordRelease5,yCoordRelease5,pressPressure5,releasePressure5,holdTime5,HPP5,offSet5,PPTime0,UDTime0,PPTime1,UDTime1,PPTime2,UDTime2,PPTime3,UDTime3,PPTime4,UDTime4,Tri0,Tri1,Tri2,Tri3,state
138.0,78.0,138.0,78.0,0.18431372940540303,0.18431372940540303,0.057,0.010505882576107973,50.601383380299005,131.0,57.0,131.0,57.0,0.18431372940540303,0.18431372940540303,0.091,0.016772549375891677,70.5868259663232,196.0,72.0,196.0,72.0,0.18431372940540303,0.18431372940540303,0.066,0.0121647061407566,88.16178310356477,153.0,81.0,153.0,81.0,0.18431372940540303,0.18431372940540303,0.083,0.015298039540648452,53.033008588991066,165.0,127.0,165.0,127.0,0.18431372940540303,0.18431372940540303,0.083,0.015298039540648452,37.50333318519835,140.0,50.0,140.0,50.0,0.18431372940540303,0.18431372940540303,0.083,0.015298039540648452,78.50159234053791,0.291,0.234,0.35,0.259,0.284,0.218,0.325,0.242,0.267,0.184,0.707,0.717,0.692,0.675,7
111.0,121.0,111.0,121.0,0.18823531270027202,0.18823531270027202,0.066,0.012423530638217955,17.7341478509682,159.0,71.0,159.0,71.0,0.18431372940540303,0.18431372940540303,0.1,0.018431372940540303,64.68771135231174,168.0,40.0,173.260559082031,61.4876098632812,0.18823531270027202,0.15686275064945202,0.074,0.01392941313982013,80.3222535731065,169.0,100.0,169.0,100.0,0.18431372940540303,0.18431372940540303,0.083,0.015298039540648452,49.78453575157651,117.0,86.0,124.0,88.0,0.18431372940540303,0.12941177189350098,0.066,0.0121647061407566,39.654760117796705,177.0,78.0,177.976257324219,80.9287109375,0.18823531270027202,0.149019613862038,0.083,0.015623530954122578,68.67850841714389,0.267,0.201,0.292,0.192,0.217,0.143,0.3,0.217,0.242,0.176,0.633,0.592,0.583,0.625,7
112.0,134.0,112.0,134.0,0.18431372940540303,0.18431372940540303,0.058,0.010690196305513376,16.80773631397161,202.0,101.0,202.0,101.0,0.18823531270027202,0.18823531270027202,0.107,0.020141178458929106,79.07275131168764,134.0,110.0,138.0,119.0,0.18431372940540303,0.172549024224281,0.066,0.0121647061407566,13.509256086106296,201.0,136.0,201.0,136.0,0.18431372940540303,0.18431372940540303,0.1,0.018431372940540303,73.98986417070923,100.0,106.0,110.727340698242,110.87603759765601,0.18823531270027202,0.160784319043159,0.058,0.010917648136615778,23.615211750212946,149.0,102.0,149.0,102.0,0.18431372940540303,0.18431372940540303,0.083,0.015298039540648452,33.354160160315836,0.234,0.176,0.267,0.16,0.2,0.134,0.3,0.2,0.217,0.159,0.567,0.567,0.558,0.6,7
93.0,154.0,95.8871917724609,155.9248046875,0.18431372940540303,0.152941182255745,0.065,0.011980392411351197,42.512811781317005,168.0,122.0,168.0,122.0,0.18431372940540303,0.18431372940540303,0.083,0.015298039540648452,40.87175063537161,86.0,151.0,91.0,158.0,0.18823531270027202,0.109803929924965,0.083,0.015623530954122578,47.56574397610112,179.0,125.0,179.0,125.0,0.18431372940540303,0.18431372940540303,0.091,0.016772549375891677,51.56064390598706,77.0,146.0,90.0,155.0,0.18823531270027202,0.172549024224281,0.075,0.014117648452520401,46.502688094345686,92.0,133.0,92.0,133.0,0.18431372940540303,0.18431372940540303,0.083,0.015298039540648452,35.92352989337211,0.24,0.175,0.267,0.184,0.25,0.167,0.309,0.218,0.242,0.167,0.59,0.608,0.634,0.634,7
72.0,108.0,90.0,122.0,0.18823531270027202,0.121568635106087,0.074,0.01392941313982013,37.90118731649445,177.0,106.0,177.0,106.0,0.18431372940540303,0.18431372940540303,0.083,0.015298039540648452,53.96758286230726,151.0,172.0,151.0,172.0,0.18431372940540303,0.18431372940540303,0.074,0.013639215975999824,50.32395056034453,190.0,142.0,190.0,142.0,0.18431372940540303,0.18431372940540303,0.083,0.015298039540648452,64.1599563590874,66.0,115.0,72.0,121.0,0.18823531270027202,0.172549024224281,0.066,0.012423530638217955,55.87933428379404,123.0,118.0,125.0,119.0,0.18823531270027202,0.121568635106087,0.091,0.017129413455724753,8.860022573334675,0.242,0.168,0.259,0.176,0.233,0.159,0.293,0.21,0.225,0.159,0.575,0.575,0.592,0.609,7
114.0,104.0,117.910858154297,107.91082763671899,0.18823531270027202,0.172549024224281,0.075,0.014117648452520401,21.810257110253072,189.0,79.0,189.0,79.0,0.18431372940540303,0.18431372940540303,0.092,0.01695686310529708,78.32304897027439,164.0,132.0,164.0,132.0,0.18431372940540303,0.18431372940540303,0.067,0.012349019870162004,36.776351096866584,155.0,184.0,155.0,184.0,0.18431372940540303,0.18431372940540303,0.066,0.0121647061407566,62.83709095749102,103.0,82.0,100.0,79.0,0.172549024224281,0.176470592617989,0.066,0.011388235598802548,55.753923628745625,116.0,151.0,116.0,151.0,0.18431372940540303,0.18431372940540303,0.091,0.016772549375891677,26.16295090390226,0.242,0.167,0.267,0.175,0.251,0.184,0.292,0.226,0.25,0.184,0.576,0.584,0.609,0.633,7
86.0,110.0,91.8796844482422,116.859619140625,0.18431372940540303,0.0980392247438431,0.083,0.015298039540648452,37.17559125070309,190.0,38.0,190.0,38.0,0.18431372940540303,0.18431372940540303,0.099,0.0182470592111349,109.16272257506222,155.0,125.0,155.0,125.0,0.18431372940540303,0.18431372940540303,0.091,0.016772549375891677,27.613402542968153,199.0,123.0,199.0,123.0,0.18431372940540303,0.18431372940540303,0.108,0.019905882775783527,71.64146843832837,98.0,85.0,103.0,91.0,0.18823531270027202,0.176470592617989,0.083,0.015623530954122578,43.96020928066653,147.0,94.0,147.0,94.0,0.18431372940540303,0.18431372940540303,0.092,0.01695686310529708,38.76209488662861,0.251,0.168,0.275,0.176,0.259,0.168,0.292,0.184,0.25,0.167,0.617,0.642,0.634,0.634,7
109.0,115.0,115.81121826171899,120.83819580078101,0.18431372940540303,0.176470592617989,0.075,0.013823529705405227,13.453893626526984,208.0,55.0,208.0,55.0,0.18431372940540303,0.18431372940540303,0.084,0.015482353270053855,108.3351281902597,139.0,108.0,141.947326660156,114.877075195313,0.18431372940540303,0.10196079313755,0.083,0.015298039540648452,19.184980538171953,184.0,145.0,184.0,145.0,0.18431372940540303,0.18431372940540303,0.083,0.015298039540648452,59.14811915860047,120.0,111.0,120.0,111.0,0.18823531270027202,0.18823531270027202,0.067,0.012611765950918227,18.12456896039186,149.0,121.0,149.0,121.0,0.18431372940540303,0.18431372940540303,0.083,0.015298039540648452,22.4610774452162,0.25,0.175,0.293,0.209,0.258,0.175,0.309,0.226,0.251,0.184,0.626,0.634,0.634,0.643,7
29.0,42.0,44.0,54.0,0.18431372940540303,0.164705887436867,0.092,0.01695686310529708,111.24072995085928,135.0,23.0,135.0,23.0,0.18431372940540303,0.18431372940540303,0.099,0.0182470592111349,104.76879306358359,154.0,66.0,154.0,66.0,0.18823531270027202,0.18823531270027202,0.083,0.015623530954122578,66.9664094901317,180.0,121.0,180.0,121.0,0.18823531270027202,0.18823531270027202,0.1,0.018823531270027203,52.90085065478626,149.0,184.0,149.0,184.0,0.18823531270027202,0.18823531270027202,0.066,0.012423530638217955,60.45246066125018,108.0,210.0,108.0,210.0,0.18431372940540303,0.18431372940540303,0.092,0.01695686310529708,84.77322690566875,0.276,0.184,0.275,0.176,0.259,0.176,0.317,0.217,0.25,0.184,0.634,0.634,0.642,0.659,7
82.0,53.0,99.0,76.0,0.18823531270027202,0.0980392247438431,0.091,0.017129413455724753,58.86000339789321,142.0,24.0,142.0,24.0,0.18823531270027202,0.18823531270027202,0.092,0.017317648768425026,104.51076499576492,160.0,84.0,161.964294433594,92.83935546875,0.18823531270027202,0.105882361531258,0.083,0.015623530954122578,48.87891027966079,204.0,61.0,204.0,61.0,0.18823531270027202,0.18823531270027202,0.091,0.017129413455724753,101.36320831544353,113.0,150.0,113.0,150.0,0.18431372940540303,0.18431372940540303,0.074,0.013639215975999824,26.767517628648346,165.0,120.0,165.0,120.0,0.18431372940540303,0.18431372940540303,0.091,0.016772549375891677,38.242646351945886,0.275,0.184,0.326,0.234,0.258,0.175,0.326,0.235,0.25,0.176,0.684,0.675,0.658,0.667,7
