xCoordPress0,yCoordPress0,xCoordRelease0,yCoordRelease0,pressPressure0,releasePressure0,holdTime0,HPP0,offSet0,xCoordPress1,yCoordPress1,xCoordRelease1,yCoordRelease1,pressPressure1,releasePressure1,holdTime1,HPP1,offSet1,xCoordPress2,yCoordPress2,xCoordRelease2,yCoordRelease2,pressPressure2,releasePressure2,holdTime2,HPP2,offSet2,xCoordPress3,yCoordPress3,xCoordRelease3,yCoordRelease3,pressPressure3,releasePressure3,holdTime3,HPP3,offSet3,xCoordPress4,yCoordPress4,xCoordRelease4,yCoordRelease4,pressPressure4,releasePressure4,holdTime4,HPP4,offSet4,xCoordPress5,yCoordPress5,xCoordRelease5,yCoordRelease5,pressPressure5,releasePressure5,holdTime5,HPP5,offSet5,xCoordPress6,yCoordPress6,xCoordRelease6,yCoordRelease6,pressPressure6,releasePressure6,holdTime6,HPP6,offSet6,PPTime0,UDTime0,PPTime1,UDTime1,PPTime2,UDTime2,PPTime3,UDTime3,PPTime4,UDTime4,PPTime5,UDTime5,Tri0,Tri1,Tri2,Tri3,Tri4
88.0,139.0,88.0,139.0,0.19215688109397897,0.19215688109397897,0.116,0.022290198206901563,41.140004861448425,129.0,130.0,129.0,130.0,0.180392161011696,0.180392161011696,0.049,0.008839215889573104,2.9154759474226504,157.0,175.0,157.0,175.0,0.18823531270027202,0.18823531270027202,0.091,0.017129413455724753,55.915114235777075,106.0,114.0,106.0,114.0,0.19215688109397897,0.19215688109397897,0.117,0.02248235508799554,25.387004549572207,120.0,108.0,120.0,108.0,0.18823531270027202,0.18823531270027202,0.108,0.02032941377162938,20.89258241577618,142.0,152.0,142.0,152.0,0.18823531270027202,0.18823531270027202,0.1,0.018823531270027203,28.469281690973517,141.0,119.0,141.0,119.0,0.18823531270027202,0.18823531270027202,0.108,0.02032941377162938,15.953056133543816,0.5,0.384,0.542,0.493,0.592,0.501,0.417,0.3,0.509,0.401,0.459,0.359,1.133,1.251,1.117,1.026,1.076
71.0,129.0,71.0,129.0,0.18823531270027202,0.18823531270027202,0.082,0.015435295641422306,56.519907997094265,97.0,101.0,97.0,101.0,0.18431372940540303,0.18431372940540303,0.066,0.0121647061407566,40.40420770167385,115.0,147.0,115.0,147.0,0.18823531270027202,0.18823531270027202,0.083,0.015623530954122578,23.16246964380094,111.0,142.0,111.0,142.0,0.19607844948768602,0.19607844948768602,0.125,0.024509806185960752,21.965882636488796,128.0,112.0,128.0,112.0,0.19215688109397897,0.19215688109397897,0.108,0.02075294315814973,15.508062419270823,106.0,170.0,106.0,170.0,0.19215688109397897,0.19215688109397897,0.1,0.0192156881093979,47.62877281643944,129.0,107.0,129.0,107.0,0.18823531270027202,0.18823531270027202,0.117,0.022023531585931826,20.554804791094465,0.517,0.435,0.584,0.518,0.517,0.434,0.409,0.284,0.451,0.343,0.4,0.3,1.184,1.226,1.034,0.96,0.968
108.0,113.0,108.0,113.0,0.18823531270027202,0.18823531270027202,0.141,0.026541179090738352,24.300205760445735,111.0,110.0,111.0,110.0,0.18823531270027202,0.18823531270027202,0.083,0.015623530954122578,24.052026941611388,149.0,119.0,149.0,119.0,0.18823531270027202,0.18823531270027202,0.1,0.018823531270027203,23.119256043393783,115.0,139.0,115.0,139.0,0.19215688109397897,0.19215688109397897,0.117,0.02248235508799554,16.98528775146303,117.0,114.0,117.0,114.0,0.18431372940540303,0.18431372940540303,0.099,0.0182470592111349,17.10263137648707,83.0,138.0,83.0,138.0,0.18823531270027202,0.18823531270027202,0.117,0.022023531585931826,45.721985958617324,142.0,116.0,142.0,116.0,0.18431372940540303,0.18431372940540303,0.083,0.015298039540648452,18.506755523321747,0.475,0.334,0.417,0.334,0.584,0.484,0.376,0.259,0.525,0.426,0.501,0.384,0.992,1.118,1.059,1.018,1.109
124.0,117.0,124.0,117.0,0.19215688109397897,0.19215688109397897,0.125,0.02401961013674737,11.067971810589327,116.0,147.0,116.0,147.0,0.18823531270027202,0.18823531270027202,0.125,0.023529414087534003,22.638462845343543,129.0,175.0,129.0,175.0,0.180392161011696,0.180392161011696,0.099,0.017858823940157906,47.52367830881781,114.0,113.0,114.0,113.0,0.19215688109397897,0.19215688109397897,0.1,0.0192156881093979,19.81161275615895,110.0,147.0,110.0,147.0,0.18823531270027202,0.18823531270027202,0.1,0.018823531270027203,26.201145013147805,99.0,159.0,99.0,159.0,0.19215688109397897,0.19215688109397897,0.133,0.025556865185499204,42.47940677551889,144.0,108.0,144.0,108.0,0.19215688109397897,0.19215688109397897,0.125,0.02401961013674737,25.544079548889602,0.434,0.309,0.493,0.368,0.55,0.451,0.359,0.259,0.409,0.309,0.425,0.292,1.026,1.143,1.009,0.901,0.959
109.0,147.0,109.0,147.0,0.18823531270027202,0.18823531270027202,0.117,0.022023531585931826,26.879360111431225,90.0,112.0,90.0,112.0,0.18823531270027202,0.18823531270027202,0.108,0.02032941377162938,40.577087130546964,112.0,189.0,112.0,189.0,0.19215688109397897,0.19215688109397897,0.108,0.02075294315814973,63.42318188170631,126.0,150.0,126.0,150.0,0.19215688109397897,0.19215688109397897,0.116,0.022290198206901563,22.54994456755936,126.0,121.0,126.0,121.0,0.18431372940540303,0.18431372940540303,0.091,0.016772549375891677,6.670832032063167,69.0,138.0,69.0,138.0,0.18431372940540303,0.18431372940540303,0.092,0.01695686310529708,59.434838268476845,132.0,117.0,132.0,117.0,0.18431372940540303,0.18431372940540303,0.066,0.0121647061407566,11.423659658795863,0.401,0.284,0.509,0.401,0.609,0.501,0.367,0.251,0.4,0.309,0.509,0.417,1.018,1.234,1.067,0.859,0.975
164.0,107.0,164.0,107.0,0.18823531270027202,0.18823531270027202,0.125,0.023529414087534003,41.862871377868956,129.0,141.0,129.0,141.0,0.18823531270027202,0.18823531270027202,0.108,0.02032941377162938,13.583077707206124,92.0,138.0,92.0,138.0,0.18823531270027202,0.18823531270027202,0.117,0.022023531585931826,37.02026472082554,137.0,111.0,137.0,111.0,0.19215688109397897,0.19215688109397897,0.117,0.02248235508799554,19.03943276465977,114.0,133.0,114.0,133.0,0.18431372940540303,0.18431372940540303,0.057,0.010505882576107973,14.577379737113251,111.0,140.0,111.0,140.0,0.18431372940540303,0.18431372940540303,0.108,0.019905882775783527,20.700241544484452,133.0,121.0,133.0,121.0,0.19215688109397897,0.19215688109397897,0.108,0.02075294315814973,8.514693182963201,0.476,0.351,0.467,0.359,0.609,0.492,0.393,0.276,0.392,0.335,0.417,0.309,1.06,1.193,1.059,0.893,0.917
131.0,137.0,131.0,137.0,0.18823531270027202,0.18823531270027202,0.133,0.02503529658913618,10.124228365658293,107.0,134.0,107.0,134.0,0.18431372940540303,0.18431372940540303,0.092,0.01695686310529708,21.50581316760657,133.0,129.0,133.0,129.0,0.18823531270027202,0.18823531270027202,0.099,0.018635295957326933,5.70087712549569,121.0,149.0,121.0,149.0,0.19215688109397897,0.19215688109397897,0.133,0.025556865185499204,22.4610774452162,136.0,114.0,136.0,114.0,0.18823531270027202,0.18823531270027202,0.091,0.017129413455724753,15.953056133543816,121.0,106.0,121.0,106.0,0.19215688109397897,0.19215688109397897,0.108,0.02075294315814973,22.4610774452162,124.0,147.0,124.0,147.0,0.19215688109397897,0.19215688109397897,0.091,0.017486276179552087,19.81161275615895,0.559,0.426,0.451,0.359,0.492,0.393,0.401,0.268,0.375,0.284,0.409,0.301,1.109,1.076,0.984,0.884,0.875
130.0,102.0,130.0,102.0,0.18823531270027202,0.18823531270027202,0.108,0.02032941377162938,25.622255950637914,117.0,127.0,117.0,127.0,0.18823531270027202,0.18823531270027202,0.092,0.017317648768425026,10.51189802081432,101.0,164.0,101.0,164.0,0.18823531270027202,0.18823531270027202,0.108,0.02032941377162938,45.10543204537564,130.0,143.0,130.0,143.0,0.18823531270027202,0.18823531270027202,0.15,0.028235296905040803,15.700318468107582,123.0,130.0,123.0,130.0,0.18431372940540303,0.18431372940540303,0.091,0.016772549375891677,5.1478150704935,118.0,144.0,118.0,144.0,0.18823531270027202,0.18823531270027202,0.099,0.018635295957326933,19.03943276465977,102.0,133.0,102.0,133.0,0.19215688109397897,0.19215688109397897,0.108,0.02075294315814973,26.086394921491163,0.417,0.309,0.451,0.359,0.434,0.326,0.392,0.242,0.409,0.318,0.375,0.276,0.976,1.035,0.917,0.9,0.892
128.0,109.0,128.0,109.0,0.19607844948768602,0.19607844948768602,0.1,0.019607844948768605,18.506755523321747,119.0,122.0,119.0,122.0,0.19215688109397897,0.19215688109397897,0.091,0.017486276179552087,10.124228365658293,123.0,146.0,123.0,146.0,0.18823531270027202,0.18823531270027202,0.116,0.021835296273231556,19.03943276465977,124.0,154.0,124.0,154.0,0.19607844948768602,0.19607844948768602,0.116,0.02274510014057158,26.73013280924732,113.0,125.0,113.0,125.0,0.18823531270027202,0.18823531270027202,0.1,0.018823531270027203,14.713938969562161,108.0,111.0,108.0,111.0,0.18823531270027202,0.18823531270027202,0.117,0.022023531585931826,25.544079548889602,104.0,120.0,104.0,120.0,0.19215688109397897,0.19215688109397897,0.09,0.017294119298458106,24.66779276708802,0.426,0.326,0.392,0.301,0.434,0.318,0.308,0.192,0.359,0.259,0.418,0.301,0.934,0.942,0.842,0.784,0.867
116.0,146.0,116.0,146.0,0.19215688109397897,0.19215688109397897,0.092,0.017678433060646065,21.783020910791965,118.0,121.0,118.0,121.0,0.18431372940540303,0.18431372940540303,0.083,0.015298039540648452,11.510864433221338,104.0,172.0,104.0,172.0,0.18823531270027202,0.18823531270027202,0.074,0.01392941313982013,50.32395056034453,121.0,148.0,121.0,148.0,0.19215688109397897,0.19215688109397897,0.1,0.0192156881093979,21.50581316760657,122.0,130.0,122.0,130.0,0.18431372940540303,0.18431372940540303,0.091,0.016772549375891677,6.041522986797286,108.0,122.0,108.0,122.0,0.19215688109397897,0.19215688109397897,0.116,0.022290198206901563,20.26079958935481,114.0,101.0,114.0,101.0,0.19215688109397897,0.19215688109397897,0.092,0.017678433060646065,29.740544715926102,0.434,0.342,0.443,0.36,0.433,0.359,0.493,0.393,0.643,0.552,0.433,0.317,0.951,0.976,1.017,1.252,1.168
