xCoordPress0,yCoordPress0,xCoordRelease0,yCoordRelease0,pressPressure0,releasePressure0,holdTime0,HPP0,offSet0,xCoordPress1,yCoordPress1,xCoordRelease1,yCoordRelease1,pressPressure1,releasePressure1,holdTime1,HPP1,offSet1,xCoordPress2,yCoordPress2,xCoordRelease2,yCoordRelease2,pressPressure2,releasePressure2,holdTime2,HPP2,offSet2,xCoordPress3,yCoordPress3,xCoordRelease3,yCoordRelease3,pressPressure3,releasePressure3,holdTime3,HPP3,offSet3,xCoordPress4,yCoordPress4,xCoordRelease4,yCoordRelease4,pressPressure4,releasePressure4,holdTime4,HPP4,offSet4,xCoordPress5,yCoordPress5,xCoordRelease5,yCoordRelease5,pressPressure5,releasePressure5,holdTime5,HPP5,offSet5,xCoordPress6,yCoordPress6,xCoordRelease6,yCoordRelease6,pressPressure6,releasePressure6,holdTime6,HPP6,offSet6,xCoordPress7,yCoordPress7,xCoordRelease7,yCoordRelease7,pressPressure7,releasePressure7,holdTime7,HPP7,offSet7,xCoordPress8,yCoordPress8,xCoordRelease8,yCoordRelease8,pressPressure8,releasePressure8,holdTime8,HPP8,offSet8,xCoordPress9,yCoordPress9,xCoordRelease9,yCoordRelease9,pressPressure9,releasePressure9,holdTime9,HPP9,offSet9,xCoordPress10,yCoordPress10,xCoordRelease10,yCoordRelease10,pressPressure10,releasePressure10,holdTime10,HPP10,offSet10,xCoordPress11,yCoordPress11,xCoordRelease11,yCoordRelease11,pressPressure11,releasePressure11,holdTime11,HPP11,offSet11,xCoordPress12,yCoordPress12,xCoordRelease12,yCoordRelease12,pressPressure12,releasePressure12,holdTime12,HPP12,offSet12,PPTime0,UDTime0,PPTime1,UDTime1,PPTime2,UDTime2,PPTime3,UDTime3,PPTime4,UDTime4,PPTime5,UDTime5,PPTime6,UDTime6,PPTime7,UDTime7,PPTime8,UDTime8,PPTime9,UDTime9,PPTime10,UDTime10,PPTime11,UDTime11
28.0,71.0,28.0,71.0,0.180392161011696,0.180392161011696,0.083,0.014972549363970768,28.429737951659,67.0,94.0,67.0,94.0,0.176470592617989,0.176470592617989,0.1,0.0176470592617989,17.356554957709783,87.0,70.0,87.0,70.0,0.172549024224281,0.172549024224281,0.083,0.014321569010615324,35.28809997718778,62.0,75.0,62.0,75.0,0.176470592617989,0.176470592617989,0.083,0.014647059187293088,10.965856099730654,38.0,76.0,38.0,76.0,0.180392161011696,0.180392161011696,0.074,0.013349019914865503,17.269916039170543,43.0,95.0,43.0,95.0,0.176470592617989,0.176470592617989,0.066,0.011647059112787276,16.650825805346713,47.0,80.0,47.0,80.0,0.180392161011696,0.180392161011696,0.066,0.011905882626771936,7.433034373659253,35.0,65.0,35.0,65.0,0.180392161011696,0.180392161011696,0.083,0.014972549363970768,25.83118270617898,78.0,80.0,78.0,80.0,0.176470592617989,0.176470592617989,0.1,0.0176470592617989,24.12985702402731,65.0,93.0,65.0,93.0,0.176470592617989,0.176470592617989,0.083,0.014647059187293088,15.20690632574555,28.0,109.0,28.0,109.0,0.180392161011696,0.180392161011696,0.108,0.019482353389263168,37.12478956169314,48.0,94.0,48.0,94.0,0.18431372940540303,0.18431372940540303,0.091,0.016772549375891677,12.971121771072847,46.0,108.0,46.0,108.0,0.176470592617989,0.176470592617989,0.092,0.01623529452085499,26.725456029785533,0.559,0.476,0.442,0.342,0.342,0.259,0.518,0.435,0.559,0.485,0.442,0.376,0.234,0.168,0.5,0.417,0.376,0.276,0.434,0.351,0.267,0.159,0.258,0.167
68.0,72.0,68.0,72.0,0.152941182255745,0.152941182255745,0.108,0.01651764768362046,17.5,56.0,95.0,56.0,95.0,0.180392161011696,0.180392161011696,0.092,0.01659607881307603,12.658988901172163,72.0,112.0,72.0,112.0,0.176470592617989,0.176470592617989,0.108,0.01905882400274281,34.55792239125495,74.0,95.0,74.0,95.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,23.58495283014151,33.0,75.0,33.0,75.0,0.18431372940540303,0.18431372940540303,0.074,0.013639215975999824,22.299103120977758,64.0,101.0,64.0,101.0,0.180392161011696,0.180392161011696,0.092,0.01659607881307603,21.02974084481309,42.0,59.0,42.0,59.0,0.18431372940540303,0.18431372940540303,0.083,0.015298039540648452,26.386549603917523,56.0,44.0,56.0,44.0,0.18431372940540303,0.18431372940540303,0.091,0.016772549375891677,38.55191305240247,96.0,63.0,96.0,63.0,0.172549024224281,0.172549024224281,0.091,0.01570196120440957,46.30604712129939,76.0,110.0,76.0,110.0,0.176470592617989,0.176470592617989,0.058,0.010235294371843362,35.21718330588067,35.0,100.0,35.0,100.0,0.180392161011696,0.180392161011696,0.083,0.014972549363970768,25.83118270617898,45.0,94.0,45.0,94.0,0.18431372940540303,0.18431372940540303,0.099,0.0182470592111349,14.603081866510234,69.0,75.0,69.0,75.0,0.180392161011696,0.180392161011696,0.1,0.0180392161011696,16.77050983124842,0.65,0.542,0.518,0.426,0.325,0.217,0.451,0.376,0.608,0.534,0.434,0.342,0.276,0.193,0.45,0.359,0.233,0.142,0.443,0.385,0.267,0.184,0.258,0.159
38.0,65.0,38.0,65.0,0.180392161011696,0.180392161011696,0.1,0.0180392161011696,23.71181140275875,80.0,91.0,80.0,91.0,0.180392161011696,0.180392161011696,0.075,0.0135294120758772,27.35415873317986,82.0,70.0,82.0,70.0,0.172549024224281,0.172549024224281,0.092,0.015874510228633853,30.663496212923928,67.0,68.0,67.0,68.0,0.176470592617989,0.176470592617989,0.083,0.014647059187293088,19.474342094150447,51.0,98.0,51.0,98.0,0.180392161011696,0.180392161011696,0.092,0.01659607881307603,15.787653403846944,67.0,95.0,67.0,95.0,0.180392161011696,0.180392161011696,0.092,0.01659607881307603,18.034688796871432,32.0,73.0,32.0,73.0,0.18823531270027202,0.18823531270027202,0.074,0.01392941313982013,23.96351393264352,41.0,54.0,41.0,54.0,0.18823531270027202,0.18823531270027202,0.083,0.015623530954122578,31.32491021535417,88.0,42.0,88.0,42.0,0.172549024224281,0.172549024224281,0.1,0.017254902422428102,52.87958017987662,71.0,120.0,71.0,120.0,0.180392161011696,0.180392161011696,0.067,0.012086274787783633,41.17341375208036,38.0,84.0,38.0,84.0,0.176470592617989,0.176470592617989,0.108,0.01905882400274281,16.070158679988197,47.0,94.0,47.0,94.0,0.18823531270027202,0.18823531270027202,0.108,0.02032941377162938,13.46291201783626,66.0,80.0,66.0,80.0,0.18431372940540303,0.18431372940540303,0.091,0.016772549375891677,12.257650672131263,0.559,0.459,0.367,0.292,0.276,0.184,0.425,0.342,0.534,0.442,0.376,0.284,0.283,0.209,0.417,0.334,0.242,0.142,0.451,0.384,0.325,0.217,0.276,0.168
42.0,64.0,42.0,64.0,0.18431372940540303,0.18431372940540303,0.083,0.015298039540648452,22.051077071199945,66.0,109.0,66.0,109.0,0.180392161011696,0.180392161011696,0.099,0.017858823940157906,29.090376415577712,80.0,108.0,80.0,108.0,0.172549024224281,0.172549024224281,0.1,0.017254902422428102,36.41771546926029,71.0,104.0,71.0,104.0,0.180392161011696,0.180392161011696,0.075,0.0135294120758772,27.408940147331492,52.0,74.0,52.0,74.0,0.18431372940540303,0.18431372940540303,0.091,0.016772549375891677,8.73212459828649,57.0,94.0,57.0,94.0,0.180392161011696,0.180392161011696,0.1,0.0180392161011696,11.884864324004713,46.0,92.0,46.0,92.0,0.18431372940540303,0.18431372940540303,0.091,0.016772549375891677,12.419742348374221,57.0,54.0,57.0,54.0,0.18431372940540303,0.18431372940540303,0.083,0.015298039540648452,28.6574597618142,87.0,89.0,87.0,89.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,33.63406011768428,64.0,112.0,64.0,112.0,0.180392161011696,0.180392161011696,0.066,0.011905882626771936,31.148836254345042,17.0,108.0,17.0,108.0,0.176470592617989,0.176470592617989,0.109,0.019235294595360802,44.93606569338264,43.0,104.0,43.0,104.0,0.18431372940540303,0.18431372940540303,0.092,0.01695686310529708,24.150569351466643,66.0,79.0,66.0,79.0,0.18431372940540303,0.18431372940540303,0.091,0.016772549375891677,12.5,0.543,0.46,0.492,0.393,0.275,0.175,0.418,0.343,0.567,0.476,0.409,0.309,0.225,0.134,0.643,0.56,0.242,0.167,0.5,0.434,0.284,0.175,0.251,0.159
38.0,64.0,38.0,64.0,0.180392161011696,0.180392161011696,0.075,0.0135294120758772,24.45914961727002,68.0,89.0,68.0,89.0,0.180392161011696,0.180392161011696,0.083,0.014972549363970768,15.435349040433131,95.0,82.0,95.0,82.0,0.176470592617989,0.176470592617989,0.092,0.01623529452085499,41.00304866714181,82.0,90.0,82.0,90.0,0.176470592617989,0.176470592617989,0.083,0.014647059187293088,28.98706608127149,54.0,67.0,54.0,67.0,0.180392161011696,0.180392161011696,0.074,0.013349019914865503,15.5,45.0,98.0,45.0,98.0,0.176470592617989,0.176470592617989,0.084,0.014823529779911077,17.92344832893492,51.0,84.0,51.0,84.0,0.18431372940540303,0.18431372940540303,0.083,0.015298039540648452,3.3541019662496847,63.0,75.0,63.0,75.0,0.18823531270027202,0.18823531270027202,0.091,0.017129413455724753,11.715374513859981,92.0,45.0,92.0,45.0,0.176470592617989,0.176470592617989,0.099,0.01747058866918091,53.387732673339855,67.0,101.0,67.0,101.0,0.176470592617989,0.176470592617989,0.05,0.00882352963089945,22.610838109190027,20.0,89.0,20.0,89.0,0.176470592617989,0.176470592617989,0.092,0.01623529452085499,34.61574786134195,40.0,100.0,40.0,100.0,0.18431372940540303,0.18431372940540303,0.091,0.016772549375891677,22.41093483101497,70.0,57.0,70.0,57.0,0.18431372940540303,0.18431372940540303,0.082,0.015113725811243048,30.103986446980738,0.492,0.417,0.325,0.242,0.301,0.209,0.484,0.401,0.7,0.626,0.401,0.317,0.217,0.134,0.384,0.293,0.25,0.151,0.45,0.4,0.301,0.209,0.234,0.143
53.0,58.0,53.0,58.0,0.180392161011696,0.180392161011696,0.083,0.014972549363970768,24.520399670478458,63.0,104.0,63.0,104.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,23.30772404161333,85.0,112.0,85.0,112.0,0.172549024224281,0.172549024224281,0.1,0.017254902422428102,42.79310692155922,66.0,100.0,66.0,100.0,0.176470592617989,0.176470592617989,0.066,0.011647059112787276,21.219095173922945,54.0,48.0,54.0,48.0,0.18431372940540303,0.18431372940540303,0.066,0.0121647061407566,34.5,48.0,124.0,48.0,124.0,0.180392161011696,0.180392161011696,0.083,0.014972549363970768,41.93149174546501,56.0,86.0,56.0,86.0,0.18431372940540303,0.18431372940540303,0.075,0.013823529705405227,4.031128874149275,67.0,72.0,67.0,74.94580078125,0.18431372940540303,0.14117647707462302,0.075,0.013823529705405227,15.03548887920054,85.0,57.0,85.0,57.0,0.172549024224281,0.172549024224281,0.109,0.01880784364044663,40.1403786728526,75.0,125.0,75.0,125.0,0.180392161011696,0.180392161011696,0.066,0.011905882626771936,47.40516849458506,48.0,103.0,48.0,103.0,0.180392161011696,0.180392161011696,0.108,0.019482353389263168,21.360009363293827,69.0,62.0,69.0,62.0,0.18431372940540303,0.18431372940540303,0.1,0.018431372940540303,25.401771591761076,64.0,64.0,64.0,64.0,0.180392161011696,0.180392161011696,0.092,0.01659607881307603,21.02974084481309,0.509,0.426,0.442,0.367,0.276,0.176,0.384,0.318,0.525,0.459,0.4,0.317,0.217,0.142,0.367,0.292,0.259,0.15,0.451,0.385,0.275,0.167,0.275,0.175
28.0,65.0,28.0,65.0,0.18431372940540303,0.18431372940540303,0.1,0.018431372940540303,31.34086788842964,97.0,81.0,97.0,81.0,0.180392161011696,0.180392161011696,0.091,0.016415686652064335,43.02615483633182,94.0,110.0,94.0,110.0,0.172549024224281,0.172549024224281,0.099,0.01708235339820382,48.541219597369,64.0,81.0,64.0,81.0,0.176470592617989,0.176470592617989,0.083,0.014647059187293088,10.111874208078342,54.0,90.0,54.0,90.0,0.18823531270027202,0.18823531270027202,0.091,0.017129413455724753,7.5,76.0,97.0,76.0,97.0,0.18431372940540303,0.18431372940540303,0.084,0.015482353270053855,26.348624252510795,37.0,66.0,37.0,66.0,0.18431372940540303,0.18431372940540303,0.074,0.013639215975999824,23.69071548096427,68.0,67.0,68.0,67.0,0.18431372940540303,0.18431372940540303,0.074,0.013639215975999824,20.886598574205422,104.0,57.0,104.0,57.0,0.172549024224281,0.172549024224281,0.099,0.01708235339820382,56.127087934436794,82.0,117.0,82.0,117.0,0.180392161011696,0.180392161011696,0.058,0.010462745338678369,44.432533126077786,47.0,110.0,47.0,110.0,0.180392161011696,0.180392161011696,0.099,0.017858823940157906,28.376927247325423,35.0,92.0,35.0,92.0,0.18431372940540303,0.18431372940540303,0.108,0.019905882775783527,21.242645786248,62.0,72.0,62.0,72.0,0.180392161011696,0.180392161011696,0.091,0.016415686652064335,13.200378782444085,0.526,0.426,0.342,0.251,0.3,0.201,0.409,0.326,0.625,0.534,0.468,0.384,0.242,0.168,0.392,0.318,0.25,0.151,0.551,0.493,0.275,0.176,0.292,0.184
29.0,65.0,29.0,65.0,0.180392161011696,0.180392161011696,0.075,0.0135294120758772,30.516389039334257,76.0,85.0,76.0,85.0,0.180392161011696,0.180392161011696,0.092,0.01659607881307603,22.14158982548453,96.0,85.0,96.0,85.0,0.172549024224281,0.172549024224281,0.092,0.015874510228633853,42.07433897282285,81.0,78.0,81.0,78.0,0.176470592617989,0.176470592617989,0.091,0.016058823928236998,27.37243138634199,48.0,77.0,48.0,77.0,0.18431372940540303,0.18431372940540303,0.1,0.018431372940540303,8.139410298049853,81.0,103.0,81.0,103.0,0.180392161011696,0.180392161011696,0.092,0.01659607881307603,33.90058996536786,58.0,90.0,58.0,90.0,0.18431372940540303,0.18431372940540303,0.083,0.015298039540648452,8.5,45.0,55.0,45.98173522949221,57.9451904296875,0.18431372940540303,0.176470592617989,0.066,0.0121647061407566,25.83081963400071,100.0,59.0,100.0,59.0,0.176470592617989,0.176470592617989,0.091,0.016058823928236998,51.655106233556424,71.0,132.0,71.0,132.0,0.180392161011696,0.180392161011696,0.058,0.010462745338678369,52.33784481615574,41.0,109.0,41.0,109.0,0.176470592617989,0.176470592617989,0.125,0.022058824077248625,29.516944286290883,61.0,101.0,61.0,101.0,0.18431372940540303,0.18431372940540303,0.092,0.01695686310529708,19.78004044485248,68.0,80.0,68.0,80.0,0.18431372940540303,0.18431372940540303,0.091,0.016772549375891677,14.221462653327892,0.492,0.417,0.325,0.233,0.318,0.226,0.458,0.367,0.584,0.484,0.384,0.292,0.234,0.151,0.4,0.334,0.234,0.143,0.492,0.434,0.3,0.175,0.276,0.184
60.0,75.0,60.0,75.0,0.176470592617989,0.176470592617989,0.083,0.014647059187293088,9.604686356149273,62.0,105.0,62.0,105.0,0.180392161011696,0.180392161011696,0.091,0.016415686652064335,23.879907872519105,89.0,103.0,89.0,103.0,0.172549024224281,0.172549024224281,0.083,0.014321569010615324,40.56168142471414,66.0,98.0,66.0,98.0,0.180392161011696,0.180392161011696,0.091,0.016415686652064335,19.60229578391266,66.0,98.0,66.0,98.0,0.180392161011696,0.180392161011696,0.108,0.019482353389263168,19.60229578391266,85.0,99.0,85.0,99.0,0.180392161011696,0.180392161011696,0.092,0.01659607881307603,35.11765937530575,61.0,112.0,61.0,112.0,0.176470592617989,0.176470592617989,0.1,0.0176470592617989,30.319135871591065,74.0,69.0,77.75343322753909,78.26025390625,0.18431372940540303,0.105882361531258,0.083,0.015298039540648452,24.12884243047367,95.0,44.0,95.0,44.0,0.172549024224281,0.172549024224281,0.108,0.018635294616222348,56.24277731406941,65.0,110.0,65.0,110.0,0.180392161011696,0.180392161011696,0.067,0.012086274787783633,29.618406439239774,43.0,106.0,43.0,106.0,0.18431372940540303,0.18431372940540303,0.084,0.015482353270053855,25.947061490658243,65.0,82.0,65.0,82.0,0.18431372940540303,0.18431372940540303,0.108,0.019905882775783527,11.01135777277262,63.0,83.0,63.0,83.0,0.180392161011696,0.180392161011696,0.083,0.014972549363970768,9.013878188659973,0.492,0.409,0.401,0.31,0.275,0.192,0.451,0.36,0.575,0.467,0.451,0.359,0.25,0.15,0.359,0.276,0.242,0.134,0.442,0.375,0.284,0.2,0.301,0.193
39.0,85.0,39.0,85.0,0.176470592617989,0.176470592617989,0.1,0.0176470592617989,15.20690632574555,81.0,80.0,81.0,80.0,0.176470592617989,0.176470592617989,0.1,0.0176470592617989,27.115493725912497,91.0,66.0,91.0,66.0,0.172549024224281,0.172549024224281,0.092,0.015874510228633853,40.512343797909296,93.0,75.0,93.0,75.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,39.714606884621176,61.0,83.0,61.0,83.0,0.18431372940540303,0.18431372940540303,0.091,0.016772549375891677,7.0178344238090995,77.0,82.0,77.0,82.0,0.176470592617989,0.176470592617989,0.074,0.013058823853731185,23.005434140654682,87.0,79.0,87.0,79.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,33.185087012090236,61.0,63.0,61.0,63.0,0.180392161011696,0.180392161011696,0.091,0.016415686652064335,20.71834935510066,85.0,78.0,85.0,78.0,0.176470592617989,0.176470592617989,0.116,0.020470588743686725,31.32491021535417,61.0,115.0,61.0,115.0,0.176470592617989,0.176470592617989,0.066,0.011647059112787276,33.24530041975858,16.0,139.0,16.0,139.0,0.176470592617989,0.176470592617989,0.142,0.025058824151754436,68.09001395212076,43.0,100.0,43.0,100.0,0.18431372940540303,0.18431372940540303,0.108,0.019905882775783527,20.670026608594387,74.0,69.0,74.0,69.0,0.18431372940540303,0.18431372940540303,0.074,0.013639215975999824,24.12985702402731,0.501,0.401,0.3,0.2,0.259,0.167,0.359,0.284,0.493,0.402,0.375,0.301,0.292,0.217,0.426,0.335,0.292,0.176,0.417,0.351,0.451,0.309,0.267,0.159
