xCoordPress0,yCoordPress0,xCoordRelease0,yCoordRelease0,pressPressure0,releasePressure0,holdTime0,HPP0,offSet0,xCoordPress1,yCoordPress1,xCoordRelease1,yCoordRelease1,pressPressure1,releasePressure1,holdTime1,HPP1,offSet1,xCoordPress2,yCoordPress2,xCoordRelease2,yCoordRelease2,pressPressure2,releasePressure2,holdTime2,HPP2,offSet2,xCoordPress3,yCoordPress3,xCoordRelease3,yCoordRelease3,pressPressure3,releasePressure3,holdTime3,HPP3,offSet3,xCoordPress4,yCoordPress4,xCoordRelease4,yCoordRelease4,pressPressure4,releasePressure4,holdTime4,HPP4,offSet4,xCoordPress5,yCoordPress5,xCoordRelease5,yCoordRelease5,pressPressure5,releasePressure5,holdTime5,HPP5,offSet5,xCoordPress6,yCoordPress6,xCoordRelease6,yCoordRelease6,pressPressure6,releasePressure6,holdTime6,HPP6,offSet6,xCoordPress7,yCoordPress7,xCoordRelease7,yCoordRelease7,pressPressure7,releasePressure7,holdTime7,HPP7,offSet7,PPTime0,UDTime0,PPTime1,UDTime1,PPTime2,UDTime2,PPTime3,UDTime3,PPTime4,UDTime4,PPTime5,UDTime5,PPTime6,UDTime6,state
54.0,84.0,54.0,84.0,0.176470592617989,0.176470592617989,0.1,0.0176470592617989,1.5,35.0,101.0,35.0,101.0,0.18431372940540303,0.18431372940540303,0.134,0.02469803974032401,26.51886121235224,35.0,113.0,35.0,113.0,0.19215688109397897,0.19215688109397897,0.1,0.0192156881093979,35.9339672176619,31.0,110.0,31.0,110.0,0.18431372940540303,0.18431372940540303,0.1,0.018431372940540303,35.8503835404867,49.0,106.0,49.0,106.0,0.19215688109397897,0.19215688109397897,0.133,0.025556865185499204,24.026027553467927,29.0,71.0,29.0,71.0,0.18431372940540303,0.18431372940540303,0.1,0.018431372940540303,27.518175811634027,64.0,118.0,64.0,118.0,0.19607844948768602,0.19607844948768602,0.108,0.02117647254467009,36.881567211820055,31.0,129.0,31.0,129.0,0.19215688109397897,0.19215688109397897,0.125,0.02401961013674737,51.87725898695882,0.817,0.717,0.259,0.125,0.159,0.059,0.776,0.676,0.392,0.259,0.259,0.159,0.392,0.284,2
44.0,86.0,44.0,86.0,0.180392161011696,0.180392161011696,0.074,0.013349019914865503,10.594810050208546,29.0,108.0,29.0,108.0,0.18431372940540303,0.18431372940540303,0.125,0.02303921617567538,35.71064267133819,40.0,118.0,40.0,118.0,0.19607844948768602,0.19607844948768602,0.091,0.017843138903379428,38.16084380618437,43.0,112.0,43.0,112.0,0.19215688109397897,0.19215688109397897,0.092,0.017678433060646065,31.48412298286233,49.0,150.0,51.9608154296875,150.0,0.19215688109397897,0.14117647707462302,0.1,0.0192156881093979,67.53079500281187,33.0,93.0,33.0,93.0,0.18823531270027202,0.18823531270027202,0.075,0.014117648452520401,23.47871376374779,55.0,110.0,55.0,110.0,0.176470592617989,0.176470592617989,0.1,0.0176470592617989,27.518175811634027,7.0,88.0,7.0,88.0,0.19215688109397897,0.19215688109397897,0.108,0.02075294315814973,47.32071428032337,0.2,0.126,0.235,0.11,0.158,0.067,0.209,0.117,0.167,0.067,0.209,0.134,0.25,0.15,2
38.0,71.0,38.0,71.0,0.18431372940540303,0.18431372940540303,0.091,0.016772549375891677,19.704060495238032,34.0,82.0,34.0,82.0,0.18431372940540303,0.18431372940540303,0.099,0.0182470592111349,20.006249023742555,20.0,106.0,20.0,106.0,0.19215688109397897,0.19215688109397897,0.092,0.017678433060646065,41.33098111586513,38.0,98.0,38.0,98.0,0.180392161011696,0.180392161011696,0.041,0.007396078601479537,22.276669409945463,54.0,106.0,59.311370849609396,107.827880859375,0.19215688109397897,0.172549024224281,0.083,0.015949021130800253,25.8787984483201,53.0,104.0,53.0,104.0,0.180392161011696,0.180392161011696,0.109,0.019662745550274863,21.523243250030884,37.0,97.0,35.0,103.0,0.19607844948768602,0.180392161011696,0.083,0.01627451130747794,27.95084971874737,32.0,128.0,32.0,128.0,0.19215688109397897,0.19215688109397897,0.099,0.019023531228303917,50.53958844312051,0.334,0.243,0.208,0.109,0.167,0.075,0.192,0.151,0.467,0.384,0.309,0.2,0.226,0.143,2
45.0,93.0,45.0,93.0,0.180392161011696,0.180392161011696,0.067,0.012086274787783633,13.82931668593933,38.0,90.0,38.0,90.0,0.18823531270027202,0.18823531270027202,0.108,0.02032941377162938,17.67059704707229,38.0,104.0,38.0,104.0,0.19607844948768602,0.19607844948768602,0.091,0.017843138903379428,26.800186566514792,25.0,88.0,25.0,88.0,0.19607844948768602,0.19607844948768602,0.092,0.018039217352867114,29.516944286290883,54.0,126.0,54.0,126.0,0.19607844948768602,0.19607844948768602,0.091,0.017843138903379428,43.5,25.0,113.0,25.0,113.0,0.19215688109397897,0.19215688109397897,0.109,0.020945100039243707,42.08622102303793,38.0,98.0,38.0,106.111328125,0.19607844948768602,0.172549024224281,0.074,0.014509805262088765,28.521830513247497,8.0,101.0,8.0,101.0,0.19607844948768602,0.19607844948768602,0.1,0.019607844948768605,49.580742229216376,0.217,0.15,0.209,0.101,0.133,0.042,0.218,0.126,0.141,0.05,0.201,0.092,0.2,0.126,2
31.0,54.0,31.0,54.0,0.18431372940540303,0.18431372940540303,0.099,0.0182470592111349,36.62308015445998,32.0,87.0,32.0,87.0,0.18823531270027202,0.18823531270027202,0.091,0.017129413455724753,22.45551157288562,8.0,100.0,8.0,100.0,0.19607844948768602,0.19607844948768602,0.075,0.01470588371157645,49.216359068911224,23.0,98.0,23.0,98.0,0.19215688109397897,0.19215688109397897,0.058,0.011145099103450781,34.659053651246744,71.0,135.0,71.0,135.0,0.19215688109397897,0.19215688109397897,0.108,0.02075294315814973,55.1837838499681,62.0,97.0,62.0,97.0,0.18823531270027202,0.18823531270027202,0.074,0.01392941313982013,16.560495161679196,35.0,79.0,35.0,80.9461669921875,0.20000001788139302,0.18431372940540303,0.075,0.015000001341104475,19.06343088261312,44.0,86.0,44.0,86.0,0.19607844948768602,0.19607844948768602,0.1,0.019607844948768605,10.594810050208546,0.225,0.126,0.2,0.109,0.167,0.092,0.184,0.126,0.376,0.268,0.208,0.134,0.192,0.117,2
40.0,80.0,40.0,80.0,0.180392161011696,0.180392161011696,0.083,0.014972549363970768,14.221462653327892,41.0,85.0,41.0,85.0,0.18823531270027202,0.18823531270027202,0.092,0.017317648768425026,13.238202294873727,25.0,102.0,25.0,102.0,0.19607844948768602,0.19607844948768602,0.083,0.01627451130747794,34.9463875100131,37.0,95.0,37.0,95.0,0.19607844948768602,0.19607844948768602,0.083,0.01627451130747794,21.10094784600919,59.0,127.0,71.0,128.0,0.19607844948768602,0.164705887436867,0.116,0.02274510014057158,48.57211133973898,65.0,85.0,65.0,85.0,0.18823531270027202,0.18823531270027202,0.057,0.010729412823915506,11.280514172678478,18.0,95.0,20.0,99.0,0.19607844948768602,0.164705887436867,0.083,0.01627451130747794,37.79219496139381,22.0,105.0,22.0,105.0,0.19607844948768602,0.19607844948768602,0.1,0.019607844948768605,39.1184099881373,0.208,0.125,0.209,0.117,0.15,0.067,0.209,0.126,0.493,0.377,0.3,0.243,0.225,0.142,2
33.0,71.0,33.0,71.0,0.18431372940540303,0.18431372940540303,0.083,0.015298039540648452,23.942639787625758,65.0,86.0,65.0,86.0,0.19215688109397897,0.19215688109397897,0.11,0.021137256920337685,11.543396380615196,30.0,86.0,30.0,86.0,0.19607844948768602,0.19607844948768602,0.083,0.01627451130747794,24.253865671269807,35.0,82.0,35.0,82.0,0.19215688109397897,0.19215688109397897,0.091,0.017486276179552087,19.00657780874821,61.0,137.0,61.0,137.0,0.19607844948768602,0.19607844948768602,0.108,0.02117647254467009,54.94770240874499,73.0,108.0,73.0,108.0,0.18823531270027202,0.18823531270027202,0.091,0.017129413455724753,31.80015723231569,29.0,109.0,29.0,109.0,0.19607844948768602,0.19607844948768602,0.091,0.017843138903379428,36.43144246389374,13.0,108.0,13.0,108.0,0.19607844948768602,0.19607844948768602,0.116,0.02274510014057158,48.28301978956991,0.2,0.117,0.217,0.107,0.142,0.059,0.209,0.118,0.275,0.167,0.242,0.151,0.359,0.268,2
35.0,68.0,35.0,68.0,0.18431372940540303,0.18431372940540303,0.075,0.013823529705405227,23.90083680543424,27.0,80.0,27.0,80.0,0.18823531270027202,0.18823531270027202,0.117,0.022023531585931826,27.115493725912497,36.0,97.0,36.0,97.0,0.20000001788139302,0.20000001788139302,0.1,0.020000001788139304,23.11384866265244,36.0,93.0,36.0,93.0,0.19607844948768602,0.19607844948768602,0.083,0.01627451130747794,20.838665984174707,78.0,109.0,78.0,109.0,0.19607844948768602,0.19607844948768602,0.108,0.02117647254467009,35.75262228144951,44.0,102.0,44.0,102.0,0.19215688109397897,0.19215688109397897,0.075,0.014411766082048421,21.914607000811127,20.0,106.0,22.0,109.0,0.19607844948768602,0.180392161011696,0.083,0.01627451130747794,41.548164821084455,15.0,92.0,15.0,92.0,0.19607844948768602,0.19607844948768602,0.108,0.02117647254467009,40.1403786728526,0.217,0.142,0.217,0.1,0.15,0.05,0.242,0.159,0.184,0.076,0.242,0.167,0.25,0.167,2
20.0,85.0,20.0,85.0,0.18823531270027202,0.18823531270027202,0.075,0.014117648452520401,34.09178786746157,47.0,76.0,47.0,76.0,0.19215688109397897,0.19215688109397897,0.108,0.02075294315814973,9.5524865872714,38.0,87.0,38.0,87.0,0.20000001788139302,0.20000001788139302,0.083,0.01660000148415562,16.62077013859466,36.0,86.0,36.0,86.0,0.19607844948768602,0.19607844948768602,0.091,0.017843138903379428,18.33712082089225,73.0,137.0,73.0,137.0,0.19607844948768602,0.19607844948768602,0.1,0.019607844948768605,57.716981903075975,25.0,110.0,25.0,110.0,0.18431372940540303,0.18431372940540303,0.041,0.007556862905621524,39.96561021678513,35.0,101.0,35.0,107.931030273438,0.20000001788139302,0.176470592617989,0.092,0.018400001645088156,31.74487833916709,17.0,79.0,17.0,79.0,0.18823531270027202,0.18823531270027202,0.091,0.017129413455724753,37.16517186829626,0.201,0.126,0.225,0.117,0.142,0.059,0.233,0.142,0.184,0.084,0.225,0.184,0.276,0.184,2
35.0,80.0,35.0,80.0,0.18431372940540303,0.18431372940540303,0.083,0.015298039540648452,19.1637678967368,20.0,60.0,20.0,60.0,0.18431372940540303,0.18431372940540303,0.125,0.02303921617567538,40.77070026379238,37.0,86.0,37.0,86.0,0.19607844948768602,0.19607844948768602,0.083,0.01627451130747794,17.356554957709783,51.0,106.0,51.0,106.0,0.19215688109397897,0.19215688109397897,0.091,0.017486276179552087,23.69071548096427,75.0,120.0,75.0,120.0,0.19607844948768602,0.18823531270027202,0.125,0.024509806185960752,42.97964634568321,23.0,108.0,23.0,108.0,0.18431372940540303,0.18823531270027202,0.099,0.0182470592111349,40.1403786728526,36.0,98.0,39.0,111.0,0.20000001788139302,0.15686275064945202,0.099,0.01980000177025791,32.20636583037583,30.0,101.0,30.0,101.0,0.180392161011696,0.180392161011696,0.133,0.02399215741455557,30.30264014900352,0.242,0.159,0.234,0.109,0.158,0.075,0.242,0.151,0.109,-0.016,0.242,0.143,0.258,0.159,2
64.0,92.0,57.0,87.0,0.11764706671237898,0.176470592617989,0.041,0.004823529735207539,5.408326913195984,32.0,66.0,35.386512756347706,64.537841796875,0.176470592617989,0.14117647707462302,0.099,0.01747058866918091,25.866987352293222,49.0,97.0,49.0,97.0,0.176470592617989,0.176470592617989,0.041,0.007235294297337549,15.337861650177967,46.0,95.0,46.0,95.0,0.176470592617989,0.176470592617989,0.022,0.003882353037595758,14.84082207965583,79.0,73.0,79.0,73.0,0.18431372940540303,0.18431372940540303,0.041,0.007556862905621524,26.744158240632665,51.0,84.0,51.0,84.0,0.180392161011696,0.180392161011696,0.041,0.007396078601479537,3.3541019662496847,77.0,109.0,77.0,109.0,0.180392161011696,0.180392161011696,0.067,0.012086274787783633,35.0891721190455,91.0,103.0,91.0,103.0,0.180392161011696,0.180392161011696,0.041,0.007396078601479537,42.29952718411874,1.085,1.044,0.684,0.585,0.169,0.128,0.181,0.159,0.409,0.368,0.4,0.359,0.234,0.167,3
41.0,98.0,36.1979370117187,98.0,0.176470592617989,0.121568635106087,0.05,0.00882352963089945,23.60430991659648,34.0,83.0,34.0,83.0,0.180392161011696,0.180392161011696,0.058,0.010462745338678369,20.006249023742555,54.0,120.0,57.0,120.0,0.180392161011696,0.152941182255745,0.049,0.008839215889573104,37.61980861195336,63.0,90.0,63.0,90.0,0.180392161011696,0.180392161011696,0.067,0.012086274787783633,11.715374513859981,63.0,83.0,67.0,83.0,0.180392161011696,0.109803929924965,0.05,0.0090196080505848,13.009611831257688,27.0,99.0,27.0,99.0,0.180392161011696,0.180392161011696,0.041,0.007396078601479537,31.64253466459348,46.0,74.0,46.0,74.0,0.180392161011696,0.180392161011696,0.024,0.004329411864280704,11.672617529928752,63.0,97.0,63.0,97.0,0.180392161011696,0.180392161011696,0.05,0.0090196080505848,17.066048165876012,0.342,0.292,0.218,0.16,0.433,0.384,0.217,0.15,0.493,0.443,0.334,0.293,0.291,0.267,3
33.0,101.0,33.0,101.0,0.176470592617989,0.176470592617989,0.041,0.007235294297337549,27.98660393831306,75.0,93.0,75.0,93.0,0.180392161011696,0.180392161011696,0.066,0.011905882626771936,23.47871376374779,75.0,75.0,75.0,75.0,0.180392161011696,0.180392161011696,0.05,0.0090196080505848,22.299103120977758,60.0,64.0,60.0,64.0,0.180392161011696,0.180392161011696,0.033,0.005952941313385968,19.448650338776723,54.0,139.0,52.0,128.0,0.180392161011696,0.12941177189350098,0.067,0.012086274787783633,45.54393483220351,42.0,93.0,42.0,93.0,0.180392161011696,0.180392161011696,0.058,0.010462745338678369,15.945218719101975,71.0,96.0,71.0,96.0,0.180392161011696,0.180392161011696,0.033,0.005952941313385968,21.70829334609241,81.0,109.0,83.0,111.0,0.180392161011696,0.12941177189350098,0.05,0.0090196080505848,40.660177077823946,0.292,0.251,0.208,0.142,0.159,0.109,0.133,0.1,0.401,0.334,0.459,0.401,0.15,0.117,3
61.0,92.0,61.0,92.0,0.172549024224281,0.172549024224281,0.042,0.007247059017419803,11.800423721205947,22.0,92.0,22.0,92.0,0.180392161011696,0.180392161011696,0.058,0.010462745338678369,33.380383460949034,67.0,124.0,67.0,124.0,0.18431372940540303,0.18431372940540303,0.042,0.0077411766350269275,43.48850422812907,98.0,73.0,98.0,73.0,0.18431372940540303,0.18431372940540303,0.033,0.0060823530703783,45.01388674620311,76.0,85.0,78.8750762939453,83.083251953125,0.18431372940540303,0.133333340287209,0.05,0.009215686470270152,24.88191317946479,54.0,118.0,54.0,118.0,0.180392161011696,0.180392161011696,0.049,0.008839215889573104,35.5,40.0,97.0,40.0,97.0,0.180392161011696,0.180392161011696,0.049,0.008839215889573104,20.155644370746373,66.0,106.0,66.0,106.0,0.180392161011696,0.180392161011696,0.05,0.0090196080505848,26.386549603917523,0.326,0.284,0.225,0.167,0.142,0.1,0.15,0.117,0.293,0.243,0.701,0.652,0.242,0.193,3
51.0,70.0,51.0,70.0,0.176470592617989,0.176470592617989,0.042,0.0074117648899555385,12.854960132182441,36.0,87.0,36.0,87.0,0.180392161011696,0.180392161011696,0.041,0.007396078601479537,18.553975315279473,58.0,119.0,60.0,118.0,0.18431372940540303,0.12941177189350098,0.049,0.009031372740864749,36.003472054789384,82.0,81.0,82.0,81.0,0.180392161011696,0.180392161011696,0.041,0.007396078601479537,28.040149785619906,76.0,89.0,78.0,80.0,0.168627455830574,0.176470592617989,0.058,0.009780392438173293,24.12985702402731,36.0,111.0,36.0,111.0,0.180392161011696,0.180392161011696,0.049,0.008839215889573104,33.70830758136635,39.0,99.0,39.0,99.0,0.180392161011696,0.180392161011696,0.05,0.0090196080505848,22.299103120977758,45.0,97.0,45.0,97.0,0.180392161011696,0.180392161011696,0.042,0.0075764707624912326,17.066048165876012,0.359,0.317,0.176,0.135,0.133,0.084,0.142,0.101,0.359,0.301,0.375,0.326,0.167,0.117,3
