xCoordPress0,yCoordPress0,xCoordRelease0,yCoordRelease0,pressPressure0,releasePressure0,holdTime0,HPP0,offSet0,xCoordPress1,yCoordPress1,xCoordRelease1,yCoordRelease1,pressPressure1,releasePressure1,holdTime1,HPP1,offSet1,xCoordPress2,yCoordPress2,xCoordRelease2,yCoordRelease2,pressPressure2,releasePressure2,holdTime2,HPP2,offSet2,xCoordPress3,yCoordPress3,xCoordRelease3,yCoordRelease3,pressPressure3,releasePressure3,holdTime3,HPP3,offSet3,xCoordPress4,yCoordPress4,xCoordRelease4,yCoordRelease4,pressPressure4,releasePressure4,holdTime4,HPP4,offSet4,xCoordPress5,yCoordPress5,xCoordRelease5,yCoordRelease5,pressPressure5,releasePressure5,holdTime5,HPP5,offSet5,xCoordPress6,yCoordPress6,xCoordRelease6,yCoordRelease6,pressPressure6,releasePressure6,holdTime6,HPP6,offSet6,PPTime0,UDTime0,PPTime1,UDTime1,PPTime2,UDTime2,PPTime3,UDTime3,PPTime4,UDTime4,PPTime5,UDTime5,Tri0,Tri1,Tri2,Tri3,Tri4,state
138.0,161.0,138.0,161.0,0.19215688109397897,0.19215688109397897,0.082,0.015756864249706275,35.106979363083916,175.0,151.0,175.0,151.0,0.203921586275101,0.203921586275101,0.116,0.023654904007911717,52.99528280894442,153.0,116.0,153.0,116.0,0.18823531270027202,0.18823531270027202,0.083,0.015623530954122578,27.97320146139873,109.0,131.0,124.830123901367,129.180847167969,0.207843154668808,0.12941177189350098,0.1,0.020784315466880803,3.1549145129656333,148.0,179.0,148.0,179.0,0.164705887436867,0.164705887436867,0.067,0.01103529445827009,55.43013620766234,134.0,161.0,134.0,161.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,34.12477106150311,116.0,137.0,116.0,137.0,0.211764723062515,0.211764723062515,0.091,0.019270589798688866,14.916433890176299,0.199,0.117,0.492,0.376,0.317,0.234,0.45,0.35,0.175,0.108,0.318,0.243,0.774,0.909,0.834,0.7,0.584,5
97.0,139.0,97.0,139.0,0.203921586275101,0.203921586275101,0.091,0.01855686435103419,32.59601202601324,158.0,156.0,163.0,154.0,0.211764723062515,0.18431372940540303,0.091,0.019270589798688866,44.30011286667337,143.0,136.0,143.0,136.0,0.18431372940540303,0.18431372940540303,0.075,0.013823529705405227,17.67766952966369,126.0,125.0,126.0,125.0,0.211764723062515,0.211764723062515,0.083,0.017576472014188747,2.9154759474226504,133.0,157.0,133.0,157.0,0.160784319043159,0.160784319043159,0.075,0.012058823928236926,30.008332176247315,114.0,172.0,114.0,172.0,0.172549024224281,0.172549024224281,0.066,0.011388235598802548,46.502688094345686,150.0,153.0,156.83859252929702,151.046142578125,0.211764723062515,0.18431372940540303,0.075,0.015882354229688624,37.61879639102657,0.192,0.101,0.25,0.159,0.301,0.226,0.416,0.333,0.176,0.101,0.317,0.251,0.517,0.634,0.792,0.658,0.568,5
128.0,132.0,128.0,132.0,0.203921586275101,0.203921586275101,0.099,0.020188237041235003,4.527692569068709,201.0,119.0,201.0,119.0,0.211764723062515,0.211764723062515,0.083,0.017576472014188747,73.98986417070923,148.0,157.0,148.0,157.0,0.18823531270027202,0.18823531270027202,0.066,0.012423530638217955,35.92352989337211,128.0,148.0,128.0,148.0,0.203921586275101,0.203921586275101,0.083,0.016925491660833385,20.506096654409877,110.0,124.0,110.0,124.0,0.172549024224281,0.172549024224281,0.067,0.011560784623026827,17.84656829757475,102.0,148.0,102.0,148.0,0.172549024224281,0.172549024224281,0.066,0.011388235598802548,32.71849629796577,113.0,133.0,113.0,133.0,0.211764723062515,0.211764723062515,0.075,0.015882354229688624,15.508062419270823,0.2,0.101,0.242,0.159,0.267,0.201,0.408,0.325,0.184,0.117,0.317,0.251,0.508,0.592,0.742,0.658,0.576,5
132.0,143.0,132.0,143.0,0.19607844948768602,0.19607844948768602,0.067,0.013137256115674964,16.140012391568973,154.0,110.0,154.0,110.0,0.207843154668808,0.207843154668808,0.082,0.017043138682842258,31.756889016400834,173.0,137.0,168.122009277344,136.0244140625,0.18823531270027202,0.164705887436867,0.074,0.01392941313982013,41.506785864935026,146.0,121.0,146.0,121.0,0.203921586275101,0.203921586275101,0.082,0.016721570074558285,19.60867155112758,160.0,103.0,160.0,103.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,40.70012284993744,129.0,140.0,129.0,140.0,0.176470592617989,0.176470592617989,0.066,0.011647059112787276,12.589678312014172,105.0,171.0,108.0,169.0,0.211764723062515,0.164705887436867,0.074,0.01567058950662611,45.8530260724415,0.193,0.126,0.25,0.168,0.267,0.193,0.375,0.293,0.192,0.117,0.309,0.243,0.517,0.599,0.717,0.633,0.575,5
138.0,126.0,138.0,126.0,0.203921586275101,0.203921586275101,0.108,0.02202353131771091,10.606601717798213,143.0,146.0,153.0,141.0,0.211764723062515,0.14509804546833,0.099,0.020964707583188986,28.853076092507017,140.0,132.0,140.0,132.0,0.19215688109397897,0.19215688109397897,0.075,0.014411766082048421,13.285330255586423,212.0,162.0,201.0,143.0,0.203921586275101,0.172549024224281,0.108,0.02202353131771091,75.11657606680433,160.0,182.0,160.0,182.0,0.149019613862038,0.149019613862038,0.076,0.011325490653514887,63.45470825714984,144.0,167.0,144.0,167.0,0.172549024224281,0.172549024224281,0.075,0.012941176816821075,42.80770958600799,106.0,223.0,128.0,215.0,0.211764723062515,0.172549024224281,0.082,0.01736470729112623,87.50142855976695,0.209,0.101,0.233,0.134,0.192,0.117,0.976,0.868,0.2,0.124,0.335,0.26,0.517,0.533,1.244,1.251,0.617,5
159.0,136.0,159.0,136.0,0.203921586275101,0.203921586275101,0.1,0.020392158627510103,32.626676202150904,135.0,164.0,135.0,164.0,0.207843154668808,0.207843154668808,0.066,0.01371764820814133,37.26258176777342,122.0,85.0,122.0,85.0,0.19215688109397897,0.19215688109397897,0.058,0.011145099103450781,42.85440467443224,139.0,112.0,139.0,112.0,0.207843154668808,0.207843154668808,0.075,0.0155882366001606,19.300259065618782,151.0,177.0,151.0,177.0,0.172549024224281,0.172549024224281,0.092,0.015874510228633853,54.79507277118993,123.0,165.0,123.0,165.0,0.176470592617989,0.176470592617989,0.074,0.013058823853731185,37.769034936042516,132.0,115.0,138.88269042968702,114.01678466796899,0.211764723062515,0.18431372940540303,0.091,0.019270589798688866,17.64547355862133,0.217,0.117,0.234,0.168,0.225,0.167,0.408,0.333,0.201,0.109,0.334,0.26,0.509,0.534,0.725,0.683,0.626,5
136.0,112.0,136.0,112.0,0.207843154668808,0.207843154668808,0.083,0.017250981837511066,17.67766952966369,167.0,169.0,167.0,169.0,0.211764723062515,0.211764723062515,0.075,0.015882354229688624,57.29310604252487,115.0,155.0,115.0,155.0,0.18823531270027202,0.18823531270027202,0.075,0.014117648452520401,30.20761493398643,138.0,209.0,130.0,179.0,0.203921586275101,0.176470592617989,0.1,0.020392158627510103,51.56064390598706,126.0,133.0,126.0,133.0,0.172549024224281,0.172549024224281,0.075,0.012941176816821075,5.70087712549569,118.0,177.0,118.0,177.0,0.172549024224281,0.172549024224281,0.058,0.010007843405008298,50.40337290301116,90.0,119.0,95.0,118.0,0.21960785984993,0.18823531270027202,0.074,0.01625098162889482,33.860005906674026,0.2,0.117,0.225,0.15,0.2,0.125,0.384,0.284,0.217,0.142,0.334,0.276,0.5,0.525,0.659,0.659,0.625,5
147.0,155.0,147.0,155.0,0.203921586275101,0.203921586275101,0.074,0.015090197384357474,33.712015662075146,141.0,153.0,143.903259277344,151.064514160156,0.211764723062515,0.180392161011696,0.058,0.01228235393762587,28.711552422743786,118.0,103.0,118.0,103.0,0.19607844948768602,0.19607844948768602,0.075,0.01470588371157645,26.277366686941825,129.0,166.0,129.0,166.0,0.207843154668808,0.207843154668808,0.1,0.020784315466880803,38.52920969861697,136.0,201.0,136.0,201.0,0.152941182255745,0.152941182255745,0.058,0.00887058857083321,73.98986417070923,120.0,188.0,120.0,188.0,0.168627455830574,0.168627455830574,0.05,0.008431372791528701,60.96310359553556,121.0,165.0,121.0,165.0,0.207843154668808,0.207843154668808,0.074,0.015380393445491792,38.05916446797013,0.199,0.125,0.217,0.159,0.2,0.125,0.542,0.442,0.2,0.142,0.301,0.251,0.491,0.517,0.8,0.792,0.575,5
142.0,135.0,142.0,135.0,0.20000001788139302,0.20000001788139302,0.091,0.018200001627206763,16.32482771731451,143.0,150.0,143.0,150.0,0.207843154668808,0.207843154668808,0.057,0.011847059816122057,27.3221521846285,95.0,149.0,95.0,149.0,0.18823531270027202,0.18823531270027202,0.083,0.015623530954122578,38.96793553679743,98.0,169.0,98.0,169.0,0.203921586275101,0.203921586275101,0.092,0.01876078593730929,50.91659847240387,131.0,159.0,131.0,159.0,0.172549024224281,0.172549024224281,0.083,0.014321569010615324,31.693847983480957,119.0,152.0,119.0,152.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,25.93260495977988,96.0,146.0,96.0,146.0,0.207843154668808,0.207843154668808,0.05,0.010392157733440401,36.53080891521566,0.209,0.118,0.208,0.151,0.225,0.142,0.401,0.309,0.191,0.108,0.334,0.259,0.5,0.525,0.709,0.667,0.575,5
122.0,158.0,122.0,158.0,0.20000001788139302,0.20000001788139302,0.066,0.01320000118017194,30.99193443462347,170.0,147.0,170.0,147.0,0.207843154668808,0.207843154668808,0.058,0.012054902970790865,46.76002566295275,104.0,116.0,104.0,116.0,0.19607844948768602,0.19607844948768602,0.083,0.01627451130747794,26.16295090390226,108.0,139.0,108.0,139.0,0.203921586275101,0.203921586275101,0.057,0.011623530417680758,22.638462845343543,127.0,135.0,127.0,135.0,0.160784319043159,0.160784319043159,0.074,0.011898039609193766,7.516648189186454,109.0,152.0,109.0,152.0,0.176470592617989,0.176470592617989,0.058,0.010235294371843362,30.700162866017504,114.0,158.0,114.0,158.0,0.211764723062515,0.211764723062515,0.066,0.013976471722125992,33.354160160315836,0.2,0.134,0.217,0.159,0.234,0.151,0.4,0.343,0.192,0.118,0.3,0.242,0.5,0.508,0.708,0.65,0.558,5
143.0,112.0,143.0,112.0,0.203921586275101,0.203921586275101,0.075,0.015294118970632575,21.920310216782973,104.0,162.0,99.0,158.0,0.18431372940540303,0.176470592617989,0.116,0.02138039261102675,41.743262929483606,117.0,182.0,117.0,182.0,0.18823531270027202,0.18823531270027202,0.083,0.015623530954122578,55.502252206554644,103.0,127.0,103.0,127.0,0.180392161011696,0.180392161011696,0.108,0.019482353389263168,24.50510150968569,124.0,162.0,124.0,162.0,0.172549024224281,0.172549024224281,0.075,0.012941176816821075,34.677081768799404,118.0,169.0,118.0,169.0,0.172549024224281,0.172549024224281,0.058,0.010007843405008298,42.573465914816005,112.0,125.0,105.134506225586,122.0576171875,0.18823531270027202,0.176470592617989,0.083,0.015623530954122578,23.018141594211013,0.175,0.1,0.191,0.075,0.226,0.143,0.233,0.125,0.175,0.1,0.15,0.092,0.449,0.525,0.534,0.466,0.408,6
105.0,202.0,105.0,202.0,0.20000001788139302,0.20000001788139302,0.083,0.01660000148415562,77.82351829620657,158.0,177.0,152.0,174.0,0.18431372940540303,0.172549024224281,0.117,0.021564706340432154,52.55949010407159,135.0,145.0,135.0,145.0,0.18823531270027202,0.18823531270027202,0.083,0.015623530954122578,19.03943276465977,120.0,137.0,120.0,137.0,0.18431372940540303,0.18431372940540303,0.083,0.015298039540648452,12.103718436910205,141.0,158.0,141.0,158.0,0.172549024224281,0.172549024224281,0.066,0.011388235598802548,33.354160160315836,116.0,154.0,116.0,154.0,0.172549024224281,0.172549024224281,0.058,0.010007843405008298,28.88771365130858,103.0,106.0,100.0,104.0,0.18431372940540303,0.149019613862038,0.091,0.016772549375891677,36.173194495371845,0.166,0.083,0.167,0.05,0.267,0.184,0.309,0.226,0.175,0.109,0.209,0.151,0.416,0.517,0.642,0.542,0.475,6
116.0,181.0,116.0,181.0,0.203921586275101,0.203921586275101,0.083,0.016925491660833385,54.7220248163388,128.0,137.0,128.0,137.0,0.18431372940540303,0.18431372940540303,0.099,0.0182470592111349,9.513148795220223,148.0,152.0,148.0,152.0,0.18823531270027202,0.18823531270027202,0.066,0.012423530638217955,31.945265689926575,105.0,122.0,107.0,120.0,0.176470592617989,0.12941177189350098,0.099,0.01747058866918091,21.828879952943073,118.0,177.0,118.0,177.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,50.40337290301116,108.0,132.0,108.0,132.0,0.176470592617989,0.176470592617989,0.066,0.011647059112787276,20.0124960961895,61.0,98.0,61.0,98.0,0.180392161011696,0.180392161011696,0.075,0.0135294120758772,72.74957044546724,0.167,0.084,0.167,0.068,0.242,0.176,0.325,0.226,0.209,0.134,0.2,0.134,0.4,0.508,0.642,0.6,0.484,6
194.0,173.0,194.0,177.0,0.20000001788139302,0.172549024224281,0.083,0.01660000148415562,82.90054282090075,124.0,130.0,124.0,130.0,0.180392161011696,0.180392161011696,0.116,0.020925490677356738,4.301162633521313,114.0,132.0,114.0,132.0,0.19215688109397897,0.19215688109397897,0.108,0.02075294315814973,14.230249470757707,129.0,139.0,129.0,139.0,0.18431372940540303,0.18431372940540303,0.117,0.021564706340432154,11.597413504743201,117.0,135.0,117.0,135.0,0.172549024224281,0.172549024224281,0.091,0.01570196120440957,12.90348790056394,106.0,146.0,106.0,146.0,0.176470592617989,0.176470592617989,0.067,0.011823529705405265,28.36370920736567,102.0,113.0,102.0,113.0,0.180392161011696,0.180392161011696,0.1,0.0180392161011696,29.33428028774526,0.133,0.05,0.159,0.043,0.241,0.133,0.518,0.401,0.191,0.1,0.142,0.075,0.4,0.517,0.85,0.776,0.433,6
