xCoordPress0,yCoordPress0,xCoordRelease0,yCoordRelease0,pressPressure0,releasePressure0,holdTime0,HPP0,offSet0,xCoordPress1,yCoordPress1,xCoordRelease1,yCoordRelease1,pressPressure1,releasePressure1,holdTime1,HPP1,offSet1,xCoordPress2,yCoordPress2,xCoordRelease2,yCoordRelease2,pressPressure2,releasePressure2,holdTime2,HPP2,offSet2,xCoordPress3,yCoordPress3,xCoordRelease3,yCoordRelease3,pressPressure3,releasePressure3,holdTime3,HPP3,offSet3,xCoordPress4,yCoordPress4,xCoordRelease4,yCoordRelease4,pressPressure4,releasePressure4,holdTime4,HPP4,offSet4,xCoordPress5,yCoordPress5,xCoordRelease5,yCoordRelease5,pressPressure5,releasePressure5,holdTime5,HPP5,offSet5,xCoordPress6,yCoordPress6,xCoordRelease6,yCoordRelease6,pressPressure6,releasePressure6,holdTime6,HPP6,offSet6,PPTime0,UDTime0,PPTime1,UDTime1,PPTime2,UDTime2,PPTime3,UDTime3,PPTime4,UDTime4,PPTime5,UDTime5
52.0,94.0,52.0,94.0,0.176470592617989,0.176470592617989,0.09,0.01588235333561901,11.672617529928752,66.0,125.0,66.0,125.0,0.180392161011696,0.180392161011696,0.083,0.014972549363970768,44.16163493350309,72.0,74.0,72.0,74.0,0.176470592617989,0.176470592617989,0.066,0.011647059112787276,19.90602923739438,52.0,93.0,52.0,93.0,0.176470592617989,0.176470592617989,0.083,0.014647059187293088,10.688779163215974,61.0,112.0,61.0,112.0,0.176470592617989,0.176470592617989,0.058,0.010235294371843362,30.319135871591065,46.0,115.0,46.0,115.0,0.180392161011696,0.180392161011696,0.066,0.011905882626771936,33.47013594235912,34.0,108.0,34.0,108.0,0.176470592617989,0.176470592617989,0.067,0.011823529705405265,32.407560846197605,0.249,0.159,0.3,0.217,0.283,0.217,0.217,0.134,0.609,0.551,0.241,0.175
46.0,102.0,46.0,102.0,0.176470592617989,0.176470592617989,0.066,0.011647059112787276,21.07723890835799,45.0,110.0,45.0,110.0,0.172549024224281,0.172549024224281,0.058,0.010007843405008298,28.935272592460574,58.0,85.0,58.0,85.0,0.176470592617989,0.176470592617989,0.1,0.0176470592617989,4.716990566028302,41.0,116.0,41.0,116.0,0.172549024224281,0.172549024224281,0.066,0.011388235598802548,35.9339672176619,70.0,100.0,70.0,100.0,0.172549024224281,0.172549024224281,0.074,0.012768627792596793,23.71181140275875,42.0,99.0,42.0,99.0,0.180392161011696,0.180392161011696,0.067,0.012086274787783633,20.402205763103165,37.0,101.0,37.0,101.0,0.180392161011696,0.180392161011696,0.083,0.014972549363970768,25.124689052802225,0.275,0.209,0.392,0.334,0.292,0.192,0.225,0.159,0.683,0.609,0.225,0.158
49.0,90.0,49.0,90.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,9.013878188659973,54.0,112.0,54.0,112.0,0.172549024224281,0.172549024224281,0.075,0.012941176816821075,29.5,36.0,92.0,36.0,92.0,0.176470592617989,0.176470592617989,0.083,0.014647059187293088,20.35313243704762,29.0,128.0,29.0,128.0,0.172549024224281,0.172549024224281,0.066,0.011388235598802548,51.915797210483056,76.0,117.0,76.0,117.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,40.91760012512953,47.0,104.0,47.0,104.0,0.176470592617989,0.176470592617989,0.058,0.010235294371843362,22.610838109190027,15.0,95.0,15.0,95.0,0.176470592617989,0.176470592617989,0.058,0.010235294371843362,40.95424275945045,0.267,0.192,0.309,0.234,0.283,0.2,0.233,0.167,0.626,0.551,0.2,0.142
39.0,101.0,36.0,98.0,0.172549024224281,0.10196079313755,0.091,0.01570196120440957,23.753947040439407,64.0,98.0,64.0,98.0,0.176470592617989,0.176470592617989,0.058,0.010235294371843362,18.445866745696716,62.0,75.0,62.0,75.0,0.176470592617989,0.176470592617989,0.083,0.014647059187293088,10.965856099730654,55.0,104.0,55.0,104.0,0.172549024224281,0.172549024224281,0.092,0.015874510228633853,21.523243250030884,67.0,108.0,67.0,108.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,28.622543562723422,25.0,118.0,25.0,118.0,0.180392161011696,0.180392161011696,0.066,0.011905882626771936,45.83939353874569,6.0,122.0,6.0,122.0,0.176470592617989,0.176470592617989,0.058,0.010235294371843362,62.16309194369276,0.267,0.176,0.308,0.25,0.25,0.167,0.217,0.125,0.609,0.534,0.208,0.142
44.0,105.0,44.0,105.0,0.176470592617989,0.176470592617989,0.091,0.016058823928236998,24.62214450449026,74.0,106.0,74.0,106.0,0.172549024224281,0.172549024224281,0.074,0.012768627792596793,30.858548248418945,78.0,80.0,78.0,80.0,0.172549024224281,0.172549024224281,0.083,0.014321569010615324,24.12985702402731,34.0,113.0,34.0,113.0,0.160784319043159,0.160784319043159,0.058,0.009325490504503223,36.47259244967377,62.0,108.0,62.0,108.0,0.172549024224281,0.172549024224281,0.058,0.010007843405008298,26.725456029785533,58.0,97.0,58.0,97.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,15.041608956491324,24.0,102.0,24.0,102.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,35.78058132562969,0.267,0.176,0.283,0.209,0.258,0.175,0.2,0.142,0.434,0.376,0.225,0.15
23.0,94.0,23.0,94.0,0.176470592617989,0.176470592617989,0.091,0.016058823928236998,33.06433123473088,68.0,113.0,68.0,113.0,0.176470592617989,0.176470592617989,0.074,0.013058823853731185,33.55964838909967,82.0,106.0,82.0,106.0,0.176470592617989,0.176470592617989,0.099,0.01747058866918091,36.55475345286848,59.0,126.0,59.0,126.0,0.172549024224281,0.172549024224281,0.058,0.010007843405008298,43.78641341786285,60.0,98.0,60.0,98.0,0.176470592617989,0.176470592617989,0.058,0.010235294371843362,16.62077013859466,29.0,114.0,29.0,114.0,0.18431372940540303,0.18431372940540303,0.075,0.013823529705405227,40.21504693519579,33.0,112.0,33.0,112.0,0.180392161011696,0.180392161011696,0.067,0.012086274787783633,36.21118611699981,0.25,0.159,0.267,0.193,0.291,0.192,0.209,0.151,0.65,0.592,0.233,0.158
64.0,114.0,64.0,114.0,0.176470592617989,0.176470592617989,0.083,0.014647059187293088,33.04920573932148,82.0,86.0,82.0,86.0,0.176470592617989,0.176470592617989,0.074,0.013058823853731185,28.217902119044926,60.0,55.0,60.0,55.0,0.172549024224281,0.172549024224281,0.083,0.014321569010615324,28.146935890075138,21.0,105.0,21.0,105.0,0.176470592617989,0.176470592617989,0.074,0.013058823853731185,39.94058086708304,51.0,137.0,51.0,137.0,0.176470592617989,0.176470592617989,0.083,0.014647059187293088,54.582506355058484,47.0,118.0,47.0,118.0,0.180392161011696,0.180392161011696,0.065,0.011725490465760241,36.18355980276125,26.0,104.0,26.0,104.0,0.18431372940540303,0.18431372940540303,0.067,0.012349019870162004,35.302266216207705,0.242,0.159,0.266,0.192,0.284,0.201,0.217,0.143,1.177,1.094,1.116,1.051
51.0,95.0,51.0,95.0,0.176470592617989,0.176470592617989,0.092,0.01623529452085499,12.854960132182441,33.0,68.0,33.0,68.0,0.180392161011696,0.180392161011696,0.083,0.014972549363970768,25.51960031034969,48.0,77.0,48.0,77.0,0.176470592617989,0.176470592617989,0.092,0.01623529452085499,8.139410298049853,32.0,111.0,32.0,111.0,0.172549024224281,0.172549024224281,0.067,0.011560784623026827,36.003472054789384,57.0,117.0,57.0,117.0,0.176470592617989,0.176470592617989,0.083,0.014647059187293088,34.630189141845584,46.0,110.0,46.0,110.0,0.18431372940540303,0.18431372940540303,0.1,0.018431372940540303,28.64000698323937,24.0,103.0,24.0,103.0,0.180392161011696,0.180392161011696,0.066,0.011905882626771936,36.33524459804833,0.251,0.159,0.258,0.175,0.258,0.166,0.201,0.134,0.617,0.534,0.234,0.134
7.0,96.0,7.0,96.0,0.176470592617989,0.176470592617989,0.066,0.011647059112787276,48.9004089962446,51.0,116.0,51.0,116.0,0.180392161011696,0.180392161011696,0.092,0.01659607881307603,33.63406011768428,56.0,105.0,56.0,105.0,0.172549024224281,0.172549024224281,0.083,0.014321569010615324,22.588713996153036,45.0,115.0,45.0,115.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,33.7231374578345,74.0,98.0,74.0,98.0,0.176470592617989,0.176470592617989,0.066,0.011647059112787276,25.30316185775999,24.0,112.0,24.0,112.0,0.180392161011696,0.180392161011696,0.058,0.010462745338678369,42.07433897282285,35.0,111.0,35.0,111.0,0.176470592617989,0.176470592617989,0.067,0.011823529705405265,34.2527371169079,0.241,0.175,0.518,0.426,0.283,0.2,0.217,0.142,0.501,0.435,0.216,0.158
38.0,96.0,38.0,96.0,0.176470592617989,0.176470592617989,0.091,0.016058823928236998,20.93442141545832,83.0,110.0,83.0,110.0,0.176470592617989,0.176470592617989,0.083,0.014647059187293088,39.96561021678513,74.0,89.0,74.0,89.0,0.176470592617989,0.176470592617989,0.1,0.0176470592617989,21.02974084481309,42.0,108.0,42.0,108.0,0.172549024224281,0.172549024224281,0.083,0.014321569010615324,28.182441342083905,52.0,104.0,52.0,104.0,0.176470592617989,0.176470592617989,0.083,0.014647059187293088,21.592822881689184,33.0,115.0,33.0,115.0,0.180392161011696,0.180392161011696,0.057,0.010282353177666672,38.69431482789171,38.0,130.0,38.0,130.0,0.176470592617989,0.176470592617989,0.091,0.016058823928236998,50.12235030403104,0.258,0.167,0.442,0.359,0.259,0.159,0.225,0.142,0.518,0.435,0.208,0.151
