xCoordPress0,yCoordPress0,xCoordRelease0,yCoordRelease0,pressPressure0,releasePressure0,holdTime0,HPP0,offSet0,xCoordPress1,yCoordPress1,xCoordRelease1,yCoordRelease1,pressPressure1,releasePressure1,holdTime1,HPP1,offSet1,xCoordPress2,yCoordPress2,xCoordRelease2,yCoordRelease2,pressPressure2,releasePressure2,holdTime2,HPP2,offSet2,xCoordPress3,yCoordPress3,xCoordRelease3,yCoordRelease3,pressPressure3,releasePressure3,holdTime3,HPP3,offSet3,xCoordPress4,yCoordPress4,xCoordRelease4,yCoordRelease4,pressPressure4,releasePressure4,holdTime4,HPP4,offSet4,xCoordPress5,yCoordPress5,xCoordRelease5,yCoordRelease5,pressPressure5,releasePressure5,holdTime5,HPP5,offSet5,xCoordPress6,yCoordPress6,xCoordRelease6,yCoordRelease6,pressPressure6,releasePressure6,holdTime6,HPP6,offSet6,xCoordPress7,yCoordPress7,xCoordRelease7,yCoordRelease7,pressPressure7,releasePressure7,holdTime7,HPP7,offSet7,PPTime0,UDTime0,PPTime1,UDTime1,PPTime2,UDTime2,PPTime3,UDTime3,PPTime4,UDTime4,PPTime5,UDTime5,PPTime6,UDTime6
48.0,100.0,53.8869018554687,98.0377197265625,0.18431372940540303,0.176470592617989,0.091,0.016772549375891677,15.538131338468789,24.0,103.0,24.0,103.0,0.133333340287209,0.133333340287209,0.049,0.006533333674073241,36.33524459804833,43.0,89.0,33.0,92.0,0.168627455830574,0.172549024224281,0.083,0.013996078833937643,23.04886114323222,36.0,91.0,36.0,91.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,19.90602923739438,29.0,112.0,29.0,112.0,0.18823531270027202,0.18823531270027202,0.058,0.010917648136615778,38.66846260197062,61.0,69.0,61.0,69.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,15.20690632574555,84.0,56.0,84.0,56.0,0.176470592617989,0.176470592617989,0.049,0.008647059038281462,40.02811511925087,50.0,107.0,49.0,132.0,0.172549024224281,0.14117647707462302,0.083,0.014321569010615324,49.751884386422994,0.167,0.076,0.1,0.051,0.125,0.042,0.117,0.042,0.208,0.15,0.201,0.126,0.075,0.026
39.0,74.0,44.26904296875,74.0,0.180392161011696,0.172549024224281,0.067,0.012086274787783633,12.9205853096535,49.0,117.0,49.0,117.0,0.152941182255745,0.152941182255745,0.083,0.012694118127226834,34.860436027106715,68.0,88.0,58.0,89.0,0.15686275064945202,0.12941177189350098,0.074,0.011607843548059448,7.632168761236874,59.0,108.0,59.0,108.0,0.164705887436867,0.164705887436867,0.066,0.010870588570833223,25.985572920372565,81.0,117.0,83.90277099609379,117.967529296875,0.18823531270027202,0.180392161011696,0.058,0.010917648136615778,46.39096191791581,86.0,74.0,86.0,74.0,0.176470592617989,0.176470592617989,0.083,0.014647059187293088,33.10966626228661,62.0,63.0,62.0,63.0,0.176470592617989,0.176470592617989,0.05,0.00882352963089945,21.07723890835799,22.0,108.0,22.0,121.0,0.176470592617989,0.172549024224281,0.067,0.011823529705405265,50.06246098625196,0.142,0.075,0.142,0.059,0.117,0.043,0.125,0.059,0.175,0.117,0.192,0.109,0.066,0.016
37.0,95.0,40.0,93.0,0.18431372940540303,0.176470592617989,0.066,0.0121647061407566,17.5,7.0,103.0,7.0,103.0,0.125490203499794,0.125490203499794,0.075,0.00941176526248455,51.27621280866987,52.0,91.0,52.0,91.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,8.73212459828649,21.0,103.0,21.0,103.0,0.137254908680916,0.137254908680916,0.033,0.004529411986470228,38.84906691286162,43.0,130.0,51.4776611328125,130.0,0.18823531270027202,0.176470592617989,0.057,0.010729412823915506,47.56692331190787,77.0,64.0,77.0,64.0,0.176470592617989,0.176470592617989,0.083,0.014647059187293088,29.516944286290883,57.0,53.0,57.0,53.0,0.180392161011696,0.180392161011696,0.058,0.010462745338678369,29.652150006365474,47.0,67.0,47.0,67.0,0.172549024224281,0.172549024224281,0.092,0.015874510228633853,17.00735135169495,0.125,0.059,0.15,0.075,0.159,0.084,0.134,0.101,0.208,0.151,0.184,0.101,0.091,0.033
58.0,63.0,60.9570922851562,64.971435546875,0.18431372940540303,0.176470592617989,0.083,0.015298039540648452,18.858730202522576,24.0,127.0,24.0,127.0,0.149019613862038,0.149019613862038,0.075,0.011176471039652849,53.66796064692602,71.0,92.0,71.0,92.0,0.149019613862038,0.149019613862038,0.092,0.013709804475307496,19.474342094150447,26.0,117.0,26.0,117.0,0.176470592617989,0.176470592617989,0.066,0.011647059112787276,44.432533126077786,56.0,161.0,56.0,161.0,0.18823531270027202,0.18823531270027202,0.066,0.012423530638217955,78.52547357386646,72.0,74.0,72.0,74.0,0.176470592617989,0.176470592617989,0.067,0.011823529705405265,19.90602923739438,69.0,68.0,69.0,68.0,0.180392161011696,0.180392161011696,0.049,0.008839215889573104,20.862646045025066,61.0,96.0,60.0,98.0,0.152941182255745,0.105882361531258,0.075,0.011470588669180874,16.62077013859466,0.1,0.017,0.125,0.05,0.117,0.025,0.167,0.101,0.25,0.184,0.184,0.117,0.108,0.059
70.0,95.0,74.0,93.0,0.18431372940540303,0.172549024224281,0.083,0.015298039540648452,22.588713996153036,16.0,136.0,16.0,136.0,0.14117647707462302,0.14117647707462302,0.075,0.010588235780596726,65.62202374203343,52.0,79.0,52.0,79.0,0.176470592617989,0.176470592617989,0.083,0.014647059187293088,4.031128874149275,19.0,112.0,17.0325317382812,113.967529296875,0.172549024224281,0.113725498318672,0.075,0.012941176816821075,48.546875385866734,53.0,138.0,53.0,138.0,0.18431372940540303,0.18431372940540303,0.066,0.0121647061407566,55.509008277936296,39.0,88.0,39.0,88.0,0.176470592617989,0.176470592617989,0.074,0.013058823853731185,15.976545308670458,52.0,75.0,52.0,75.0,0.176470592617989,0.176470592617989,0.067,0.011823529705405265,7.762087348130012,53.0,121.0,52.0,129.0,0.168627455830574,0.12941177189350098,0.067,0.01129803954064846,46.542990879400946,0.1,0.017,0.142,0.067,0.125,0.042,0.151,0.076,0.2,0.134,0.183,0.109,0.117,0.05
54.0,68.0,54.0,68.0,0.18431372940540303,0.18431372940540303,0.083,0.015298039540648452,14.5,30.0,103.0,30.0,103.0,0.152941182255745,0.152941182255745,0.075,0.011470588669180874,31.56342820417326,46.0,106.0,43.06201171875,105.020629882813,0.172549024224281,0.105882361531258,0.075,0.012941176816821075,25.036340746191566,27.0,112.0,27.0,112.0,0.172549024224281,0.172549024224281,0.066,0.011388235598802548,39.99062390110962,60.0,148.0,60.0,148.0,0.18431372940540303,0.18431372940540303,0.033,0.0060823530703783,65.77423507727019,58.0,93.0,58.0,93.0,0.176470592617989,0.176470592617989,0.058,0.010235294371843362,11.236102527122116,41.0,68.0,41.0,68.0,0.176470592617989,0.176470592617989,0.049,0.008647059038281462,19.474342094150447,43.0,132.0,42.0,140.9287109375,0.172549024224281,0.125490203499794,0.067,0.011560784623026827,59.64825447419172,0.116,0.033,0.134,0.059,0.117,0.042,0.142,0.076,0.183,0.15,0.176,0.118,0.091,0.042
30.0,60.0,45.0,63.0,0.18431372940540303,0.14117647707462302,0.075,0.013823529705405227,21.47673159491453,29.0,123.0,31.931373596191396,123.977172851563,0.14117647707462302,0.0901960805058479,0.075,0.010588235780596726,46.98276427701241,65.0,90.0,62.0,86.0,0.160784319043159,0.0980392247438431,0.084,0.013505882799625358,8.73212459828649,29.0,110.0,29.0,110.0,0.172549024224281,0.172549024224281,0.075,0.012941176816821075,37.16517186829626,90.0,124.0,90.0,124.0,0.18823531270027202,0.18823531270027202,0.042,0.007905883133411425,54.938602093609916,48.0,98.0,48.0,98.0,0.180392161011696,0.180392161011696,0.067,0.012086274787783633,16.62077013859466,52.0,89.0,52.0,89.0,0.180392161011696,0.180392161011696,0.05,0.0090196080505848,6.800735254367722,16.0,125.0,13.0,162.0,0.172549024224281,0.14117647707462302,0.066,0.011388235598802548,89.44970653948508,0.1,0.025,0.117,0.042,0.092,0.008,0.125,0.05,0.142,0.1,0.184,0.117,0.058,0.008
38.0,85.0,38.0,85.0,0.18823531270027202,0.18823531270027202,0.091,0.017129413455724753,16.194134740701646,36.0,106.0,36.0,106.0,0.15686275064945202,0.15686275064945202,0.1,0.0156862750649452,29.60152023123137,41.0,85.0,41.0,85.0,0.172549024224281,0.172549024224281,0.084,0.014494118034839605,13.238202294873727,35.0,111.0,35.0,111.0,0.172549024224281,0.172549024224281,0.067,0.011560784623026827,34.2527371169079,80.0,122.0,80.0,122.0,0.18823531270027202,0.18823531270027202,0.05,0.009411765635013601,47.28900506460249,49.0,86.0,49.0,86.0,0.180392161011696,0.180392161011696,0.074,0.013349019914865503,6.103277807866851,61.0,82.0,61.0,82.0,0.180392161011696,0.180392161011696,0.066,0.011905882626771936,7.0178344238090995,44.0,121.0,44.0,128.23596191406202,0.172549024224281,0.121568635106087,0.067,0.011560784623026827,46.81643100669392,0.125,0.034,0.125,0.025,0.117,0.033,0.142,0.075,0.176,0.126,0.175,0.101,0.108,0.042
46.0,83.0,51.9116821289062,80.044189453125,0.18431372940540303,0.176470592617989,0.108,0.019905882775783527,3.223674452061223,34.0,122.0,34.0,122.0,0.14117647707462302,0.14117647707462302,0.083,0.011717647597193712,44.27471061452576,60.0,110.0,60.0,110.0,0.14117647707462302,0.14117647707462302,0.092,0.012988235890865318,28.146935890075138,78.0,114.0,78.0,114.0,0.172549024224281,0.172549024224281,0.067,0.011560784623026827,39.60113634733226,48.0,151.0,48.0,151.0,0.18431372940540303,0.18431372940540303,0.041,0.007556862905621524,68.76227163205125,10.0,102.0,10.0,102.0,0.176470592617989,0.176470592617989,0.083,0.014647059187293088,48.12743500333256,41.0,96.0,41.0,96.0,0.176470592617989,0.176470592617989,0.067,0.011823529705405265,18.741664813991314,46.0,98.0,45.1876831054687,110.498413085938,0.172549024224281,0.113725498318672,0.083,0.014321569010615324,29.352479697300975,0.142,0.034,0.108,0.025,0.15,0.058,0.134,0.067,0.175,0.134,0.192,0.109,0.159,0.092
48.0,84.0,48.0,84.0,0.18431372940540303,0.18431372940540303,0.075,0.013823529705405227,6.18465843842649,25.0,92.0,25.0,92.0,0.149019613862038,0.149019613862038,0.075,0.011176471039652849,30.516389039334257,68.0,72.0,68.0,72.0,0.149019613862038,0.149019613862038,0.083,0.012368627950549153,17.5,26.0,109.0,26.0,109.0,0.133333340287209,0.133333340287209,0.058,0.007733333736658123,38.55191305240247,59.0,142.0,59.0,142.0,0.18823531270027202,0.18823531270027202,0.041,0.007717647820711153,59.70971445250764,75.0,76.0,75.0,76.0,0.180392161011696,0.180392161011696,0.092,0.01659607881307603,21.982947936980608,64.0,84.0,64.0,84.0,0.180392161011696,0.180392161011696,0.059,0.010643137499690064,10.111874208078342,55.0,102.0,55.0,105.0,0.149019613862038,0.0823529437184334,0.075,0.011176471039652849,22.522211259110417,0.125,0.05,0.142,0.067,0.125,0.042,0.134,0.076,0.225,0.184,0.2,0.108,0.092,0.033
