xCoordPress0,yCoordPress0,xCoordRelease0,yCoordRelease0,pressPressure0,releasePressure0,holdTime0,HPP0,offSet0,xCoordPress1,yCoordPress1,xCoordRelease1,yCoordRelease1,pressPressure1,releasePressure1,holdTime1,HPP1,offSet1,xCoordPress2,yCoordPress2,xCoordRelease2,yCoordRelease2,pressPressure2,releasePressure2,holdTime2,HPP2,offSet2,xCoordPress3,yCoordPress3,xCoordRelease3,yCoordRelease3,pressPressure3,releasePressure3,holdTime3,HPP3,offSet3,xCoordPress4,yCoordPress4,xCoordRelease4,yCoordRelease4,pressPressure4,releasePressure4,holdTime4,HPP4,offSet4,xCoordPress5,yCoordPress5,xCoordRelease5,yCoordRelease5,pressPressure5,releasePressure5,holdTime5,HPP5,offSet5,xCoordPress6,yCoordPress6,xCoordRelease6,yCoordRelease6,pressPressure6,releasePressure6,holdTime6,HPP6,offSet6,xCoordPress7,yCoordPress7,xCoordRelease7,yCoordRelease7,pressPressure7,releasePressure7,holdTime7,HPP7,offSet7,PPTime0,UDTime0,PPTime1,UDTime1,PPTime2,UDTime2,PPTime3,UDTime3,PPTime4,UDTime4,PPTime5,UDTime5,PPTime6,UDTime6
65.0,85.0,65.0,85.0,0.176470592617989,0.176470592617989,0.057,0.010058823779225373,11.280514172678478,21.0,99.0,21.0,99.0,0.18431372940540303,0.18431372940540303,0.05,0.009215686470270152,36.89512162874653,66.0,48.0,66.0,48.0,0.160784319043159,0.160784319043159,0.075,0.012058823928236926,36.52738698565776,53.0,74.0,53.0,74.0,0.18431372940540303,0.18431372940540303,0.067,0.012349019870162004,8.558621384311845,63.0,97.0,63.0,97.0,0.180392161011696,0.180392161011696,0.066,0.011905882626771936,17.066048165876012,47.0,130.0,47.0,130.0,0.18823531270027202,0.18823531270027202,0.058,0.010917648136615778,48.0130190677487,53.0,125.0,53.0,125.0,0.18431372940540303,0.18431372940540303,0.041,0.007556862905621524,42.51176307799995,40.0,58.0,38.1583251953125,65.208251953125,0.172549024224281,0.176470592617989,0.091,0.01570196120440957,23.4512944447439,0.291,0.234,0.334,0.284,0.325,0.25,0.234,0.167,0.217,0.151,0.159,0.101,0.225,0.184
61.0,55.0,60.0,57.0,0.18431372940540303,0.176470592617989,0.05,0.009215686470270152,26.196373794859472,42.0,52.0,42.964759826660206,57.78857421875,0.18823531270027202,0.180392161011696,0.05,0.009411765635013601,27.06346411355205,29.0,37.0,25.0,37.0,0.172549024224281,0.168627455830574,0.067,0.011560784623026827,53.956000593075835,87.0,105.0,87.0,105.0,0.18431372940540303,0.18431372940540303,0.05,0.009215686470270152,39.94058086708304,70.0,76.0,70.0,76.0,0.18823531270027202,0.18823531270027202,0.058,0.010917648136615778,17.269916039170543,50.0,131.0,50.0,131.0,0.19215688109397897,0.19215688109397897,0.05,0.00960784405469895,48.66466890876789,43.0,136.0,43.0,136.0,0.18823531270027202,0.18823531270027202,0.058,0.010917648136615778,54.61913584083879,50.0,48.0,50.0,51.9244384765625,0.172549024224281,0.133333340287209,0.075,0.012941176816821075,30.836098366581847,0.242,0.192,0.275,0.225,0.234,0.167,0.175,0.125,0.192,0.134,0.151,0.101,0.2,0.142
40.0,97.0,40.0,97.0,0.180392161011696,0.180392161011696,0.041,0.007396078601479537,20.155644370746373,48.0,72.0,48.0,74.88818359375,0.180392161011696,0.176470592617989,0.05,0.0090196080505848,9.692252008819038,52.0,46.0,41.0,50.0,0.168627455830574,0.12941177189350098,0.074,0.012478431731462476,35.00357124637428,75.0,104.0,75.0,104.0,0.18431372940540303,0.18431372940540303,0.066,0.0121647061407566,30.054117854297438,64.0,64.0,64.0,64.0,0.18431372940540303,0.18431372940540303,0.067,0.012349019870162004,21.02974084481309,42.0,122.0,42.0,122.0,0.19607844948768602,0.19607844948768602,0.074,0.014509805262088765,41.28256290493603,59.0,111.0,59.0,111.0,0.18823531270027202,0.18823531270027202,0.066,0.012423530638217955,28.935272592460574,46.0,33.0,46.0,33.0,0.172549024224281,0.172549024224281,0.092,0.015874510228633853,50.1422975141746,0.267,0.226,0.284,0.234,0.234,0.16,0.183,0.117,0.184,0.117,0.142,0.068,0.208,0.142
23.0,71.0,23.0,71.0,0.18823531270027202,0.18823531270027202,0.049,0.00922353032231333,33.06433123473088,74.0,67.0,74.0,71.0,0.18823531270027202,0.172549024224281,0.041,0.007717647820711153,23.070543990118654,29.0,74.0,19.0,62.0,0.15686275064945202,0.152941182255745,0.084,0.01317647105455397,40.56168142471414,89.0,99.0,89.0,99.0,0.18823531270027202,0.18823531270027202,0.066,0.012423530638217955,38.69431482789171,70.0,84.0,65.0,93.0,0.18431372940540303,0.172549024224281,0.075,0.013823529705405227,15.20690632574555,21.0,143.0,21.0,143.0,0.18823531270027202,0.18823531270027202,0.041,0.007717647820711153,68.91480247377918,47.0,133.0,47.0,133.0,0.18823531270027202,0.18823531270027202,0.049,0.00922353032231333,50.98284025042151,45.0,71.0,45.0,75.912841796875,0.172549024224281,0.12941177189350098,0.083,0.014321569010615324,11.153055778260816,0.258,0.209,0.275,0.234,0.243,0.159,0.2,0.134,0.217,0.142,0.142,0.101,0.192,0.143
33.0,66.0,33.0,66.0,0.18431372940540303,0.18431372940540303,0.066,0.0121647061407566,26.706740722147284,69.0,79.0,71.681884765625,89.7275390625,0.19215688109397897,0.176470592617989,0.057,0.010952942222356802,19.101999103884516,22.0,67.0,16.0,63.0,0.172549024224281,0.0941176563501358,0.083,0.014321569010615324,42.71123973850443,91.0,88.0,91.0,88.0,0.18823531270027202,0.18823531270027202,0.049,0.00922353032231333,37.406550228536176,85.0,91.0,80.0,93.0,0.18431372940540303,0.176470592617989,0.066,0.0121647061407566,28.040149785619906,69.0,120.0,69.0,120.0,0.19215688109397897,0.19215688109397897,0.058,0.011145099103450781,40.38873605350878,57.0,132.0,64.29827880859371,132.859619140625,0.19215688109397897,0.168627455830574,0.058,0.011145099103450781,51.40180722901029,36.0,53.0,34.0,76.0,0.176470592617989,0.172549024224281,0.075,0.013235294446349175,21.02974084481309,0.251,0.185,0.266,0.209,0.226,0.143,0.175,0.126,0.192,0.126,0.158,0.1,0.184,0.126
87.0,67.0,87.0,67.0,0.180392161011696,0.180392161011696,0.058,0.010462745338678369,36.45888094826828,83.0,67.0,84.93511962890629,72.805419921875,0.19215688109397897,0.172549024224281,0.05,0.00960784405469895,32.41861362467435,76.0,74.0,63.0,77.0,0.152941182255745,0.164705887436867,0.092,0.01407058876752854,10.547511554864494,77.0,74.0,77.0,74.0,0.18431372940540303,0.18431372940540303,0.05,0.009215686470270152,24.520399670478458,72.0,110.0,72.0,110.0,0.18431372940540303,0.18431372940540303,0.074,0.013639215975999824,32.86715685908959,50.0,125.0,50.0,125.0,0.18823531270027202,0.18823531270027202,0.066,0.012423530638217955,42.68782027698299,64.0,123.0,64.0,123.0,0.18431372940540303,0.18431372940540303,0.041,0.007556862905621524,41.716303767232304,28.0,54.0,29.0,57.0,0.176470592617989,0.172549024224281,0.083,0.014647059187293088,35.71064267133819,0.234,0.176,0.292,0.242,0.317,0.225,0.226,0.176,0.225,0.151,0.159,0.093,0.208,0.167
68.0,44.0,68.0,44.0,0.18431372940540303,0.18431372940540303,0.058,0.010690196305513376,40.96644968751869,74.0,56.0,74.0,67.455078125,0.18823531270027202,0.172549024224281,0.058,0.010917648136615778,25.026978927246763,13.0,83.0,2.0,81.0,0.172549024224281,0.160784319043159,0.083,0.014321569010615324,52.02163011671203,27.0,98.0,31.0,98.0,0.180392161011696,0.164705887436867,0.075,0.0135294120758772,27.735356496717326,75.0,85.0,75.0,85.0,0.18431372940540303,0.18431372940540303,0.066,0.0121647061407566,21.1482859825566,38.0,129.0,38.0,129.0,0.18823531270027202,0.18823531270027202,0.074,0.01392941313982013,49.175705383857995,70.0,104.0,70.0,104.0,0.19215688109397897,0.19215688109397897,0.058,0.011145099103450781,26.800186566514792,32.0,60.0,32.9800415039062,62.9400634765625,0.176470592617989,0.125490203499794,0.083,0.014647059187293088,28.7128851211161,0.234,0.176,0.25,0.192,0.225,0.142,0.201,0.126,0.192,0.126,0.167,0.093,0.225,0.167
75.0,72.0,75.0,72.0,0.18431372940540303,0.18431372940540303,0.066,0.0121647061407566,23.47871376374779,51.0,47.0,51.0,50.0,0.18431372940540303,0.180392161011696,0.049,0.009031372740864749,32.63816784073518,39.0,30.0,35.0,30.0,0.172549024224281,0.133333340287209,0.091,0.01570196120440957,55.832338299591214,35.0,99.0,35.0,99.0,0.180392161011696,0.180392161011696,0.058,0.010462745338678369,25.16445906432324,62.0,85.0,62.0,85.0,0.18431372940540303,0.18431372940540303,0.083,0.015298039540648452,8.381527307120106,37.0,121.0,37.0,123.0,0.19215688109397897,0.18431372940540303,0.074,0.014219609200954443,43.92322847879013,64.0,108.0,65.83990478515621,111.679809570312,0.19215688109397897,0.172549024224281,0.075,0.014411766082048421,31.4903895161879,31.0,69.0,31.0,71.9573974609375,0.176470592617989,0.113725498318672,0.091,0.016058823928236998,25.301115949630503,0.267,0.201,0.292,0.243,0.275,0.184,0.209,0.151,0.201,0.118,0.158,0.084,0.217,0.142
59.0,69.0,59.0,69.0,0.18431372940540303,0.18431372940540303,0.049,0.009031372740864749,14.396180048887969,69.0,75.0,70.0,88.0,0.18431372940540303,0.176470592617989,0.05,0.009215686470270152,16.91892431568863,46.0,84.0,33.9556884765625,82.2388916015625,0.172549024224281,0.10196079313755,0.099,0.01708235339820382,20.046012123221516,63.0,117.0,66.91378784179689,115.043090820313,0.18823531270027202,0.176470592617989,0.058,0.010917648136615778,35.01169342608382,87.0,85.0,78.0,93.0,0.18431372940540303,0.172549024224281,0.075,0.013823529705405227,26.196373794859472,44.0,125.0,44.0,125.0,0.18823531270027202,0.18823531270027202,0.066,0.012423530638217955,43.660622991432454,54.0,122.0,59.0,123.0,0.18823531270027202,0.149019613862038,0.075,0.014117648452520401,40.80747480548141,55.0,34.0,55.0,34.0,0.172549024224281,0.172549024224281,0.084,0.014494118034839605,48.51030818290067,0.25,0.201,0.259,0.209,0.292,0.193,0.192,0.134,0.242,0.167,0.158,0.092,0.217,0.142
42.0,81.0,42.0,81.0,0.18431372940540303,0.18431372940540303,0.041,0.007556862905621524,12.093386622447824,56.0,116.0,56.0,116.0,0.172549024224281,0.172549024224281,0.008,0.001380392193794248,33.55964838909967,63.0,55.0,63.0,55.0,0.172549024224281,0.172549024224281,0.083,0.014321569010615324,28.935272592460574,66.0,86.0,66.0,86.0,0.18823531270027202,0.18823531270027202,0.066,0.012423530638217955,12.5,63.0,84.0,63.0,84.0,0.18823531270027202,0.18823531270027202,0.067,0.012611765950918227,9.12414379544733,40.0,122.0,40.0,122.0,0.18823531270027202,0.18823531270027202,0.074,0.01392941313982013,41.907636535600524,68.0,106.0,68.0,106.0,0.18823531270027202,0.18823531270027202,0.049,0.00922353032231333,27.35415873317986,30.0,51.0,25.4620361328125,60.9219970703125,0.176470592617989,0.10196079313755,0.083,0.014647059187293088,35.77744529893801,0.284,0.243,0.467,0.459,0.284,0.201,0.208,0.142,0.218,0.151,0.175,0.101,0.217,0.168
