xCoordPress0,yCoordPress0,xCoordRelease0,yCoordRelease0,pressPressure0,releasePressure0,holdTime0,HPP0,offSet0,xCoordPress1,yCoordPress1,xCoordRelease1,yCoordRelease1,pressPressure1,releasePressure1,holdTime1,HPP1,offSet1,xCoordPress2,yCoordPress2,xCoordRelease2,yCoordRelease2,pressPressure2,releasePressure2,holdTime2,HPP2,offSet2,xCoordPress3,yCoordPress3,xCoordRelease3,yCoordRelease3,pressPressure3,releasePressure3,holdTime3,HPP3,offSet3,xCoordPress4,yCoordPress4,xCoordRelease4,yCoordRelease4,pressPressure4,releasePressure4,holdTime4,HPP4,offSet4,xCoordPress5,yCoordPress5,xCoordRelease5,yCoordRelease5,pressPressure5,releasePressure5,holdTime5,HPP5,offSet5,xCoordPress6,yCoordPress6,xCoordRelease6,yCoordRelease6,pressPressure6,releasePressure6,holdTime6,HPP6,offSet6,xCoordPress7,yCoordPress7,xCoordRelease7,yCoordRelease7,pressPressure7,releasePressure7,holdTime7,HPP7,offSet7,xCoordPress8,yCoordPress8,xCoordRelease8,yCoordRelease8,pressPressure8,releasePressure8,holdTime8,HPP8,offSet8,PPTime0,UDTime0,PPTime1,UDTime1,PPTime2,UDTime2,PPTime3,UDTime3,PPTime4,UDTime4,PPTime5,UDTime5,PPTime6,UDTime6,PPTime7,UDTime7
60.0,91.0,60.0,91.0,0.18431372940540303,0.18431372940540303,0.066,0.0121647061407566,10.404326023342406,62.0,117.0,62.0,117.0,0.180392161011696,0.180392161011696,0.083,0.014972549363970768,35.415392133929565,52.0,121.0,52.0,121.0,0.18431372940540303,0.18431372940540303,0.083,0.015298039540648452,38.55191305240247,57.0,113.0,57.0,113.0,0.176470592617989,0.176470592617989,0.066,0.011647059112787276,30.64718584144391,41.0,134.0,41.0,134.0,0.176470592617989,0.176470592617989,0.066,0.011647059112787276,53.115440316352455,45.0,106.0,45.0,106.0,0.176470592617989,0.176470592617989,0.041,0.007235294297337549,25.16445906432324,2.0,156.0,2.0,156.0,0.164705887436867,0.164705887436867,0.041,0.006752941384911548,90.03471552684553,82.0,116.0,82.0,116.0,0.180392161011696,0.180392161011696,0.074,0.013349019914865503,43.660622991432454,65.0,86.0,65.0,86.0,0.180392161011696,0.180392161011696,0.075,0.0135294120758772,11.543396380615196,0.55,0.484,0.317,0.234,0.384,0.301,0.467,0.401,0.434,0.368,0.351,0.31,0.609,0.568,0.484,0.41
55.0,111.0,55.0,111.0,0.180392161011696,0.180392161011696,0.075,0.0135294120758772,28.5175384631984,73.0,123.0,73.0,123.0,0.172549024224281,0.172549024224281,0.083,0.014321569010615324,44.73533279187716,61.0,99.0,61.0,99.0,0.180392161011696,0.180392161011696,0.083,0.014972549363970768,17.92344832893492,64.0,86.0,64.0,86.0,0.172549024224281,0.172549024224281,0.066,0.011388235598802548,10.594810050208546,41.0,108.0,44.0,108.0,0.180392161011696,0.149019613862038,0.083,0.014972549363970768,27.390691849604675,37.0,123.0,37.0,123.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,43.92322847879013,23.0,116.0,23.0,116.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,45.64263357870578,54.0,100.0,54.0,100.0,0.180392161011696,0.180392161011696,0.075,0.0135294120758772,17.5,54.0,95.0,54.0,95.0,0.172549024224281,0.172549024224281,0.067,0.011560784623026827,12.5,0.559,0.484,0.309,0.226,0.476,0.393,0.434,0.368,0.667,0.584,0.35,0.275,0.309,0.234,0.484,0.409
47.0,110.0,47.0,110.0,0.18431372940540303,0.18431372940540303,0.058,0.010690196305513376,28.376927247325423,64.0,132.0,64.0,132.0,0.176470592617989,0.176470592617989,0.092,0.01623529452085499,50.5,74.0,127.0,74.0,127.0,0.176470592617989,0.176470592617989,0.074,0.013058823853731185,48.78780585351221,62.0,112.0,62.0,112.0,0.180392161011696,0.180392161011696,0.083,0.014972549363970768,30.56550343115585,62.0,134.0,62.0,134.0,0.172549024224281,0.172549024224281,0.099,0.01708235339820382,52.11765535785354,40.0,120.0,40.0,120.0,0.180392161011696,0.180392161011696,0.091,0.016415686652064335,40.02811511925087,26.0,144.0,26.0,144.0,0.176470592617989,0.176470592617989,0.066,0.011647059112787276,67.57403347440494,51.0,109.0,51.0,109.0,0.18431372940540303,0.18431372940540303,0.082,0.015113725811243048,26.669270706189174,50.0,116.0,50.0,116.0,0.18823531270027202,0.18823531270027202,0.075,0.014117648452520401,33.737960815674676,0.508,0.45,0.293,0.201,0.45,0.376,0.426,0.343,0.409,0.31,0.342,0.251,0.343,0.277,0.4,0.318
60.0,87.0,60.0,87.0,0.18823531270027202,0.18823531270027202,0.067,0.012611765950918227,7.5,34.0,131.0,34.0,131.0,0.180392161011696,0.180392161011696,0.083,0.014972549363970768,52.461890930464946,56.0,109.0,56.0,109.0,0.180392161011696,0.180392161011696,0.083,0.014972549363970768,26.575364531836623,57.0,119.0,57.0,119.0,0.176470592617989,0.176470592617989,0.099,0.01747058866918091,36.62308015445998,51.0,92.0,51.0,92.0,0.180392161011696,0.180392161011696,0.074,0.013349019914865503,9.962429422585638,43.0,112.0,43.0,112.0,0.172549024224281,0.172549024224281,0.075,0.012941176816821075,31.48412298286233,40.0,99.0,42.0,97.0,0.176470592617989,0.11764706671237898,0.083,0.014647059187293088,18.82153022471871,36.0,126.0,36.0,126.0,0.176470592617989,0.176470592617989,0.084,0.014823529779911077,47.077064479425644,48.0,121.0,48.0,121.0,0.18823531270027202,0.18823531270027202,0.066,0.012423530638217955,38.96472763923803,0.409,0.342,0.267,0.184,0.293,0.21,0.334,0.235,0.408,0.334,0.317,0.242,0.267,0.184,0.46,0.376
33.0,94.0,33.0,94.0,0.18823531270027202,0.18823531270027202,0.117,0.022023531585931826,23.942639787625758,62.0,109.0,62.0,109.0,0.172549024224281,0.172549024224281,0.125,0.021568628028035126,27.681221071332818,46.0,100.0,46.0,100.0,0.180392161011696,0.180392161011696,0.075,0.0135294120758772,19.241881404893856,47.0,107.0,47.0,107.0,0.176470592617989,0.176470592617989,0.1,0.0176470592617989,25.480384612481814,57.0,144.0,57.0,144.0,0.172549024224281,0.172549024224281,0.1,0.017254902422428102,61.573127255321374,37.0,113.0,37.0,113.0,0.172549024224281,0.172549024224281,0.066,0.011388235598802548,34.91776052383658,31.0,98.0,31.0,98.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,27.735356496717326,46.0,131.0,46.0,131.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,49.1553659329274,45.0,117.0,45.0,117.0,0.18823531270027202,0.18823531270027202,0.083,0.015623530954122578,35.654592972014136,0.501,0.384,0.342,0.217,0.359,0.284,0.534,0.434,0.393,0.293,0.308,0.242,0.267,0.192,0.451,0.376
59.0,121.0,59.0,121.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,38.82331773560833,63.0,133.0,63.0,133.0,0.180392161011696,0.180392161011696,0.075,0.0135294120758772,51.29571132170798,48.0,119.0,48.0,119.0,0.18431372940540303,0.18431372940540303,0.083,0.015298039540648452,36.98986347636336,70.0,103.0,70.0,103.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,26.004807247891687,51.0,108.0,51.0,108.0,0.180392161011696,0.180392161011696,0.083,0.014972549363970768,25.675864152935535,38.0,98.0,38.0,98.0,0.172549024224281,0.172549024224281,0.05,0.008627451211214051,22.276669409945463,32.0,126.0,32.0,126.0,0.172549024224281,0.172549024224281,0.042,0.007247059017419803,48.74679476642541,72.0,102.0,72.0,102.0,0.176470592617989,0.176470592617989,0.091,0.016058823928236998,26.537709019431198,50.0,88.0,50.0,88.0,0.180392161011696,0.180392161011696,0.066,0.011905882626771936,6.800735254367722,0.518,0.443,0.292,0.217,0.309,0.226,0.317,0.242,0.359,0.276,0.275,0.225,0.234,0.192,0.367,0.276
32.0,97.0,32.0,97.0,0.176470592617989,0.176470592617989,0.066,0.011647059112787276,26.348624252510795,45.0,98.0,45.0,98.0,0.180392161011696,0.180392161011696,0.066,0.011905882626771936,17.92344832893492,27.0,108.0,27.0,108.0,0.180392161011696,0.180392161011696,0.067,0.012086274787783633,37.13825520941984,69.0,110.0,69.0,110.0,0.176470592617989,0.176470592617989,0.083,0.014647059187293088,31.32491021535417,65.0,105.0,65.0,105.0,0.172549024224281,0.172549024224281,0.066,0.011388235598802548,25.04495957273639,59.0,79.0,59.0,79.0,0.172549024224281,0.172549024224281,0.058,0.010007843405008298,6.103277807866851,21.0,122.0,21.0,122.0,0.172549024224281,0.172549024224281,0.074,0.012768627792596793,51.47086554547145,72.0,104.0,72.0,104.0,0.180392161011696,0.180392161011696,0.067,0.012086274787783633,28.040149785619906,48.0,114.0,48.0,114.0,0.18431372940540303,0.18431372940540303,0.058,0.010690196305513376,32.06633748964793,0.426,0.36,0.283,0.217,0.301,0.234,0.317,0.234,0.342,0.276,0.318,0.26,0.266,0.192,0.352,0.285
61.0,81.0,61.0,81.0,0.18823531270027202,0.18823531270027202,0.075,0.014117648452520401,7.158910531638177,69.0,108.0,69.0,108.0,0.176470592617989,0.176470592617989,0.108,0.01905882400274281,29.58462438497403,43.0,111.0,43.0,111.0,0.18431372940540303,0.18431372940540303,0.083,0.015298039540648452,30.549140740780256,63.0,115.0,63.0,115.0,0.176470592617989,0.176470592617989,0.083,0.014647059187293088,33.7231374578345,79.0,109.0,79.0,109.0,0.176470592617989,0.176470592617989,0.083,0.014647059187293088,36.43144246389374,64.0,92.0,64.0,92.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,13.793114224133722,54.0,110.0,54.0,110.0,0.176470592617989,0.176470592617989,0.083,0.014647059187293088,27.5,59.0,121.0,59.0,121.0,0.180392161011696,0.180392161011696,0.083,0.014972549363970768,38.82331773560833,57.0,108.0,57.0,108.0,0.18431372940540303,0.18431372940540303,0.057,0.010505882576107973,25.675864152935535,0.434,0.359,0.259,0.151,0.3,0.217,0.309,0.226,0.325,0.242,0.276,0.201,0.259,0.176,0.384,0.301
44.0,106.0,44.0,106.0,0.18431372940540303,0.18431372940540303,0.074,0.013639215975999824,25.53918557824427,60.0,122.0,60.0,122.0,0.180392161011696,0.180392161011696,0.083,0.014972549363970768,39.953097501945955,22.0,89.0,22.0,89.0,0.18431372940540303,0.18431372940540303,0.074,0.013639215975999824,32.65348373451139,80.0,108.0,80.0,108.0,0.180392161011696,0.180392161011696,0.083,0.014972549363970768,36.41771546926029,49.0,88.0,49.0,88.0,0.180392161011696,0.180392161011696,0.091,0.016415686652064335,7.433034373659253,67.0,102.0,67.0,102.0,0.180392161011696,0.180392161011696,0.083,0.014972549363970768,23.43608329051593,31.0,116.0,31.0,116.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,40.635575546557725,43.0,117.0,43.0,117.0,0.18431372940540303,0.18431372940540303,0.074,0.013639215975999824,36.21118611699981,73.0,78.0,73.0,78.0,0.18431372940540303,0.18431372940540303,0.074,0.013639215975999824,19.525624189766635,0.484,0.41,0.651,0.568,0.509,0.435,0.342,0.259,0.3,0.209,0.284,0.201,0.276,0.201,0.359,0.285
50.0,133.0,50.0,133.0,0.18431372940540303,0.18431372940540303,0.133,0.024513726010918602,50.65816814690401,57.0,130.0,57.0,130.0,0.18431372940540303,0.18431372940540303,0.099,0.0182470592111349,47.59464255564905,65.0,125.0,65.0,125.0,0.176470592617989,0.176470592617989,0.083,0.014647059187293088,43.900455578501685,50.0,96.0,50.0,96.0,0.176470592617989,0.176470592617989,0.066,0.011647059112787276,14.080127840328723,52.0,96.0,52.0,96.0,0.180392161011696,0.180392161011696,0.075,0.0135294120758772,13.647344063956181,51.0,103.0,51.0,103.0,0.180392161011696,0.180392161011696,0.083,0.014972549363970768,20.71834935510066,20.0,127.0,20.0,127.0,0.176470592617989,0.176470592617989,0.066,0.011647059112787276,56.00223209837265,82.0,95.0,82.0,95.0,0.176470592617989,0.176470592617989,0.074,0.013058823853731185,30.663496212923928,45.0,93.0,45.0,93.0,0.176470592617989,0.176470592617989,0.108,0.01905882400274281,13.82931668593933,0.651,0.518,0.542,0.443,0.426,0.343,0.492,0.426,0.451,0.376,0.384,0.301,0.317,0.251,0.542,0.468
