xCoordPress0,yCoordPress0,xCoordRelease0,yCoordRelease0,pressPressure0,releasePressure0,holdTime0,HPP0,offSet0,xCoordPress1,yCoordPress1,xCoordRelease1,yCoordRelease1,pressPressure1,releasePressure1,holdTime1,HPP1,offSet1,xCoordPress2,yCoordPress2,xCoordRelease2,yCoordRelease2,pressPressure2,releasePressure2,holdTime2,HPP2,offSet2,xCoordPress3,yCoordPress3,xCoordRelease3,yCoordRelease3,pressPressure3,releasePressure3,holdTime3,HPP3,offSet3,xCoordPress4,yCoordPress4,xCoordRelease4,yCoordRelease4,pressPressure4,releasePressure4,holdTime4,HPP4,offSet4,xCoordPress5,yCoordPress5,xCoordRelease5,yCoordRelease5,pressPressure5,releasePressure5,holdTime5,HPP5,offSet5,xCoordPress6,yCoordPress6,xCoordRelease6,yCoordRelease6,pressPressure6,releasePressure6,holdTime6,HPP6,offSet6,xCoordPress7,yCoordPress7,xCoordRelease7,yCoordRelease7,pressPressure7,releasePressure7,holdTime7,HPP7,offSet7,xCoordPress8,yCoordPress8,xCoordRelease8,yCoordRelease8,pressPressure8,releasePressure8,holdTime8,HPP8,offSet8,xCoordPress9,yCoordPress9,xCoordRelease9,yCoordRelease9,pressPressure9,releasePressure9,holdTime9,HPP9,offSet9,PPTime0,UDTime0,PPTime1,UDTime1,PPTime2,UDTime2,PPTime3,UDTime3,PPTime4,UDTime4,PPTime5,UDTime5,PPTime6,UDTime6,PPTime7,UDTime7,PPTime8,UDTime8,state
50.0,94.0,50.0,94.0,0.176470592617989,0.176470592617989,0.066,0.011647059112787276,12.175795661885921,64.0,72.0,64.0,72.0,0.176470592617989,0.176470592617989,0.049,0.008647059038281462,14.5,45.0,78.0,45.0,78.0,0.180392161011696,0.180392161011696,0.091,0.016415686652064335,10.062305898749054,31.0,98.0,31.0,98.0,0.12941177189350098,0.12941177189350098,0.099,0.012811765417456598,27.735356496717326,46.0,114.0,46.0,114.0,0.180392161011696,0.180392161011696,0.083,0.014972549363970768,32.5,61.0,64.0,61.0,64.0,0.180392161011696,0.180392161011696,0.091,0.016415686652064335,19.78004044485248,43.0,117.0,43.0,117.0,0.172549024224281,0.172549024224281,0.1,0.017254902422428102,36.21118611699981,63.0,80.0,63.0,80.0,0.180392161011696,0.180392161011696,0.075,0.0135294120758772,9.340770846134703,50.0,45.0,50.0,45.0,0.180392161011696,0.180392161011696,0.076,0.013709804236888896,37.71272994626615,27.0,123.0,27.0,123.0,0.18823531270027202,0.18823531270027202,0.066,0.012423530638217955,48.67494221876385,0.099,0.033,0.133,0.084,0.242,0.151,0.475,0.376,0.251,0.168,0.133,0.042,0.133,0.033,0.217,0.142,0.326,0.25,2
72.0,103.0,72.0,103.0,0.176470592617989,0.176470592617989,0.091,0.016058823928236998,27.28094573140748,61.0,82.0,61.0,82.0,0.18431372940540303,0.18431372940540303,0.058,0.010690196305513376,7.0178344238090995,38.0,87.0,38.0,87.0,0.176470592617989,0.176470592617989,0.091,0.016058823928236998,16.62077013859466,33.0,107.0,33.0,107.0,0.172549024224281,0.172549024224281,0.075,0.012941176816821075,32.26840560052511,52.0,76.0,52.0,76.0,0.18431372940540303,0.18431372940540303,0.083,0.015298039540648452,6.800735254367722,66.0,76.0,66.0,76.0,0.180392161011696,0.180392161011696,0.084,0.015152941524982465,13.647344063956181,42.0,82.0,42.0,82.0,0.172549024224281,0.172549024224281,0.058,0.010007843405008298,12.010412149464313,37.0,93.0,37.0,93.0,0.176470592617989,0.176470592617989,0.066,0.011647059112787276,19.981241202688086,61.0,64.0,61.0,64.0,0.180392161011696,0.180392161011696,0.075,0.0135294120758772,19.78004044485248,66.0,124.0,66.0,124.0,0.18431372940540303,0.18431372940540303,0.075,0.013823529705405227,43.200115740585694,0.125,0.034,0.167,0.109,0.208,0.117,0.251,0.176,0.158,0.075,0.092,0.008,0.125,0.067,0.167,0.101,0.325,0.25,2
66.0,72.0,66.0,72.0,0.180392161011696,0.180392161011696,0.091,0.016415686652064335,15.945218719101975,47.0,79.0,47.0,79.0,0.180392161011696,0.180392161011696,0.075,0.0135294120758772,7.826237921249264,56.0,92.0,56.0,92.0,0.176470592617989,0.176470592617989,0.083,0.014647059187293088,9.7082439194738,51.0,111.0,51.0,111.0,0.172549024224281,0.172549024224281,0.058,0.010007843405008298,28.6574597618142,47.0,105.0,47.0,105.0,0.18431372940540303,0.18431372940540303,0.083,0.015298039540648452,23.56374333589636,51.0,82.0,51.0,82.0,0.180392161011696,0.180392161011696,0.083,0.014972549363970768,3.0413812651491097,29.0,109.0,26.0,110.0,0.172549024224281,0.12941177189350098,0.083,0.014321569010615324,39.24601890638081,46.0,98.0,46.0,98.0,0.176470592617989,0.176470592617989,0.058,0.010235294371843362,17.44276354251241,78.0,81.0,78.0,81.0,0.176470592617989,0.176470592617989,0.083,0.014647059187293088,24.046829312822098,79.0,119.0,79.0,119.0,0.180392161011696,0.180392161011696,0.074,0.013349019914865503,44.24081825644729,0.108,0.017,0.133,0.058,0.284,0.201,0.234,0.176,0.15,0.067,0.092,0.009,0.133,0.05,0.167,0.109,0.451,0.368,2
64.0,81.0,64.0,81.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,10.111874208078342,57.0,100.0,57.0,100.0,0.180392161011696,0.180392161011696,0.067,0.012086274787783633,17.755280904564703,65.0,79.0,65.0,79.0,0.176470592617989,0.176470592617989,0.05,0.00882352963089945,11.543396380615196,76.0,88.0,76.0,88.0,0.168627455830574,0.168627455830574,0.066,0.011129412084817885,22.677080940897135,49.0,79.0,49.0,79.0,0.180392161011696,0.180392161011696,0.099,0.017858823940157906,6.103277807866851,49.0,71.0,49.0,71.0,0.180392161011696,0.180392161011696,0.092,0.01659607881307603,12.539936203984453,48.0,81.0,48.0,81.0,0.172549024224281,0.172549024224281,0.075,0.012941176816821075,6.18465843842649,51.0,76.0,51.0,76.0,0.176470592617989,0.176470592617989,0.058,0.010235294371843362,7.158910531638177,70.0,83.0,70.0,83.0,0.180392161011696,0.180392161011696,0.083,0.014972549363970768,16.00781059358212,90.0,104.0,90.0,104.0,0.18431372940540303,0.18431372940540303,0.083,0.015298039540648452,41.93149174546501,0.1,0.025,0.175,0.108,0.159,0.109,0.209,0.143,0.166,0.067,0.1,0.008,0.15,0.075,0.176,0.118,0.333,0.25,2
62.0,68.0,62.0,68.0,0.180392161011696,0.180392161011696,0.099,0.017858823940157906,16.560495161679196,53.0,83.0,53.0,83.0,0.180392161011696,0.180392161011696,0.083,0.014972549363970768,1.118033988749895,62.0,75.0,62.0,75.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,10.965856099730654,57.0,85.0,54.0,79.0,0.176470592617989,0.172549024224281,0.058,0.010235294371843362,3.5,47.0,109.0,47.0,109.0,0.180392161011696,0.180392161011696,0.075,0.0135294120758772,27.408940147331492,61.0,75.0,61.0,75.0,0.180392161011696,0.180392161011696,0.075,0.0135294120758772,10.259142264341596,34.0,118.0,34.0,118.0,0.176470592617989,0.176470592617989,0.083,0.014647059187293088,40.74616546375867,54.0,78.0,54.0,78.0,0.176470592617989,0.176470592617989,0.067,0.011823529705405265,4.5,49.0,76.0,49.0,76.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,8.200609733428363,67.0,81.0,67.0,81.0,0.180392161011696,0.180392161011696,0.083,0.014972549363970768,13.0862523283024,0.141,0.042,0.142,0.059,0.301,0.226,0.2,0.142,0.108,0.033,0.101,0.026,0.116,0.033,0.234,0.167,0.384,0.309,2
73.0,80.0,73.0,80.0,0.180392161011696,0.180392161011696,0.1,0.0180392161011696,19.1637678967368,37.0,93.0,37.0,93.0,0.18823531270027202,0.18823531270027202,0.066,0.012423530638217955,19.981241202688086,42.0,84.0,42.0,84.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,12.093386622447824,64.0,96.0,64.0,96.0,0.164705887436867,0.164705887436867,0.05,0.00823529437184335,16.80029761641144,28.0,85.0,28.0,85.0,0.18431372940540303,0.18431372940540303,0.074,0.013639215975999824,26.119915773217954,65.0,81.0,65.0,81.0,0.18431372940540303,0.18431372940540303,0.066,0.0121647061407566,11.10180165558726,33.0,78.0,33.0,78.0,0.176470592617989,0.176470592617989,0.066,0.011647059112787276,21.47673159491453,57.0,87.0,57.0,87.0,0.180392161011696,0.180392161011696,0.075,0.0135294120758772,5.408326913195984,40.0,100.0,40.0,100.0,0.176470592617989,0.176470592617989,0.092,0.01623529452085499,22.41093483101497,60.0,91.0,60.0,91.0,0.18823531270027202,0.18823531270027202,0.067,0.012611765950918227,10.404326023342406,0.125,0.025,0.15,0.084,0.292,0.217,0.209,0.159,0.133,0.059,0.1,0.034,0.108,0.042,0.217,0.142,0.342,0.25,2
60.0,78.0,60.0,78.0,0.180392161011696,0.180392161011696,0.092,0.01659607881307603,7.5,66.0,72.0,66.0,72.0,0.18823531270027202,0.18823531270027202,0.083,0.015623530954122578,15.945218719101975,60.0,93.0,60.0,93.0,0.176470592617989,0.176470592617989,0.058,0.010235294371843362,12.093386622447824,56.0,97.0,56.0,97.0,0.172549024224281,0.172549024224281,0.058,0.010007843405008298,14.637281168304447,23.0,115.0,23.0,115.0,0.18431372940540303,0.18431372940540303,0.075,0.013823529705405227,44.91380634058975,67.0,68.0,67.0,68.0,0.18431372940540303,0.18431372940540303,0.083,0.015298039540648452,19.474342094150447,31.0,73.0,31.0,73.0,0.172549024224281,0.172549024224281,0.067,0.011560784623026827,24.88473427625861,57.0,74.0,57.0,74.0,0.180392161011696,0.180392161011696,0.066,0.011905882626771936,9.013878188659973,68.0,87.0,68.0,87.0,0.180392161011696,0.180392161011696,0.091,0.016415686652064335,14.705441169852742,98.0,82.0,98.0,82.0,0.18431372940540303,0.18431372940540303,0.083,0.015298039540648452,44.0028408173836,0.1,0.008,0.167,0.084,0.3,0.242,0.209,0.151,0.134,0.059,0.1,0.017,0.126,0.059,0.184,0.118,0.358,0.267,2
46.0,100.0,46.0,100.0,0.180392161011696,0.180392161011696,0.074,0.013349019914865503,19.241881404893856,71.0,96.0,71.0,96.0,0.18431372940540303,0.18431372940540303,0.066,0.0121647061407566,21.70829334609241,51.0,87.0,51.0,87.0,0.164705887436867,0.164705887436867,0.033,0.005435294285416612,5.408326913195984,65.0,81.0,64.01824951171871,76.09130859375,0.149019613862038,0.11764706671237898,0.083,0.012368627950549153,11.892714106527354,57.0,103.0,57.0,103.0,0.18431372940540303,0.18431372940540303,0.075,0.013823529705405227,20.71834935510066,63.0,84.0,63.0,84.0,0.18431372940540303,0.18431372940540303,0.074,0.013639215975999824,9.12414379544733,54.0,93.0,54.0,93.0,0.172549024224281,0.172549024224281,0.066,0.011388235598802548,10.5,47.0,91.0,47.0,91.0,0.176470592617989,0.176470592617989,0.083,0.014647059187293088,11.01135777277262,46.0,82.0,46.0,82.0,0.172549024224281,0.172549024224281,0.091,0.01570196120440957,8.0156097709407,60.0,104.0,60.0,104.0,0.18431372940540303,0.18431372940540303,0.066,0.0121647061407566,22.321514285549714,0.175,0.101,0.167,0.101,0.283,0.25,0.226,0.143,0.125,0.05,0.1,0.026,0.117,0.051,0.217,0.134,0.35,0.259,2
49.0,71.0,49.0,71.0,0.180392161011696,0.180392161011696,0.092,0.01659607881307603,12.539936203984453,60.0,81.0,60.0,84.0,0.18823531270027202,0.14117647707462302,0.083,0.015623530954122578,6.18465843842649,51.0,113.0,51.0,113.0,0.176470592617989,0.176470592617989,0.095,0.016764706298708954,30.64718584144391,58.0,79.0,58.0,79.0,0.172549024224281,0.172549024224281,0.066,0.011388235598802548,5.315072906367325,25.0,77.0,28.9166259765625,77.9791259765625,0.18431372940540303,0.168627455830574,0.074,0.013639215975999824,25.487525465126094,67.0,88.0,67.0,88.0,0.180392161011696,0.180392161011696,0.091,0.016415686652064335,14.115594213493104,31.0,92.0,31.0,92.0,0.172549024224281,0.172549024224281,0.092,0.015874510228633853,24.88473427625861,52.0,80.0,52.0,80.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,3.2015621187164243,58.0,74.0,61.9165649414062,74.0,0.180392161011696,0.164705887436867,0.075,0.0135294120758772,11.615592988371354,54.0,112.0,54.0,112.0,0.18431372940540303,0.18431372940540303,0.066,0.0121647061407566,29.5,0.109,0.017,0.141,0.058,0.326,0.231,0.217,0.151,0.1,0.026,0.133,0.042,0.1,0.008,0.234,0.159,0.401,0.326,2
78.0,75.0,78.0,75.0,0.180392161011696,0.180392161011696,0.092,0.01659607881307603,25.144581921360317,37.0,74.0,37.0,74.0,0.18823531270027202,0.18823531270027202,0.075,0.014117648452520401,19.00657780874821,55.0,77.0,55.0,77.0,0.176470592617989,0.176470592617989,0.083,0.014647059187293088,5.5901699437494745,66.0,77.0,66.0,77.0,0.164705887436867,0.164705887436867,0.066,0.010870588570833223,13.200378782444085,52.0,113.0,52.0,113.0,0.180392161011696,0.180392161011696,0.075,0.0135294120758772,30.56550343115585,56.0,89.0,56.0,89.0,0.180392161011696,0.180392161011696,0.099,0.017858823940157906,6.800735254367722,54.0,92.0,54.0,92.0,0.176470592617989,0.176470592617989,0.058,0.010235294371843362,9.5,62.0,59.0,62.0,59.0,0.180392161011696,0.180392161011696,0.058,0.010462745338678369,24.82438317461282,47.0,60.0,47.0,60.0,0.180392161011696,0.180392161011696,0.075,0.0135294120758772,23.56374333589636,35.0,128.0,35.0,128.0,0.18431372940540303,0.18431372940540303,0.066,0.0121647061407566,49.30770730829005,0.142,0.05,0.142,0.067,0.317,0.234,0.217,0.151,0.109,0.034,0.133,0.034,0.125,0.067,0.217,0.159,0.334,0.259,2
