xCoordPress0,yCoordPress0,xCoordRelease0,yCoordRelease0,pressPressure0,releasePressure0,holdTime0,HPP0,offSet0,xCoordPress1,yCoordPress1,xCoordRelease1,yCoordRelease1,pressPressure1,releasePressure1,holdTime1,HPP1,offSet1,xCoordPress2,yCoordPress2,xCoordRelease2,yCoordRelease2,pressPressure2,releasePressure2,holdTime2,HPP2,offSet2,xCoordPress3,yCoordPress3,xCoordRelease3,yCoordRelease3,pressPressure3,releasePressure3,holdTime3,HPP3,offSet3,xCoordPress4,yCoordPress4,xCoordRelease4,yCoordRelease4,pressPressure4,releasePressure4,holdTime4,HPP4,offSet4,xCoordPress5,yCoordPress5,xCoordRelease5,yCoordRelease5,pressPressure5,releasePressure5,holdTime5,HPP5,offSet5,xCoordPress6,yCoordPress6,xCoordRelease6,yCoordRelease6,pressPressure6,releasePressure6,holdTime6,HPP6,offSet6,xCoordPress7,yCoordPress7,xCoordRelease7,yCoordRelease7,pressPressure7,releasePressure7,holdTime7,HPP7,offSet7,xCoordPress8,yCoordPress8,xCoordRelease8,yCoordRelease8,pressPressure8,releasePressure8,holdTime8,HPP8,offSet8,xCoordPress9,yCoordPress9,xCoordRelease9,yCoordRelease9,pressPressure9,releasePressure9,holdTime9,HPP9,offSet9,xCoordPress10,yCoordPress10,xCoordRelease10,yCoordRelease10,pressPressure10,releasePressure10,holdTime10,HPP10,offSet10,PPTime0,UDTime0,PPTime1,UDTime1,PPTime2,UDTime2,PPTime3,UDTime3,PPTime4,UDTime4,PPTime5,UDTime5,PPTime6,UDTime6,PPTime7,UDTime7,PPTime8,UDTime8,PPTime9,UDTime9
80.0,113.0,80.0,113.0,0.18431372940540303,0.18431372940540303,0.075,0.013823529705405227,40.078048854703496,82.0,77.0,82.0,77.0,0.18823531270027202,0.18823531270027202,0.066,0.012423530638217955,28.53506614676055,65.0,119.0,65.0,119.0,0.176470592617989,0.176470592617989,0.041,0.007235294297337549,38.12151623427379,19.0,103.0,19.0,103.0,0.18431372940540303,0.18431372940540303,0.075,0.013823529705405227,40.56168142471414,54.0,71.0,54.0,71.0,0.18431372940540303,0.18431372940540303,0.058,0.010690196305513376,11.5,104.0,109.0,104.0,109.0,0.18431372940540303,0.18431372940540303,0.066,0.0121647061407566,56.58842637854493,20.0,88.0,20.0,88.0,0.18431372940540303,0.18431372940540303,0.049,0.009031372740864749,34.44198019858905,74.0,83.0,74.0,83.0,0.180392161011696,0.180392161011696,0.066,0.011905882626771936,20.006249023742555,52.0,117.0,52.0,117.0,0.18431372940540303,0.18431372940540303,0.083,0.015298039540648452,34.55792239125495,66.0,104.0,66.0,104.0,0.180392161011696,0.180392161011696,0.066,0.011905882626771936,24.62214450449026,64.0,110.0,64.0,110.0,0.180392161011696,0.180392161011696,0.058,0.010462745338678369,29.261749776799064,0.367,0.292,0.442,0.376,0.45,0.409,0.367,0.292,0.501,0.443,0.442,0.376,0.426,0.377,0.359,0.293,0.467,0.384,0.367,0.301
62.0,93.0,62.0,93.0,0.176470592617989,0.176470592617989,0.041,0.007235294297337549,13.200378782444085,71.0,82.0,71.0,82.0,0.18431372940540303,0.18431372940540303,0.075,0.013823529705405227,17.00735135169495,81.0,99.0,81.0,99.0,0.180392161011696,0.180392161011696,0.092,0.01659607881307603,31.64253466459348,43.0,89.0,43.0,89.0,0.18431372940540303,0.18431372940540303,0.066,0.0121647061407566,12.776932339180638,45.0,88.0,45.0,88.0,0.176470592617989,0.176470592617989,0.049,0.008647059038281462,10.547511554864494,91.0,109.0,91.0,109.0,0.180392161011696,0.180392161011696,0.084,0.015152941524982465,45.510987684294435,68.0,112.0,68.0,112.0,0.18431372940540303,0.18431372940540303,0.066,0.0121647061407566,32.65348373451139,55.0,105.0,55.0,105.0,0.180392161011696,0.180392161011696,0.066,0.011905882626771936,22.522211259110417,58.0,118.0,58.0,118.0,0.176470592617989,0.176470592617989,0.083,0.014647059187293088,35.7246413557925,95.0,108.0,95.0,108.0,0.180392161011696,0.180392161011696,0.108,0.019482353389263168,48.28301978956991,72.0,114.0,72.0,114.0,0.180392161011696,0.180392161011696,0.075,0.0135294120758772,36.28015986734347,0.333,0.292,0.367,0.292,0.426,0.334,0.275,0.209,0.525,0.476,0.468,0.384,0.333,0.267,0.334,0.268,0.417,0.334,0.358,0.25
82.0,97.0,82.0,97.0,0.180392161011696,0.180392161011696,0.066,0.011905882626771936,31.531730050855124,76.0,88.0,76.0,88.0,0.176470592617989,0.176470592617989,0.091,0.016058823928236998,22.677080940897135,91.0,87.0,91.0,87.0,0.180392161011696,0.180392161011696,0.124,0.022368627965450305,37.27264412407577,9.0,60.0,8.021091461181639,62.936767578125,0.180392161011696,0.176470592617989,0.075,0.0135294120758772,49.96779055765148,41.0,108.0,41.0,108.0,0.172549024224281,0.172549024224281,0.016,0.002760784387588496,28.622543562723422,79.0,104.0,79.0,104.0,0.18431372940540303,0.18431372940540303,0.076,0.01400784343481063,32.973474187595095,56.0,94.0,56.0,94.0,0.18823531270027202,0.18823531270027202,0.075,0.014117648452520401,11.672617529928752,64.0,95.0,64.0,95.0,0.18823531270027202,0.18823531270027202,0.083,0.015623530954122578,16.00781059358212,56.0,102.0,56.0,102.0,0.18431372940540303,0.18431372940540303,0.075,0.013823529705405227,19.60229578391266,74.0,75.0,74.0,75.0,0.18823531270027202,0.18823531270027202,0.091,0.017129413455724753,21.360009363293827,72.0,101.0,72.0,101.0,0.18823531270027202,0.18823531270027202,0.083,0.015623530954122578,25.811818998280614,0.467,0.401,0.326,0.235,0.416,0.292,0.476,0.401,0.992,0.976,0.743,0.667,0.35,0.275,0.317,0.234,0.434,0.359,0.375,0.284
75.0,111.0,75.0,111.0,0.18431372940540303,0.18431372940540303,0.092,0.01695686310529708,35.40127116361784,75.0,73.0,75.0,73.0,0.18431372940540303,0.18431372940540303,0.074,0.013639215975999824,23.04886114323222,71.0,94.0,71.0,94.0,0.18431372940540303,0.18431372940540303,0.1,0.018431372940540303,20.524375751773793,47.0,102.0,47.0,102.0,0.18823531270027202,0.18823531270027202,0.091,0.017129413455724753,20.71834935510066,75.0,95.0,75.0,95.0,0.18431372940540303,0.18431372940540303,0.074,0.013639215975999824,24.438698819699873,85.0,91.0,85.0,91.0,0.18431372940540303,0.18431372940540303,0.091,0.016772549375891677,32.14420632089086,40.0,114.0,40.0,114.0,0.18431372940540303,0.18431372940540303,0.066,0.0121647061407566,34.471002306286366,100.0,96.0,100.0,96.0,0.18431372940540303,0.18431372940540303,0.066,0.0121647061407566,47.940066750057824,48.0,114.0,48.0,114.0,0.18431372940540303,0.18431372940540303,0.067,0.012349019870162004,32.06633748964793,82.0,99.0,82.0,99.0,0.18431372940540303,0.18431372940540303,0.058,0.010690196305513376,32.5,51.0,111.0,51.0,111.0,0.18431372940540303,0.18431372940540303,0.066,0.0121647061407566,28.6574597618142,0.451,0.359,0.425,0.351,0.434,0.334,0.392,0.301,0.634,0.56,0.575,0.484,0.443,0.377,0.391,0.325,0.493,0.426,0.425,0.367
80.0,100.0,80.0,100.0,0.180392161011696,0.180392161011696,0.083,0.014972549363970768,31.34086788842964,73.0,93.0,73.0,93.0,0.18431372940540303,0.18431372940540303,0.058,0.010690196305513376,21.70829334609241,70.0,118.0,70.0,118.0,0.180392161011696,0.180392161011696,0.075,0.0135294120758772,38.939054944875075,42.0,96.0,42.0,96.0,0.180392161011696,0.180392161011696,0.066,0.011905882626771936,18.062391868188442,56.0,86.0,56.0,86.0,0.18431372940540303,0.18431372940540303,0.067,0.012349019870162004,4.031128874149275,91.0,115.0,91.0,115.0,0.18431372940540303,0.18431372940540303,0.074,0.013639215975999824,49.24682730897494,47.0,97.0,47.0,97.0,0.18823531270027202,0.18823531270027202,0.058,0.010917648136615778,16.101242188104617,75.0,86.0,75.0,86.0,0.18431372940540303,0.18431372940540303,0.067,0.012349019870162004,21.289668856043768,60.0,120.0,60.0,120.0,0.18431372940540303,0.18431372940540303,0.05,0.009215686470270152,37.97696670351649,88.0,110.0,88.0,110.0,0.18823531270027202,0.18823531270027202,0.075,0.014117648452520401,43.729280808172454,80.0,83.0,80.0,83.0,0.18823531270027202,0.18823531270027202,0.075,0.014117648452520401,26.004807247891687,0.392,0.309,0.367,0.309,0.451,0.376,0.625,0.559,0.91,0.843,0.492,0.418,0.4,0.342,0.359,0.292,0.484,0.434,0.392,0.317
94.0,75.0,94.0,75.0,0.18431372940540303,0.18431372940540303,0.1,0.018431372940540303,40.697051490249265,50.0,77.0,50.0,77.0,0.18431372940540303,0.18431372940540303,0.057,0.010505882576107973,6.800735254367722,63.0,108.0,63.0,108.0,0.18431372940540303,0.18431372940540303,0.075,0.013823529705405227,27.04163456597992,66.0,101.0,66.0,101.0,0.18823531270027202,0.18823531270027202,0.058,0.010917648136615778,22.051077071199945,44.0,106.0,44.0,106.0,0.176470592617989,0.176470592617989,0.058,0.010235294371843362,25.53918557824427,90.0,102.0,90.0,102.0,0.18431372940540303,0.18431372940540303,0.108,0.019905882775783527,40.94203219186854,27.0,85.0,27.0,85.0,0.18823531270027202,0.18823531270027202,0.075,0.014117648452520401,27.115493725912497,85.0,100.0,85.0,100.0,0.18431372940540303,0.18431372940540303,0.066,0.0121647061407566,35.59845502265512,61.0,118.0,61.0,118.0,0.180392161011696,0.180392161011696,0.066,0.011905882626771936,36.18355980276125,90.0,92.0,90.0,92.0,0.18431372940540303,0.18431372940540303,0.057,0.010505882576107973,37.23237838226293,47.0,88.0,47.0,88.0,0.18431372940540303,0.18431372940540303,0.075,0.013823529705405227,8.902246907382429,0.418,0.318,0.425,0.368,0.425,0.35,0.309,0.251,0.476,0.418,0.475,0.367,0.434,0.359,0.317,0.251,0.501,0.435,0.349,0.292
71.0,82.0,71.0,82.0,0.18823531270027202,0.18823531270027202,0.1,0.018823531270027203,17.00735135169495,53.0,71.0,53.0,71.0,0.19215688109397897,0.19215688109397897,0.075,0.014411766082048421,11.543396380615196,89.0,105.0,89.0,105.0,0.18431372940540303,0.18431372940540303,0.083,0.015298039540648452,41.608292442733095,59.0,88.0,59.0,88.0,0.19215688109397897,0.19215688109397897,0.067,0.012874511033296591,7.433034373659253,84.0,112.0,84.0,112.0,0.18431372940540303,0.18431372940540303,0.075,0.013823529705405227,42.07433897282285,90.0,100.0,90.0,100.0,0.18431372940540303,0.18431372940540303,0.091,0.016772549375891677,40.02811511925087,16.0,91.0,16.0,91.0,0.18431372940540303,0.18431372940540303,0.066,0.0121647061407566,38.939054944875075,74.0,88.0,74.0,88.0,0.18823531270027202,0.18823531270027202,0.075,0.014117648452520401,20.74246851269154,64.0,104.0,64.0,104.0,0.18431372940540303,0.18431372940540303,0.058,0.010690196305513376,23.71181140275875,44.0,86.0,44.0,86.0,0.18431372940540303,0.18431372940540303,0.091,0.016772549375891677,10.594810050208546,72.0,78.0,72.0,78.0,0.18823531270027202,0.18823531270027202,0.084,0.01581176626682285,18.553975315279473,0.367,0.267,0.434,0.359,0.458,0.375,0.409,0.342,0.476,0.401,0.5,0.409,0.442,0.376,0.376,0.301,0.467,0.409,0.383,0.292
92.0,71.0,92.0,71.0,0.18431372940540303,0.18431372940540303,0.108,0.019905882775783527,39.702015062210634,63.0,89.0,63.0,89.0,0.176470592617989,0.176470592617989,0.058,0.010235294371843362,11.10180165558726,81.0,67.0,81.0,67.0,0.180392161011696,0.180392161011696,0.108,0.019482353389263168,31.132780152116194,42.0,136.0,42.0,136.0,0.172549024224281,0.172549024224281,0.058,0.010007843405008298,54.82928049865327,67.0,108.0,67.0,108.0,0.176470592617989,0.176470592617989,0.066,0.011647059112787276,28.622543562723422,104.0,90.0,104.0,90.0,0.180392161011696,0.180392161011696,0.091,0.016415686652064335,50.55937104039171,72.0,115.0,72.0,115.0,0.180392161011696,0.180392161011696,0.075,0.0135294120758772,37.151715976519846,63.0,117.0,63.0,117.0,0.176470592617989,0.176470592617989,0.074,0.013058823853731185,35.654592972014136,58.0,108.0,58.0,108.0,0.176470592617989,0.176470592617989,0.058,0.010235294371843362,25.811818998280614,75.0,119.0,75.0,119.0,0.172549024224281,0.172549024224281,0.049,0.00845490218698977,42.10997506529777,56.0,99.0,56.0,99.0,0.180392161011696,0.180392161011696,0.091,0.016415686652064335,16.62077013859466,0.417,0.309,0.317,0.259,0.476,0.368,0.333,0.275,0.584,0.518,0.5,0.409,0.426,0.351,0.375,0.301,0.484,0.426,0.367,0.318
87.0,99.0,87.0,99.0,0.180392161011696,0.180392161011696,0.099,0.017858823940157906,36.89512162874653,52.0,98.0,52.0,98.0,0.180392161011696,0.180392161011696,0.067,0.012086274787783633,15.628499608087784,66.0,125.0,66.0,125.0,0.18431372940540303,0.18431372940540303,0.074,0.013639215975999824,44.16163493350309,45.0,68.0,45.0,68.0,0.18431372940540303,0.18431372940540303,0.075,0.013823529705405227,17.066048165876012,57.0,112.0,57.0,112.0,0.180392161011696,0.180392161011696,0.074,0.013349019914865503,29.652150006365474,88.0,92.0,88.0,92.0,0.18431372940540303,0.18431372940540303,0.091,0.016772549375891677,35.302266216207705,64.0,93.0,64.0,93.0,0.18823531270027202,0.18823531270027202,0.083,0.015623530954122578,14.5,45.0,112.0,45.0,112.0,0.18431372940540303,0.18431372940540303,0.075,0.013823529705405227,30.84234102658227,76.0,78.0,76.0,78.0,0.18431372940540303,0.18431372940540303,0.092,0.01695686310529708,22.45551157288562,100.0,102.0,100.0,102.0,0.18823531270027202,0.18823531270027202,0.082,0.015435295641422306,49.96248592694322,79.0,102.0,79.0,102.0,0.18431372940540303,0.18431372940540303,0.099,0.0182470592111349,31.70567772497538,0.5,0.401,0.401,0.334,0.408,0.334,0.301,0.226,0.433,0.359,0.484,0.393,0.375,0.292,0.292,0.217,0.426,0.334,0.392,0.31
102.0,98.0,102.0,98.0,0.176470592617989,0.176470592617989,0.117,0.020647059336304716,50.440559076996756,52.0,94.0,52.0,94.0,0.18431372940540303,0.18431372940540303,0.058,0.010690196305513376,11.672617529928752,67.0,99.0,67.0,99.0,0.18431372940540303,0.18431372940540303,0.091,0.016772549375891677,21.005951537600005,85.0,90.0,85.0,90.0,0.19215688109397897,0.19215688109397897,0.091,0.017486276179552087,31.894356867634123,90.0,87.0,90.0,87.0,0.18431372940540303,0.18431372940540303,0.099,0.0182470592111349,36.28015986734347,106.0,103.0,106.0,103.0,0.18823531270027202,0.18823531270027202,0.108,0.02032941377162938,55.8949908310217,68.0,84.0,68.0,84.0,0.19215688109397897,0.19215688109397897,0.092,0.017678433060646065,14.080127840328723,70.0,93.0,70.0,93.0,0.18823531270027202,0.18823531270027202,0.082,0.015435295641422306,19.13765920900464,77.0,116.0,77.0,116.0,0.180392161011696,0.180392161011696,0.066,0.011905882626771936,40.635575546557725,84.0,94.0,84.0,94.0,0.18431372940540303,0.18431372940540303,0.1,0.018431372940540303,32.12864765283469,83.0,90.0,83.0,90.0,0.180392161011696,0.180392161011696,0.058,0.010462745338678369,29.95413160150032,0.434,0.317,0.367,0.309,0.367,0.276,0.409,0.318,0.417,0.318,0.425,0.317,0.368,0.276,0.333,0.251,0.475,0.409,0.376,0.276
