xCoordPress0,yCoordPress0,xCoordRelease0,yCoordRelease0,pressPressure0,releasePressure0,holdTime0,HPP0,offSet0,xCoordPress1,yCoordPress1,xCoordRelease1,yCoordRelease1,pressPressure1,releasePressure1,holdTime1,HPP1,offSet1,xCoordPress2,yCoordPress2,xCoordRelease2,yCoordRelease2,pressPressure2,releasePressure2,holdTime2,HPP2,offSet2,xCoordPress3,yCoordPress3,xCoordRelease3,yCoordRelease3,pressPressure3,releasePressure3,holdTime3,HPP3,offSet3,xCoordPress4,yCoordPress4,xCoordRelease4,yCoordRelease4,pressPressure4,releasePressure4,holdTime4,HPP4,offSet4,xCoordPress5,yCoordPress5,xCoordRelease5,yCoordRelease5,pressPressure5,releasePressure5,holdTime5,HPP5,offSet5,PPTime0,UDTime0,PPTime1,UDTime1,PPTime2,UDTime2,PPTime3,UDTime3,PPTime4,UDTime4,Tri0,Tri1,Tri2,Tri3,state
160.0,92.0,160.0,92.0,0.180392161011696,0.180392161011696,0.074,0.013349019914865503,48.130032204435516,124.0,95.0,127.872543334961,95.9681396484375,0.180392161011696,0.160784319043159,0.058,0.010462745338678369,31.534061041465353,143.0,107.0,146.88916015625,103.11083984375,0.180392161011696,0.164705887436867,0.066,0.011905882626771936,31.15719282432108,136.0,110.0,137.94519042968702,110.0,0.180392161011696,0.149019613862038,0.067,0.012086274787783633,20.38018653281724,151.0,127.0,151.0,127.0,0.176470592617989,0.176470592617989,0.074,0.013058823853731185,23.50531854708632,84.0,79.0,86.91741943359379,83.8623046875,0.180392161011696,0.176470592617989,0.067,0.012086274787783633,59.59189791922586,0.299,0.225,0.242,0.184,0.233,0.167,0.151,0.084,0.233,0.159,0.607,0.542,0.458,0.451,7
125.0,121.0,125.0,121.0,0.180392161011696,0.180392161011696,0.075,0.0135294120758772,6.96419413859206,183.0,151.0,183.0,151.0,0.180392161011696,0.180392161011696,0.058,0.010462745338678369,60.27022482121665,134.0,104.0,152.0,96.0,0.176470592617989,0.15686275064945202,0.066,0.011647059112787276,39.90613987846983,124.0,132.0,124.0,132.0,0.176470592617989,0.176470592617989,0.067,0.011823529705405265,5.70087712549569,172.0,111.0,172.0,111.0,0.176470592617989,0.176470592617989,0.067,0.011823529705405265,47.460509900337144,145.0,34.0,151.0,50.0,0.180392161011696,0.160784319043159,0.067,0.012086274787783633,80.98456643089472,0.276,0.201,0.225,0.167,0.2,0.134,0.142,0.075,0.209,0.142,0.567,0.492,0.409,0.418,7
97.0,112.0,92.0,105.0,0.11764706671237898,0.172549024224281,0.066,0.0077647064030170136,42.02975136733502,176.0,112.0,176.0,112.0,0.180392161011696,0.180392161011696,0.058,0.010462745338678369,50.91659847240387,150.0,104.0,165.5283203125,91.2264404296875,0.180392161011696,0.0901960805058479,0.075,0.0135294120758772,52.55401287904768,101.0,162.0,101.0,162.0,0.176470592617989,0.176470592617989,0.058,0.010235294371843362,43.502873468312416,141.0,133.0,141.0,129.05700683593702,0.176470592617989,0.137254908680916,0.075,0.013235294446349175,13.589491171017206,108.0,72.0,110.0,76.0,0.180392161011696,0.164705887436867,0.066,0.011905882626771936,54.39209501388966,0.242,0.176,0.233,0.175,0.209,0.134,0.125,0.067,0.234,0.159,0.55,0.5,0.409,0.425,7
102.0,124.0,102.0,124.0,0.180392161011696,0.180392161011696,0.066,0.011905882626771936,25.739075352467502,217.0,137.0,217.0,137.0,0.180392161011696,0.180392161011696,0.057,0.010282353177666672,90.00277773491216,175.0,116.0,175.0,116.0,0.176470592617989,0.176470592617989,0.033,0.005823529556393638,48.87228253314961,160.0,127.0,160.0,127.0,0.180392161011696,0.180392161011696,0.066,0.011905882626771936,32.50384592629001,159.0,133.0,159.0,133.0,0.180392161011696,0.180392161011696,0.075,0.0135294120758772,31.976553910638962,61.0,131.0,61.0,131.0,0.180392161011696,0.180392161011696,0.066,0.011905882626771936,66.59204156654157,0.259,0.193,0.258,0.201,0.251,0.218,0.158,0.092,0.276,0.201,0.55,0.575,0.484,0.5,7
100.0,27.0,103.610870361328,33.3514404296875,0.180392161011696,0.172549024224281,0.066,0.011905882626771936,97.13208421555649,159.0,122.0,162.0,124.0,0.180392161011696,0.152941182255745,0.058,0.010462745338678369,34.677081768799404,155.0,157.0,155.0,157.0,0.176470592617989,0.176470592617989,0.066,0.011647059112787276,40.329889660151565,96.0,126.0,96.98431396484371,127.968627929688,0.176470592617989,0.160784319043159,0.075,0.013235294446349175,30.51928417136805,126.0,118.0,126.0,118.0,0.180392161011696,0.180392161011696,0.083,0.014972549363970768,9.617692030835672,122.0,30.0,122.97406005859399,32.9222412109375,0.180392161011696,0.172549024224281,0.058,0.010462745338678369,94.68598940664508,0.25,0.184,0.209,0.151,0.217,0.151,0.159,0.084,0.225,0.142,0.525,0.501,0.459,0.442,7
133.0,124.0,133.0,124.0,0.180392161011696,0.180392161011696,0.066,0.011905882626771936,6.519202405202649,188.0,169.0,194.873718261719,169.0,0.180392161011696,0.0941176563501358,0.066,0.011905882626771936,79.12943771068697,182.0,165.0,185.0,162.0,0.176470592617989,0.160784319043159,0.058,0.010235294371843362,67.05594679072095,173.0,191.0,173.0,191.0,0.176470592617989,0.176470592617989,0.074,0.013058823853731185,78.1184997295775,176.0,116.0,176.0,116.0,0.180392161011696,0.180392161011696,0.074,0.013349019914865503,49.84475900232641,126.0,108.0,126.0,108.0,0.180392161011696,0.180392161011696,0.058,0.010462745338678369,19.557607215607945,0.259,0.193,0.217,0.151,0.192,0.134,0.142,0.068,0.275,0.201,0.534,0.483,0.408,0.475,7
81.0,132.0,84.0,136.0,0.180392161011696,0.172549024224281,0.066,0.011905882626771936,44.32268042436062,203.0,169.0,203.0,169.0,0.180392161011696,0.180392161011696,0.066,0.011905882626771936,86.15393200545174,197.0,176.0,201.0,171.0,0.176470592617989,0.0901960805058479,0.058,0.010235294371843362,85.40784507292055,141.0,200.0,141.0,200.0,0.176470592617989,0.176470592617989,0.067,0.011823529705405265,73.74618634207467,147.0,184.0,147.0,184.0,0.176470592617989,0.176470592617989,0.083,0.014647059187293088,59.77039400907442,99.0,133.0,99.98406982421879,137.92028808593702,0.180392161011696,0.133333340287209,0.074,0.013349019914865503,29.422930126559248,0.284,0.218,0.258,0.192,0.234,0.176,0.159,0.092,0.234,0.151,0.6,0.559,0.476,0.467,7
119.0,125.0,119.0,125.0,0.180392161011696,0.180392161011696,0.075,0.0135294120758772,8.860022573334675,182.0,145.0,182.0,145.0,0.180392161011696,0.180392161011696,0.058,0.010462745338678369,57.24071977185472,185.0,105.0,195.009521484375,100.619018554688,0.176470592617989,0.12941177189350098,0.074,0.013058823853731185,72.6644524820252,169.0,110.0,169.0,110.0,0.180392161011696,0.180392161011696,0.083,0.014972549363970768,45.03887209955418,174.0,122.0,174.0,122.0,0.180392161011696,0.180392161011696,0.067,0.012086274787783633,46.82413907377262,136.0,68.0,136.96765136718702,70.9029541015625,0.180392161011696,0.172549024224281,0.058,0.010462745338678369,57.383464751097414,0.284,0.209,0.201,0.143,0.192,0.118,0.158,0.075,0.251,0.184,0.559,0.476,0.417,0.467,7
111.0,106.0,112.0,110.0,0.180392161011696,0.14509804546833,0.067,0.012086274787783633,23.37733945512192,162.0,123.0,162.0,123.0,0.176470592617989,0.176470592617989,0.05,0.00882352963089945,34.792240514229604,176.0,108.0,176.0,108.0,0.176470592617989,0.176470592617989,0.05,0.00882352963089945,52.2733201547405,126.0,196.0,126.0,196.0,0.180392161011696,0.180392161011696,0.058,0.010462745338678369,68.51642138932827,175.0,157.0,175.0,157.0,0.180392161011696,0.180392161011696,0.075,0.0135294120758772,55.915114235777075,115.0,87.0,119.431274414062,94.14691162109379,0.180392161011696,0.12941177189350098,0.075,0.0135294120758772,34.31519833823344,0.292,0.225,0.284,0.234,0.242,0.192,0.15,0.092,0.351,0.276,0.626,0.584,0.467,0.576,7
109.0,72.0,111.0,79.0,0.180392161011696,0.125490203499794,0.075,0.0135294120758772,51.22987409705396,201.0,141.0,201.0,141.0,0.180392161011696,0.180392161011696,0.058,0.010462745338678369,74.7295122424869,159.0,111.0,177.0,102.0,0.176470592617989,0.12941177189350098,0.066,0.011647059112787276,55.682133579811754,139.0,131.0,139.0,131.0,0.180392161011696,0.180392161011696,0.074,0.013349019914865503,12.020815280171307,139.0,151.0,139.0,151.0,0.180392161011696,0.180392161011696,0.075,0.0135294120758772,26.16295090390226,125.0,72.0,125.0,72.0,0.180392161011696,0.180392161011696,0.066,0.011905882626771936,55.556277773083394,0.267,0.192,0.226,0.168,0.192,0.126,0.15,0.076,0.242,0.167,0.559,0.492,0.417,0.458,7
