xCoordPress0,yCoordPress0,xCoordRelease0,yCoordRelease0,pressPressure0,releasePressure0,holdTime0,HPP0,offSet0,xCoordPress1,yCoordPress1,xCoordRelease1,yCoordRelease1,pressPressure1,releasePressure1,holdTime1,HPP1,offSet1,xCoordPress2,yCoordPress2,xCoordRelease2,yCoordRelease2,pressPressure2,releasePressure2,holdTime2,HPP2,offSet2,xCoordPress3,yCoordPress3,xCoordRelease3,yCoordRelease3,pressPressure3,releasePressure3,holdTime3,HPP3,offSet3,xCoordPress4,yCoordPress4,xCoordRelease4,yCoordRelease4,pressPressure4,releasePressure4,holdTime4,HPP4,offSet4,xCoordPress5,yCoordPress5,xCoordRelease5,yCoordRelease5,pressPressure5,releasePressure5,holdTime5,HPP5,offSet5,PPTime0,UDTime0,PPTime1,UDTime1,PPTime2,UDTime2,PPTime3,UDTime3,PPTime4,UDTime4
68.0,64.0,68.0,64.0,0.180392161011696,0.180392161011696,0.091,0.016415686652064335,23.200215516240362,28.0,58.0,29.0,61.0,0.20000001788139302,0.164705887436867,0.091,0.018200001627206763,32.973474187595095,81.0,101.0,81.0,101.0,0.172549024224281,0.172549024224281,0.092,0.015874510228633853,32.72995569810628,37.0,54.0,37.0,54.0,0.20000001788139302,0.20000001788139302,0.091,0.018200001627206763,33.185087012090236,64.0,71.0,64.0,71.0,0.19215688109397897,0.19215688109397897,0.108,0.02075294315814973,15.239750654128171,65.0,91.0,67.0,89.0,0.18823531270027202,0.14117647707462302,0.091,0.017129413455724753,14.534441853748634,0.474,0.383,0.525,0.434,0.61,0.518,0.934,0.843,0.334,0.226
58.0,72.0,58.0,72.0,0.18431372940540303,0.18431372940540303,0.099,0.0182470592111349,11.236102527122116,70.0,85.0,70.0,85.0,0.18431372940540303,0.18431372940540303,0.133,0.024513726010918602,16.194134740701646,65.0,81.0,65.0,81.0,0.172549024224281,0.172549024224281,0.108,0.018635294616222348,11.10180165558726,53.0,52.0,53.0,52.0,0.19607844948768602,0.19607844948768602,0.083,0.01627451130747794,30.516389039334257,80.0,85.0,80.0,85.0,0.19215688109397897,0.19215688109397897,0.116,0.022290198206901563,26.119915773217954,101.0,74.0,91.0,73.0,0.172549024224281,0.160784319043159,0.091,0.01570196120440957,38.20013088982812,0.425,0.326,0.493,0.36,0.534,0.426,0.609,0.526,0.367,0.251
61.0,93.0,61.0,93.0,0.18431372940540303,0.18431372940540303,0.091,0.016772549375891677,12.619429464123963,57.0,110.0,57.0,110.0,0.19607844948768602,0.19607844948768602,0.099,0.019411766499280916,27.663152387246107,74.0,80.0,74.0,80.0,0.176470592617989,0.176470592617989,0.084,0.014823529779911077,20.155644370746373,65.0,59.0,65.0,59.0,0.19607844948768602,0.19607844948768602,0.108,0.02117647254467009,25.947061490658243,58.0,93.0,58.0,93.0,0.19215688109397897,0.19215688109397897,0.116,0.022290198206901563,11.236102527122116,77.0,69.0,77.0,69.0,0.18823531270027202,0.18823531270027202,0.091,0.017129413455724753,26.669270706189174,0.45,0.359,0.5,0.401,0.51,0.426,0.626,0.518,0.392,0.276
72.0,84.0,72.0,84.0,0.18431372940540303,0.18431372940540303,0.116,0.02138039261102675,18.062391868188442,69.0,103.0,69.0,103.0,0.18431372940540303,0.18431372940540303,0.125,0.02303921617567538,25.401771591761076,86.0,81.0,86.0,81.0,0.176470592617989,0.176470592617989,0.117,0.020647059336304716,32.035136959282696,43.0,85.0,43.0,85.0,0.19215688109397897,0.19215688109397897,0.109,0.020945100039243707,11.280514172678478,80.0,94.0,80.0,94.0,0.19215688109397897,0.19215688109397897,0.125,0.02401961013674737,28.429737951659,89.0,62.0,89.0,62.0,0.19215688109397897,0.19215688109397897,0.125,0.02401961013674737,40.56168142471414,0.433,0.317,0.451,0.326,0.517,0.4,0.576,0.467,0.359,0.234
66.0,80.0,66.0,80.0,0.176470592617989,0.176470592617989,0.108,0.01905882400274281,12.257650672131263,45.0,108.0,45.0,108.0,0.19215688109397897,0.19215688109397897,0.1,0.0192156881093979,27.04163456597992,89.0,80.0,89.0,80.0,0.176470592617989,0.176470592617989,0.141,0.02488235355913645,35.0891721190455,63.0,62.0,63.0,62.0,0.19215688109397897,0.19215688109397897,0.091,0.017486276179552087,22.38861317723811,90.0,87.0,90.0,87.0,0.19607844948768602,0.19607844948768602,0.1,0.019607844948768605,36.28015986734347,97.0,59.0,97.0,59.0,0.19607844948768602,0.19607844948768602,0.1,0.019607844948768605,49.002550954006466,0.475,0.367,0.618,0.518,0.584,0.443,0.534,0.443,0.325,0.225
80.0,89.0,80.0,89.0,0.18431372940540303,0.18431372940540303,0.142,0.02617254957556723,26.800186566514792,56.0,101.0,56.0,101.0,0.20000001788139302,0.20000001788139302,0.099,0.01980000177025791,18.607794065928395,91.0,81.0,91.0,81.0,0.172549024224281,0.172549024224281,0.1,0.017254902422428102,37.030392922571046,79.0,81.0,79.0,81.0,0.20000001788139302,0.20000001788139302,0.108,0.021600001931190445,25.04495957273639,68.0,117.0,68.0,117.0,0.19215688109397897,0.19215688109397897,0.1,0.0192156881093979,37.23237838226293,71.0,78.0,76.0,76.0,0.19607844948768602,0.113725498318672,0.083,0.01627451130747794,22.940139493908923,0.635,0.493,0.475,0.376,0.534,0.434,0.584,0.476,0.326,0.226
57.0,129.0,57.0,129.0,0.18823531270027202,0.18823531270027202,0.092,0.017317648768425026,46.5966737010272,69.0,96.0,69.0,96.0,0.20000001788139302,0.20000001788139302,0.108,0.021600001931190445,20.180436070610565,73.0,90.0,73.0,90.0,0.180392161011696,0.180392161011696,0.099,0.017858823940157906,20.426698215815495,32.0,97.0,32.0,97.0,0.19607844948768602,0.19607844948768602,0.082,0.016078432857990255,26.348624252510795,104.0,100.0,104.0,100.0,0.19215688109397897,0.19215688109397897,0.099,0.019023531228303917,52.974050251042726,59.0,75.0,61.9506225585937,75.0,0.19607844948768602,0.164705887436867,0.082,0.016078432857990255,10.929885592686642,0.71,0.618,0.459,0.351,0.534,0.435,0.509,0.427,0.342,0.243
52.0,91.0,52.0,91.0,0.18823531270027202,0.18823531270027202,0.1,0.018823531270027203,8.73212459828649,55.0,111.0,55.0,111.0,0.19607844948768602,0.19607844948768602,0.108,0.02117647254467009,28.5175384631984,95.0,77.0,95.0,77.0,0.176470592617989,0.176470592617989,0.125,0.022058824077248625,41.36725758374611,26.0,77.0,26.0,77.0,0.19215688109397897,0.19215688109397897,0.099,0.019023531228303917,28.53506614676055,74.0,128.0,74.0,128.0,0.18823531270027202,0.18823531270027202,0.1,0.018823531270027203,49.70160963188214,54.0,87.0,54.0,87.0,0.18823531270027202,0.18823531270027202,0.058,0.010917648136615778,4.5,0.609,0.509,0.467,0.359,0.493,0.368,0.5,0.401,0.301,0.201
58.0,101.0,58.0,101.0,0.18823531270027202,0.18823531270027202,0.083,0.015623530954122578,18.9274932307477,20.0,80.0,20.0,80.0,0.19215688109397897,0.19215688109397897,0.092,0.017678433060646065,34.09178786746157,98.0,100.0,98.0,100.0,0.176470592617989,0.176470592617989,0.1,0.0176470592617989,47.35240226218729,27.0,68.0,27.0,68.0,0.19607844948768602,0.19607844948768602,0.099,0.019411766499280916,30.64718584144391,71.0,66.0,71.0,66.0,0.19215688109397897,0.19215688109397897,0.099,0.019023531228303917,23.69071548096427,82.0,83.0,86.0,82.0,0.19215688109397897,0.176470592617989,0.083,0.015949021130800253,32.00390601161052,0.492,0.409,0.484,0.392,0.551,0.451,0.551,0.452,0.308,0.209
100.0,83.0,100.0,83.0,0.180392161011696,0.180392161011696,0.117,0.021105882838368433,46.00271731104588,40.0,96.0,40.0,96.0,0.19215688109397897,0.19215688109397897,0.075,0.014411766082048421,19.448650338776723,97.0,85.0,97.0,85.0,0.172549024224281,0.172549024224281,0.1,0.017254902422428102,43.072613108563544,34.0,84.0,34.0,84.0,0.19215688109397897,0.19215688109397897,0.083,0.015949021130800253,20.05617112013158,93.0,93.0,93.0,93.0,0.19215688109397897,0.19215688109397897,0.116,0.022290198206901563,40.38873605350878,99.0,55.0,99.0,55.0,0.19215688109397897,0.19215688109397897,0.108,0.02075294315814973,52.73755777432247,0.492,0.375,0.434,0.359,0.501,0.401,0.467,0.384,0.392,0.276
