xCoordPress0,yCoordPress0,xCoordRelease0,yCoordRelease0,pressPressure0,releasePressure0,holdTime0,HPP0,offSet0,xCoordPress1,yCoordPress1,xCoordRelease1,yCoordRelease1,pressPressure1,releasePressure1,holdTime1,HPP1,offSet1,xCoordPress2,yCoordPress2,xCoordRelease2,yCoordRelease2,pressPressure2,releasePressure2,holdTime2,HPP2,offSet2,xCoordPress3,yCoordPress3,xCoordRelease3,yCoordRelease3,pressPressure3,releasePressure3,holdTime3,HPP3,offSet3,xCoordPress4,yCoordPress4,xCoordRelease4,yCoordRelease4,pressPressure4,releasePressure4,holdTime4,HPP4,offSet4,xCoordPress5,yCoordPress5,xCoordRelease5,yCoordRelease5,pressPressure5,releasePressure5,holdTime5,HPP5,offSet5,xCoordPress6,yCoordPress6,xCoordRelease6,yCoordRelease6,pressPressure6,releasePressure6,holdTime6,HPP6,offSet6,xCoordPress7,yCoordPress7,xCoordRelease7,yCoordRelease7,pressPressure7,releasePressure7,holdTime7,HPP7,offSet7,PPTime0,UDTime0,PPTime1,UDTime1,PPTime2,UDTime2,PPTime3,UDTime3,PPTime4,UDTime4,PPTime5,UDTime5,PPTime6,UDTime6
47.0,94.0,47.0,94.0,0.172549024224281,0.172549024224281,0.083,0.014321569010615324,13.46291201783626,37.0,116.0,37.0,116.0,0.18431372940540303,0.18431372940540303,0.083,0.015298039540648452,37.566607512523674,64.0,92.0,64.0,92.0,0.180392161011696,0.180392161011696,0.108,0.019482353389263168,13.793114224133722,47.0,118.0,47.0,118.0,0.172549024224281,0.172549024224281,0.117,0.02018823583424088,36.18355980276125,75.0,86.0,75.0,86.0,0.172549024224281,0.172549024224281,0.1,0.017254902422428102,21.289668856043768,37.0,118.0,37.0,118.0,0.176470592617989,0.176470592617989,0.091,0.016058823928236998,39.3605132080363,12.0,121.0,12.0,121.0,0.176470592617989,0.176470592617989,0.108,0.01905882400274281,56.97587208634897,60.0,100.0,60.0,100.0,0.180392161011696,0.180392161011696,0.091,0.016415686652064335,18.5,0.6,0.517,0.325,0.242,0.192,0.084,0.283,0.166,0.309,0.209,0.609,0.518,0.317,0.209
45.0,92.0,45.0,92.0,0.172549024224281,0.172549024224281,0.108,0.018635294616222348,13.0862523283024,23.0,107.0,23.0,107.0,0.18431372940540303,0.18431372940540303,0.1,0.018431372940540303,39.51265620026069,58.0,116.0,58.0,116.0,0.172549024224281,0.172549024224281,0.124,0.021396079003810846,33.737960815674676,38.0,105.0,38.0,105.0,0.176470592617989,0.176470592617989,0.092,0.01623529452085499,27.608875384557045,68.0,81.0,68.0,81.0,0.168627455830574,0.168627455830574,0.084,0.014164706289768217,14.080127840328723,23.0,115.0,23.0,115.0,0.176470592617989,0.176470592617989,0.066,0.011647059112787276,44.91380634058975,28.0,127.0,28.0,127.0,0.172549024224281,0.172549024224281,0.116,0.020015686810016597,51.53882032022076,65.0,91.0,67.0,97.0,0.176470592617989,0.15686275064945202,0.091,0.016058823928236998,19.474342094150447,0.384,0.276,0.501,0.401,0.216,0.092,0.375,0.283,0.259,0.175,0.484,0.418,0.442,0.326
57.0,73.0,57.0,73.0,0.176470592617989,0.176470592617989,0.084,0.014823529779911077,9.962429422585638,56.0,120.0,56.0,120.0,0.18431372940540303,0.18431372940540303,0.125,0.02303921617567538,37.5532954612508,57.0,105.0,57.0,105.0,0.176470592617989,0.176470592617989,0.1,0.0176470592617989,22.699118925632334,38.0,110.0,38.0,110.0,0.176470592617989,0.176470592617989,0.108,0.01905882400274281,31.815876539866068,66.0,80.0,66.0,80.0,0.172549024224281,0.172549024224281,0.083,0.014321569010615324,12.257650672131263,36.0,114.0,36.0,114.0,0.180392161011696,0.180392161011696,0.083,0.014972549363970768,36.28015986734347,23.0,121.0,23.0,121.0,0.172549024224281,0.172549024224281,0.099,0.01708235339820382,49.429242357131066,65.0,101.0,65.0,101.0,0.176470592617989,0.176470592617989,0.083,0.014647059187293088,21.523243250030884,0.283,0.199,0.342,0.217,0.225,0.125,0.251,0.143,0.233,0.15,0.334,0.251,0.25,0.151
41.0,76.0,41.0,76.0,0.176470592617989,0.176470592617989,0.091,0.016058823928236998,14.534441853748634,57.0,102.0,57.0,102.0,0.180392161011696,0.180392161011696,0.092,0.01659607881307603,19.72941965694886,87.0,102.0,87.0,102.0,0.176470592617989,0.176470592617989,0.083,0.014647059187293088,38.33079701754191,24.0,126.0,24.0,126.0,0.176470592617989,0.176470592617989,0.083,0.014647059187293088,52.84174486142561,68.0,90.0,68.0,90.0,0.176470592617989,0.176470592617989,0.099,0.01747058866918091,15.88238017426859,8.0,121.0,8.0,121.0,0.180392161011696,0.180392161011696,0.091,0.016415686652064335,59.98541489395568,21.0,130.0,21.0,130.0,0.176470592617989,0.176470592617989,0.091,0.016058823928236998,57.83813620786894,85.0,118.0,81.0,115.0,0.18431372940540303,0.121568635106087,0.082,0.015113725811243048,42.25221887664599,0.399,0.308,0.459,0.367,0.275,0.192,0.742,0.659,0.242,0.143,0.283,0.192,1.769,1.678
66.0,80.0,66.0,80.0,0.176470592617989,0.176470592617989,0.049,0.008647059038281462,12.257650672131263,68.0,121.0,68.0,121.0,0.19607844948768602,0.19607844948768602,0.091,0.017843138903379428,40.96644968751869,77.0,114.0,77.0,114.0,0.180392161011696,0.180392161011696,0.091,0.016415686652064335,39.003204996512785,52.0,107.0,52.0,107.0,0.18431372940540303,0.18431372940540303,0.117,0.021564706340432154,24.58149710656371,42.0,97.0,42.0,97.0,0.160784319043159,0.160784319043159,0.091,0.01463137303292747,18.82153022471871,46.0,118.0,46.0,118.0,0.180392161011696,0.180392161011696,0.083,0.014972549363970768,36.39024594585752,32.0,114.0,32.0,114.0,0.176470592617989,0.176470592617989,0.083,0.014647059187293088,38.421998906876254,75.0,142.0,68.0,138.0,0.180392161011696,0.172549024224281,0.074,0.013349019914865503,57.23853597009623,0.4,0.351,0.333,0.242,0.183,0.092,0.276,0.159,0.208,0.117,0.242,0.159,0.642,0.559
52.0,77.0,52.0,77.0,0.176470592617989,0.176470592617989,0.1,0.0176470592617989,5.852349955359813,60.0,154.0,60.0,154.0,0.18823531270027202,0.18823531270027202,0.1,0.018823531270027203,71.75130660831202,63.0,119.0,63.0,119.0,0.176470592617989,0.176470592617989,0.091,0.016058823928236998,37.59321747336878,54.0,122.0,54.0,122.0,0.18431372940540303,0.18431372940540303,0.108,0.019905882775783527,39.5,55.0,104.0,55.0,104.0,0.14509804546833,0.14509804546833,0.108,0.01567058891057964,21.523243250030884,40.0,138.0,40.0,138.0,0.180392161011696,0.180392161011696,0.075,0.0135294120758772,57.23853597009623,44.0,149.0,44.0,149.0,0.176470592617989,0.176470592617989,0.1,0.0176470592617989,67.24767653978834,53.0,114.0,53.0,114.0,0.18431372940540303,0.18431372940540303,0.074,0.013639215975999824,31.51586901863885,0.342,0.242,0.342,0.242,0.167,0.076,0.542,0.434,0.233,0.125,0.367,0.292,0.284,0.184
41.0,64.0,41.0,64.0,0.176470592617989,0.176470592617989,0.091,0.016058823928236998,22.610838109190027,77.0,103.0,77.0,103.0,0.18823531270027202,0.18823531270027202,0.116,0.021835296273231556,30.80990100600779,48.0,111.0,48.0,111.0,0.180392161011696,0.180392161011696,0.108,0.019482353389263168,29.124731758421397,42.0,128.0,42.0,128.0,0.176470592617989,0.176470592617989,0.1,0.0176470592617989,47.055817918722866,50.0,107.0,50.0,107.0,0.172549024224281,0.172549024224281,0.116,0.020015686810016597,24.82438317461282,27.0,126.0,27.0,126.0,0.18431372940540303,0.18431372940540303,0.091,0.016772549375891677,51.198144497628036,44.0,128.0,44.0,128.0,0.172549024224281,0.172549024224281,0.099,0.01708235339820382,46.585942085569116,49.0,116.0,49.0,116.0,0.180392161011696,0.180392161011696,0.075,0.0135294120758772,33.8710791088799,0.317,0.226,0.392,0.276,0.191,0.083,0.259,0.159,0.175,0.059,0.609,0.518,0.341,0.242
52.0,93.0,52.0,93.0,0.176470592617989,0.176470592617989,0.1,0.0176470592617989,10.688779163215974,72.0,121.0,72.0,121.0,0.18823531270027202,0.18823531270027202,0.108,0.02032941377162938,42.5,58.0,91.0,58.0,91.0,0.172549024224281,0.172549024224281,0.091,0.01570196120440957,9.394147114027968,15.0,121.0,15.0,121.0,0.18823531270027202,0.18823531270027202,0.1,0.018823531270027203,54.801916024898254,77.0,83.0,77.0,83.0,0.176470592617989,0.176470592617989,0.1,0.0176470592617989,23.005434140654682,14.0,142.0,14.0,142.0,0.18431372940540303,0.18431372940540303,0.099,0.0182470592111349,71.69553682064178,21.0,110.0,21.0,110.0,0.176470592617989,0.176470592617989,0.091,0.016058823928236998,42.9563732174866,29.0,105.0,25.0,103.0,0.18431372940540303,0.164705887436867,0.108,0.019905882775783527,35.51408171415952,0.284,0.184,0.35,0.242,0.2,0.109,0.6,0.5,0.209,0.109,0.275,0.176,0.25,0.159
17.0,104.0,17.0,104.0,0.176470592617989,0.176470592617989,0.092,0.01623529452085499,42.79310692155922,15.0,126.0,17.0,125.0,0.18431372940540303,0.11764706671237898,0.082,0.015113725811243048,56.349356695529366,63.0,113.0,58.0,112.0,0.180392161011696,0.137254908680916,0.074,0.013349019914865503,29.769951293208393,45.0,122.0,45.0,122.0,0.180392161011696,0.180392161011696,0.083,0.014972549363970768,40.512343797909296,56.0,100.0,56.0,100.0,0.172549024224281,0.172549024224281,0.108,0.018635294616222348,17.613914953808536,37.0,115.0,37.0,115.0,0.18431372940540303,0.18431372940540303,0.083,0.015298039540648452,36.67764987018661,40.0,121.0,40.0,121.0,0.172549024224281,0.172549024224281,0.1,0.017254902422428102,40.96644968751869,33.0,97.0,33.0,97.0,0.18431372940540303,0.18431372940540303,0.091,0.016772549375891677,25.51960031034969,0.301,0.209,0.375,0.293,0.241,0.167,0.192,0.109,0.209,0.101,0.258,0.175,0.234,0.134
50.0,76.0,50.0,76.0,0.176470592617989,0.176470592617989,0.092,0.01623529452085499,7.632168761236874,47.0,84.0,47.0,84.0,0.18823531270027202,0.18823531270027202,0.099,0.018635295957326933,7.158910531638177,68.0,83.0,68.0,83.0,0.180392161011696,0.180392161011696,0.091,0.016415686652064335,14.0089257261219,21.0,120.0,21.0,120.0,0.18431372940540303,0.18431372940540303,0.091,0.016772549375891677,49.95247741604014,61.0,118.0,61.0,118.0,0.172549024224281,0.172549024224281,0.108,0.018635294616222348,36.18355980276125,25.0,135.0,25.0,135.0,0.18431372940540303,0.18431372940540303,0.083,0.015298039540648452,59.97707895521422,28.0,109.0,28.0,109.0,0.176470592617989,0.176470592617989,0.083,0.014647059187293088,37.12478956169314,43.0,132.0,43.0,132.0,0.176470592617989,0.176470592617989,0.083,0.014647059187293088,50.70749451511088,0.326,0.234,0.434,0.335,0.2,0.109,0.275,0.184,0.166,0.058,0.234,0.151,0.284,0.201
