xCoordPress0,yCoordPress0,xCoordRelease0,yCoordRelease0,pressPressure0,releasePressure0,holdTime0,HPP0,offSet0,xCoordPress1,yCoordPress1,xCoordRelease1,yCoordRelease1,pressPressure1,releasePressure1,holdTime1,HPP1,offSet1,xCoordPress2,yCoordPress2,xCoordRelease2,yCoordRelease2,pressPressure2,releasePressure2,holdTime2,HPP2,offSet2,xCoordPress3,yCoordPress3,xCoordRelease3,yCoordRelease3,pressPressure3,releasePressure3,holdTime3,HPP3,offSet3,xCoordPress4,yCoordPress4,xCoordRelease4,yCoordRelease4,pressPressure4,releasePressure4,holdTime4,HPP4,offSet4,xCoordPress5,yCoordPress5,xCoordRelease5,yCoordRelease5,pressPressure5,releasePressure5,holdTime5,HPP5,offSet5,xCoordPress6,yCoordPress6,xCoordRelease6,yCoordRelease6,pressPressure6,releasePressure6,holdTime6,HPP6,offSet6,xCoordPress7,yCoordPress7,xCoordRelease7,yCoordRelease7,pressPressure7,releasePressure7,holdTime7,HPP7,offSet7,xCoordPress8,yCoordPress8,xCoordRelease8,yCoordRelease8,pressPressure8,releasePressure8,holdTime8,HPP8,offSet8,xCoordPress9,yCoordPress9,xCoordRelease9,yCoordRelease9,pressPressure9,releasePressure9,holdTime9,HPP9,offSet9,xCoordPress10,yCoordPress10,xCoordRelease10,yCoordRelease10,pressPressure10,releasePressure10,holdTime10,HPP10,offSet10,xCoordPress11,yCoordPress11,xCoordRelease11,yCoordRelease11,pressPressure11,releasePressure11,holdTime11,HPP11,offSet11,PPTime0,UDTime0,PPTime1,UDTime1,PPTime2,UDTime2,PPTime3,UDTime3,PPTime4,UDTime4,PPTime5,UDTime5,PPTime6,UDTime6,PPTime7,UDTime7,PPTime8,UDTime8,PPTime9,UDTime9,PPTime10,UDTime10
77.0,120.0,77.0,120.0,0.180392161011696,0.180392161011696,0.091,0.016415686652064335,43.99147644714826,32.0,110.0,32.0,110.0,0.172549024224281,0.172549024224281,0.1,0.017254902422428102,35.21718330588067,32.0,110.0,32.0,110.0,0.133333340287209,0.133333340287209,0.092,0.012266667306423227,35.21718330588067,78.0,112.0,78.0,112.0,0.172549024224281,0.172549024224281,0.083,0.014321569010615324,38.029593739612835,22.0,102.0,22.0,102.0,0.15686275064945202,0.15686275064945202,0.084,0.01317647105455397,37.473323845103465,48.0,130.0,48.0,130.0,0.172549024224281,0.172549024224281,0.092,0.015874510228633853,47.877447718106275,40.0,106.0,40.0,106.0,0.12941177189350098,0.12941177189350098,0.083,0.010741177067160582,27.35415873317986,60.0,134.0,60.0,134.0,0.176470592617989,0.176470592617989,0.084,0.014823529779911077,51.848336521049546,65.0,120.0,65.0,120.0,0.176470592617989,0.176470592617989,0.092,0.01623529452085499,39.080046059338265,53.0,114.0,53.0,114.0,0.172549024224281,0.172549024224281,0.108,0.018635294616222348,31.51586901863885,44.0,121.0,44.0,121.0,0.176470592617989,0.176470592617989,0.084,0.014823529779911077,39.777506206397604,76.0,104.0,76.0,104.0,0.180392161011696,0.180392161011696,0.05,0.0090196080505848,30.76117683054405,0.717,0.626,0.86,0.76,0.501,0.409,0.818,0.735,0.351,0.267,0.284,0.192,0.843,0.76,1.019,0.935,1.195,1.103,0.224,0.116,0.994,0.91
69.0,125.0,69.0,125.0,0.18431372940540303,0.18431372940540303,0.099,0.0182470592111349,45.069390943299865,31.0,111.0,31.0,111.0,0.152941182255745,0.152941182255745,0.091,0.013917647585272794,36.62308015445998,45.0,104.0,45.0,100.042602539063,0.164705887436867,0.109803929924965,0.133,0.021905883029103315,19.71656419976715,49.0,112.0,49.0,112.0,0.176470592617989,0.176470592617989,0.116,0.020470588743686725,29.920728600754362,32.0,91.0,32.0,91.0,0.168627455830574,0.168627455830574,0.1,0.016862745583057403,23.58495283014151,61.0,129.0,61.0,129.0,0.172549024224281,0.172549024224281,0.108,0.018635294616222348,47.02393007820593,28.0,94.0,28.0,94.0,0.168627455830574,0.168627455830574,0.099,0.016694118127226827,28.429737951659,41.0,70.0,41.0,70.0,0.180392161011696,0.180392161011696,0.067,0.012086274787783633,18.034688796871432,80.0,96.0,80.0,96.0,0.180392161011696,0.180392161011696,0.075,0.0135294120758772,29.295904150580505,54.0,88.0,54.0,88.0,0.176470592617989,0.176470592617989,0.116,0.020470588743686725,5.5,32.0,95.0,32.0,95.0,0.172549024224281,0.172549024224281,0.075,0.012941176816821075,25.30316185775999,46.0,104.0,46.0,104.0,0.172549024224281,0.172549024224281,0.066,0.011388235598802548,22.940139493908923,0.525,0.426,0.717,0.626,0.376,0.243,0.625,0.509,0.318,0.218,0.217,0.109,0.725,0.626,1.01,0.943,0.726,0.651,0.217,0.101,1.611,1.536
82.0,98.0,82.0,98.0,0.18431372940540303,0.18431372940540303,0.074,0.013639215975999824,32.00390601161052,35.0,118.0,35.0,118.0,0.172549024224281,0.172549024224281,0.1,0.017254902422428102,40.26474885057648,36.0,78.0,36.0,78.0,0.160784319043159,0.160784319043159,0.108,0.017364706456661175,18.553975315279473,68.0,133.0,67.0,138.0,0.176470592617989,0.149019613862038,0.108,0.01905882400274281,57.002192940272046,28.0,63.0,28.0,63.0,0.14509804546833,0.14509804546833,0.092,0.01334902018308636,32.5,58.0,137.0,58.0,140.0,0.176470592617989,0.152941182255745,0.108,0.01905882400274281,57.638962516686576,41.0,106.0,41.0,109.634155273438,0.176470592617989,0.152941182255745,0.091,0.016058823928236998,30.087578540039463,71.0,121.0,71.0,121.0,0.176470592617989,0.176470592617989,0.1,0.0176470592617989,42.08622102303793,74.0,147.0,74.0,147.0,0.18431372940540303,0.18431372940540303,0.058,0.010690196305513376,67.52962312940892,27.0,98.0,27.0,98.0,0.180392161011696,0.180392161011696,0.075,0.0135294120758772,31.132780152116194,19.0,122.0,19.0,122.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,52.77546778570513,48.0,83.0,48.0,83.0,0.18431372940540303,0.18431372940540303,0.075,0.013823529705405227,6.020797289396148,3.222,3.148,0.359,0.259,0.3,0.192,0.292,0.184,0.259,0.167,0.242,0.134,0.559,0.468,0.442,0.342,0.492,0.434,0.192,0.117,0.843,0.768
50.0,112.0,50.0,112.0,0.180392161011696,0.180392161011696,0.067,0.012086274787783633,29.769951293208393,51.0,117.0,51.0,117.0,0.172549024224281,0.172549024224281,0.108,0.018635294616222348,34.630189141845584,42.0,110.0,42.0,110.0,0.160784319043159,0.160784319043159,0.117,0.018811765328049606,30.004166377354995,65.0,118.0,65.0,118.0,0.176470592617989,0.176470592617989,0.108,0.01905882400274281,37.16517186829626,47.0,94.0,47.0,94.0,0.168627455830574,0.168627455830574,0.067,0.01129803954064846,13.46291201783626,72.0,102.0,72.0,102.0,0.176470592617989,0.176470592617989,0.091,0.016058823928236998,26.537709019431198,43.0,99.0,43.0,99.0,0.14117647707462302,0.14117647707462302,0.075,0.010588235780596726,19.83053201505194,31.0,117.0,31.0,117.0,0.180392161011696,0.180392161011696,0.074,0.013349019914865503,41.46383966783588,68.0,135.0,68.0,135.0,0.176470592617989,0.176470592617989,0.05,0.00882352963089945,54.33461143691008,52.0,93.0,52.0,93.0,0.172549024224281,0.172549024224281,0.1,0.017254902422428102,10.688779163215974,22.0,108.0,22.0,108.0,0.176470592617989,0.176470592617989,0.083,0.014647059187293088,40.91760012512953,53.0,104.0,53.0,104.0,0.18431372940540303,0.18431372940540303,0.05,0.009215686470270152,21.523243250030884,0.86,0.793,0.333,0.225,0.309,0.192,0.367,0.259,0.284,0.217,0.25,0.159,0.56,0.485,0.458,0.384,0.468,0.418,0.2,0.1,0.701,0.618
56.0,107.0,56.0,107.0,0.180392161011696,0.180392161011696,0.067,0.012086274787783633,24.58149710656371,70.0,105.0,69.0,107.0,0.172549024224281,0.0980392247438431,0.117,0.02018823583424088,28.72716484444645,37.0,81.0,37.0,81.0,0.137254908680916,0.137254908680916,0.091,0.012490196689963356,17.066048165876012,60.0,103.0,61.0,125.0,0.180392161011696,0.125490203499794,0.125,0.022549020126462,43.072613108563544,50.0,75.0,49.0,71.0,0.164705887436867,0.0941176563501358,0.1,0.0164705887436867,12.539936203984453,63.0,122.0,63.0,125.916870117188,0.176470592617989,0.172549024224281,0.092,0.01623529452085499,44.33987607980848,17.0,133.0,17.0,133.0,0.15686275064945202,0.15686275064945202,0.058,0.009098039537668218,62.6039136156838,51.0,94.0,51.0,94.0,0.176470592617989,0.176470592617989,0.083,0.014647059187293088,11.884864324004713,83.0,121.0,83.0,121.0,0.180392161011696,0.180392161011696,0.05,0.0090196080505848,48.20010373432821,39.0,121.0,39.0,121.0,0.172549024224281,0.172549024224281,0.083,0.014321569010615324,41.31888188225814,23.0,125.0,20.0494384765625,125.0,0.176470592617989,0.113725498318672,0.092,0.01623529452085499,54.39568574580814,40.0,125.0,40.0,125.0,0.18431372940540303,0.18431372940540303,0.041,0.007556862905621524,44.746508243660756,0.768,0.701,0.359,0.242,0.309,0.218,0.35,0.225,0.284,0.184,0.234,0.142,0.417,0.359,0.367,0.284,0.477,0.427,0.175,0.092,0.419,0.327
58.0,88.0,58.0,88.0,0.180392161011696,0.180392161011696,0.075,0.0135294120758772,6.800735254367722,41.0,100.0,42.0,107.0,0.176470592617989,0.15686275064945202,0.116,0.020470588743686725,27.28094573140748,46.0,108.0,46.0,108.0,0.12941177189350098,0.12941177189350098,0.133,0.017211765661835632,26.725456029785533,82.0,101.0,80.180419921875,106.2783203125,0.176470592617989,0.113725498318672,0.108,0.01905882400274281,35.36697476699922,64.0,66.0,64.0,66.0,0.14117647707462302,0.14117647707462302,0.067,0.009458823963999743,19.29378138157474,93.0,114.0,93.0,114.0,0.172549024224281,0.172549024224281,0.1,0.017254902422428102,50.13232490120521,48.0,110.0,48.0,110.0,0.14509804546833,0.14509804546833,0.083,0.01204313777387139,28.146935890075138,57.0,99.0,57.0,99.0,0.176470592617989,0.176470592617989,0.082,0.014470588594675099,16.77050983124842,93.0,119.0,93.0,119.0,0.180392161011696,0.180392161011696,0.058,0.010462745338678369,53.415821626181135,46.0,96.0,46.0,96.0,0.172549024224281,0.172549024224281,0.1,0.017254902422428102,15.692354826475215,30.0,105.0,27.055114746093697,105.981567382812,0.176470592617989,0.149019613862038,0.091,0.016058823928236998,35.740884825360965,49.0,142.0,49.0,142.0,0.18431372940540303,0.18431372940540303,0.05,0.009215686470270152,59.70971445250764,0.785,0.71,0.342,0.226,0.326,0.193,0.283,0.175,0.234,0.167,0.242,0.142,1.061,0.978,0.467,0.385,0.45,0.392,0.184,0.084,0.434,0.343
77.0,113.0,77.0,113.0,0.18431372940540303,0.18431372940540303,0.058,0.010690196305513376,38.20013088982812,40.0,134.0,40.0,134.0,0.176470592617989,0.176470592617989,0.058,0.010235294371843362,53.3689984916337,41.0,91.0,41.0,91.0,0.14117647707462302,0.14117647707462302,0.108,0.015247059524059286,15.532224567009067,83.0,123.0,81.033203125,125.9501953125,0.176470592617989,0.176470592617989,0.083,0.014647059187293088,51.17336752542192,66.0,77.0,67.0,74.0,0.160784319043159,0.137254908680916,0.092,0.014792157351970628,15.532224567009067,89.0,123.0,87.0,142.0,0.176470592617989,0.105882361531258,0.109,0.019235294595360802,68.03859199013453,28.0,137.0,28.0,137.0,0.149019613862038,0.149019613862038,0.067,0.009984314128756546,60.38418667167755,62.0,118.0,62.0,118.0,0.176470592617989,0.176470592617989,0.092,0.01623529452085499,36.39024594585752,69.0,151.0,69.0,151.0,0.176470592617989,0.176470592617989,0.033,0.005823529556393638,70.12310603502956,55.0,104.0,55.0,104.0,0.172549024224281,0.172549024224281,0.066,0.011388235598802548,21.523243250030884,27.0,113.0,27.0,113.0,0.172549024224281,0.172549024224281,0.042,0.007247059017419803,40.73389252207552,63.0,125.0,63.0,125.0,0.180392161011696,0.180392161011696,0.033,0.005952941313385968,43.44249072049161,0.492,0.434,0.651,0.593,0.317,0.209,0.25,0.167,0.242,0.15,0.217,0.108,0.434,0.367,0.426,0.334,0.476,0.443,0.175,0.109,0.384,0.342
56.0,80.0,56.0,80.0,0.18431372940540303,0.18431372940540303,0.058,0.010690196305513376,3.2015621187164243,46.0,109.0,45.0239868164062,110.952026367188,0.172549024224281,0.160784319043159,0.075,0.012941176816821075,29.834319450445165,16.0,104.0,16.0,104.0,0.172549024224281,0.172549024224281,0.075,0.012941176816821075,43.660622991432454,66.0,140.0,65.0,163.0,0.180392161011696,0.109803929924965,0.108,0.019482353389263168,81.24807690031808,37.0,76.0,37.0,71.0965576171875,0.172549024224281,0.11764706671237898,0.074,0.012768627792596793,20.470429848396552,86.0,127.0,85.1595458984375,138.7236328125,0.176470592617989,0.133333340287209,0.083,0.014647059187293088,64.28074507371286,30.0,146.0,30.0,146.0,0.176470592617989,0.176470592617989,0.074,0.013058823853731185,67.88409239284267,48.0,106.0,48.0,106.0,0.18431372940540303,0.18431372940540303,0.058,0.010690196305513376,24.253865671269807,67.0,129.0,67.0,129.0,0.18431372940540303,0.18431372940540303,0.05,0.009215686470270152,48.28301978956991,20.0,120.0,20.0,120.0,0.172549024224281,0.172549024224281,0.042,0.007247059017419803,50.61867244406949,25.0,113.0,25.0,113.0,0.172549024224281,0.172549024224281,0.067,0.011560784623026827,42.08622102303793,62.0,150.0,62.0,150.0,0.18431372940540303,0.18431372940540303,0.057,0.010505882576107973,67.97242087788253,0.359,0.301,0.308,0.233,0.301,0.226,0.259,0.151,0.208,0.134,0.209,0.126,0.417,0.343,0.392,0.334,0.509,0.459,0.142,0.1,0.443,0.376
70.0,100.0,70.0,100.0,0.176470592617989,0.176470592617989,0.091,0.016058823928236998,23.71181140275875,49.0,97.0,49.0,100.937377929688,0.176470592617989,0.133333340287209,0.083,0.014647059187293088,19.103321829518187,62.0,85.0,62.0,85.0,0.160784319043159,0.160784319043159,0.1,0.0160784319043159,8.381527307120106,63.0,138.0,63.0,138.0,0.176470592617989,0.176470592617989,0.066,0.011647059112787276,56.224994441973934,41.0,85.0,41.0,85.0,0.172549024224281,0.172549024224281,0.075,0.012941176816821075,13.238202294873727,83.0,131.0,82.1192626953125,136.52294921875,0.176470592617989,0.168627455830574,0.083,0.014647059187293088,60.9029718225608,5.0,160.0,5.0,160.0,0.152941182255745,0.152941182255745,0.066,0.010094118028879169,91.69105736111892,51.0,120.0,51.0,120.0,0.18431372940540303,0.18431372940540303,0.074,0.013639215975999824,37.61980861195336,47.0,134.0,47.0,134.0,0.172549024224281,0.172549024224281,0.05,0.008627451211214051,51.97355096585185,33.0,124.0,33.0,124.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,46.51075144523038,16.0,126.0,16.0,126.0,0.176470592617989,0.176470592617989,0.066,0.011647059112787276,57.76028047023318,53.0,123.0,53.0,123.0,0.18823531270027202,0.18823531270027202,0.05,0.009411765635013601,40.512343797909296,0.359,0.268,0.241,0.158,0.36,0.26,0.233,0.167,0.217,0.142,0.209,0.126,0.409,0.343,0.383,0.309,0.476,0.426,0.176,0.101,0.367,0.301
56.0,101.0,56.0,101.0,0.18431372940540303,0.18431372940540303,0.041,0.007556862905621524,18.607794065928395,59.0,112.0,58.0150756835937,115.939819335938,0.172549024224281,0.160784319043159,0.092,0.015874510228633853,33.67999925720246,53.0,74.0,53.0,74.0,0.133333340287209,0.133333340287209,0.091,0.012133333966136018,8.558621384311845,66.0,118.0,61.0,131.0,0.176470592617989,0.133333340287209,0.091,0.016058823928236998,49.002550954006466,50.0,49.0,50.0,44.115478515625,0.172549024224281,0.149019613862038,0.066,0.011388235598802548,38.592376055180196,102.0,105.0,98.0,119.0,0.176470592617989,0.105882361531258,0.1,0.0176470592617989,57.16861026822324,63.0,114.0,63.0,114.0,0.172549024224281,0.172549024224281,0.075,0.012941176816821075,32.76049450176233,57.0,105.0,57.0,105.0,0.180392161011696,0.180392161011696,0.067,0.012086274787783633,22.699118925632334,84.0,112.0,84.0,112.0,0.18431372940540303,0.18431372940540303,0.066,0.0121647061407566,42.07433897282285,27.0,104.0,27.0,104.0,0.176470592617989,0.176470592617989,0.099,0.01747058866918091,34.514489710844636,20.0,113.0,20.0,113.0,0.176470592617989,0.176470592617989,0.067,0.011823529705405265,45.67548576643712,50.0,103.0,50.0,103.0,0.18431372940540303,0.18431372940540303,0.033,0.0060823530703783,20.886598574205422,0.358,0.317,0.301,0.209,0.267,0.176,0.242,0.151,0.208,0.142,0.226,0.126,0.417,0.342,0.401,0.334,0.451,0.385,0.191,0.092,0.66,0.593
